grade_id,grade_code,grade_name,grade_level,step,job_family,min_salary,mid_salary,max_salary,currency,is_executive,effective_from
GRD0001,G01,Grade 1 Step 1,1,1,Finance & Accounting,51990.48,57349.28,68697.73,USD,false,2014-01-31
GRD0002,G02,Grade 2 Step 1,2,1,IT Operations,58224.57,71871.24,92658.70,USD,false,2014-03-02
GRD0003,G03,Grade 3 Step 1,3,1,Sales,69133.66,84067.16,101946.25,USD,false,2014-04-01
GRD0004,G04,Grade 4 Step 1,4,1,Data Science,83386.90,94707.86,122752.04,USD,false,2014-05-01
GRD0005,G05,Grade 5 Step 1,5,1,Sales,95094.87,111547.68,134939.81,USD,false,2014-05-31
GRD0006,G06,Grade 6 Step 1,6,1,Legal,104964.04,127486.16,151339.27,USD,false,2014-06-30
GRD0007,G07,Grade 7 Step 1,7,1,Product Management,115577.30,134970.36,168484.71,USD,false,2014-07-30
GRD0008,G08,Grade 8 Step 1,8,1,Marketing,128405.91,151905.82,184888.85,USD,false,2014-08-29
GRD0009,G09,Grade 9 Step 1,9,1,Legal,140108.48,162994.54,205255.55,USD,false,2014-09-28
GRD0010,G10,Grade 10 Step 1,10,1,Data Science,150912.52,177921.17,221344.08,USD,true,2014-10-28
GRD0011,G11,Grade 11 Step 1,11,1,IT Operations,161351.58,189042.62,238644.23,USD,true,2014-11-27
GRD0012,G12,Grade 12 Step 1,12,1,Customer Support,172205.68,201814.14,251675.49,USD,true,2014-12-27
GRD0013,G01,Grade 1 Step 2,1,2,Sales,46911.33,56696.72,72551.62,USD,false,2014-01-31
GRD0014,G02,Grade 2 Step 2,2,2,Finance & Accounting,61950.69,69836.77,93266.51,USD,false,2014-03-02
GRD0015,G03,Grade 3 Step 2,3,2,Data Science,71916.24,82213.24,104293.99,USD,false,2014-04-01
GRD0016,G04,Grade 4 Step 2,4,2,Customer Support,82628.26,100937.93,118544.48,USD,false,2014-05-01
GRD0017,G05,Grade 5 Step 2,5,2,IT Operations,94757.05,113565.80,137112.33,USD,false,2014-05-31
GRD0018,G06,Grade 6 Step 2,6,2,Finance & Accounting,106123.48,124751.28,154872.28,USD,false,2014-06-30
GRD0019,G07,Grade 7 Step 2,7,2,Data Science,119419.30,137246.28,173197.06,USD,false,2014-07-30
GRD0020,G08,Grade 8 Step 2,8,2,Software Engineering,129408.25,149336.29,188984.79,USD,false,2014-08-29
GRD0021,G09,Grade 9 Step 2,9,2,Customer Support,138030.40,163086.96,206298.38,USD,false,2014-09-28
GRD0022,G10,Grade 10 Step 2,10,2,Software Engineering,153119.41,176102.70,222331.67,USD,true,2014-10-28
GRD0023,G11,Grade 11 Step 2,11,2,Customer Support,159189.52,192175.81,234709.31,USD,true,2014-11-27
GRD0024,G12,Grade 12 Step 2,12,2,Sales,172418.67,206426.03,254407.38,USD,true,2014-12-27
GRD0025,G01,Grade 1 Step 3,1,3,Product Management,49065.73,58416.14,75900.44,USD,false,2014-01-31
GRD0026,G02,Grade 2 Step 3,2,3,People Operations,62739.77,69771.11,88394.44,USD,false,2014-03-02
GRD0027,G03,Grade 3 Step 3,3,3,Finance & Accounting,72917.92,83700.04,103333.99,USD,false,2014-04-01
GRD0028,G04,Grade 4 Step 3,4,3,Data Science,81188.51,95900.50,119887.53,USD,false,2014-05-01
GRD0029,G05,Grade 5 Step 3,5,3,Customer Support,96270.62,108783.17,136837.90,USD,false,2014-05-31
GRD0030,G06,Grade 6 Step 3,6,3,Product Management,105094.62,123297.85,155822.19,USD,false,2014-06-30
GRD0031,G07,Grade 7 Step 3,7,3,Product Management,117928.50,137531.89,172795.49,USD,false,2014-07-30
GRD0032,G08,Grade 8 Step 3,8,3,Software Engineering,127798.21,153209.76,192210.01,USD,false,2014-08-29
GRD0033,G09,Grade 9 Step 3,9,3,IT Operations,138662.55,163177.95,201424.26,USD,false,2014-09-28
GRD0034,G10,Grade 10 Step 3,10,3,People Operations,147967.58,174114.70,218863.09,USD,true,2014-10-28
GRD0035,G11,Grade 11 Step 3,11,3,Product Management,159488.48,191020.02,234476.78,USD,true,2014-11-27
GRD0036,G12,Grade 12 Step 3,12,3,Legal,170972.17,200800.10,253261.14,USD,true,2014-12-27
GRD0037,G01,Grade 1 Step 4,1,4,Software Engineering,46843.65,56059.87,71526.23,USD,false,2014-01-31
GRD0038,G02,Grade 2 Step 4,2,4,Marketing,63276.32,72005.73,88902.06,USD,false,2014-03-02
GRD0039,G03,Grade 3 Step 4,3,4,Data Science,73892.76,87927.41,105362.91,USD,false,2014-04-01
GRD0040,G04,Grade 4 Step 4,4,4,Customer Support,81984.01,95294.41,124340.94,USD,false,2014-05-01
GRD0041,G05,Grade 5 Step 4,5,4,Marketing,94203.37,112300.19,138859.64,USD,false,2014-05-31
GRD0042,G06,Grade 6 Step 4,6,4,Sales,108215.03,124394.98,152201.95,USD,false,2014-06-30
GRD0043,G07,Grade 7 Step 4,7,4,IT Operations,119240.22,139206.19,170039.78,USD,false,2014-07-30
GRD0044,G08,Grade 8 Step 4,8,4,Data Science,129203.20,149001.69,187162.79,USD,false,2014-08-29
GRD0045,G09,Grade 9 Step 4,9,4,Product Management,138447.40,161962.27,205202.26,USD,false,2014-09-28
GRD0046,G10,Grade 10 Step 4,10,4,IT Operations,149535.99,175188.99,224061.79,USD,true,2014-10-28
GRD0047,G11,Grade 11 Step 4,11,4,Sales,163571.40,192521.50,239975.15,USD,true,2014-11-27
GRD0048,G12,Grade 12 Step 4,12,4,Sales,171257.52,203500.19,256429.91,USD,true,2014-12-27
GRD0049,G01,Grade 1 Step 5,1,5,Software Engineering,51065.27,57883.46,69951.44,USD,false,2014-01-31
GRD0050,G02,Grade 2 Step 5,2,5,Legal,63282.46,70935.87,92894.31,USD,false,2014-03-02
GRD0051,G03,Grade 3 Step 5,3,5,Finance & Accounting,74514.82,83590.99,103245.24,USD,false,2014-04-01
GRD0052,G04,Grade 4 Step 5,4,5,Sales,82912.02,96630.39,122037.89,USD,false,2014-05-01
GRD0053,G05,Grade 5 Step 5,5,5,Legal,96325.41,110833.37,140038.19,USD,false,2014-05-31
GRD0054,G06,Grade 6 Step 5,6,5,Data Science,107532.72,121577.34,154288.62,USD,false,2014-06-30
GRD0055,G07,Grade 7 Step 5,7,5,Sales,116682.42,135206.80,174275.04,USD,false,2014-07-30
GRD0056,G08,Grade 8 Step 5,8,5,Finance & Accounting,125628.78,153728.54,190225.74,USD,false,2014-08-29
GRD0057,G09,Grade 9 Step 5,9,5,Customer Support,138715.38,166957.90,206782.64,USD,false,2014-09-28
GRD0058,G10,Grade 10 Step 5,10,5,Product Management,153427.11,173840.09,222158.25,USD,true,2014-10-28
GRD0059,G11,Grade 11 Step 5,11,5,Customer Support,163573.88,187883.60,240722.40,USD,true,2014-11-27
GRD0060,G12,Grade 12 Step 5,12,5,Customer Support,173939.88,202517.81,254857.19,USD,true,2014-12-27
GRD0061,G01,Grade 1 Step 6,1,6,Product Management,46556.74,60140.56,74546.19,USD,false,2014-01-31
GRD0062,G02,Grade 2 Step 6,2,6,Data Science,60760.90,74292.01,88554.11,USD,false,2014-03-02
GRD0063,G03,Grade 3 Step 6,3,6,Sales,73759.15,82531.19,103515.83,USD,false,2014-04-01
GRD0064,G04,Grade 4 Step 6,4,6,Marketing,83094.32,99569.39,120686.66,USD,false,2014-05-01
GRD0065,G05,Grade 5 Step 6,5,6,IT Operations,93853.76,108429.41,142255.15,USD,false,2014-05-31
GRD0066,G06,Grade 6 Step 6,6,6,Finance & Accounting,107902.54,125321.08,157967.28,USD,false,2014-06-30
