hire_id,employee_id,job_id,requisition_id,hire_date,offer_date,start_date,hire_source,recruiter_employee_id,starting_salary,bonus_eligible,probation_end_date,hire_status
HIR0001,EMP0001,JOB0001,JR0001,2018-10-26,2018-10-04,2018-10-26,agency,EMP0035,163673.04,true,2019-01-24,completed
HIR0002,EMP0002,JOB0002,JR0002,2018-09-27,2018-09-08,2018-09-27,linkedin,EMP0044,56077.35,false,2018-12-26,completed
HIR0003,EMP0003,JOB0003,JR0003,2024-02-27,2024-02-17,2024-02-27,agency,EMP0015,61442.93,true,2024-05-27,completed
HIR0004,EMP0004,JOB0004,JR0004,2022-12-05,2022-11-13,2022-12-05,linkedin,EMP0034,45273.09,true,2023-03-05,completed
HIR0005,EMP0005,JOB0005,JR0005,2024-09-07,2024-08-05,2024-09-07,agency,EMP0011,21013.79,false,2024-12-06,completed
HIR0006,EMP0006,JOB0006,JR0006,2023-01-27,2023-01-20,2023-01-27,agency,EMP0013,21453.50,false,2023-04-27,completed
HIR0007,EMP0007,JOB0007,JR0007,2023-02-23,2023-01-17,2023-02-23,linkedin,EMP0036,61667.97,false,2023-05-24,completed
HIR0008,EMP0008,JOB0008,JR0008,2024-11-13,2024-10-23,2024-11-13,internal,EMP0032,61427.04,true,2025-02-11,completed
HIR0009,EMP0009,JOB0009,JR0009,2017-10-02,2017-09-05,2017-10-02,campus,EMP0007,165646.51,false,2017-12-31,completed
HIR0010,EMP0010,JOB0010,JR0010,2023-06-16,2023-05-20,2023-06-16,agency,EMP0009,148761.22,true,2023-09-14,completed
HIR0011,EMP0011,JOB0011,JR0011,2021-09-09,2021-07-31,2021-09-09,referral,EMP0014,109202.08,false,2021-12-08,completed
HIR0012,EMP0012,JOB0012,JR0012,2016-12-13,2016-11-07,2016-12-13,campus,EMP0042,85394.79,false,2017-03-13,completed
HIR0013,EMP0013,JOB0013,JR0013,2016-06-05,2016-04-21,2016-06-05,referral,EMP0020,58441.01,false,2016-09-03,completed
HIR0014,EMP0014,JOB0014,JR0014,2025-07-24,2025-06-27,2025-07-24,referral,EMP0018,203208.49,true,2025-10-22,completed
HIR0015,EMP0015,JOB0015,JR0015,2021-01-07,2020-11-25,2021-01-07,careers_site,EMP0036,57167.36,false,2021-04-07,completed
HIR0016,EMP0016,JOB0016,JR0016,2015-01-08,2014-12-20,2015-01-08,careers_site,EMP0020,21932.97,true,2015-04-08,completed
HIR0017,EMP0017,JOB0017,JR0017,2014-02-23,2014-02-05,2014-02-23,linkedin,EMP0046,72258.08,false,2014-05-24,completed
HIR0018,EMP0018,JOB0018,JR0018,2014-01-21,2013-12-24,2014-01-21,agency,EMP0020,53034.52,false,2014-04-21,completed
HIR0019,EMP0019,JOB0019,JR0019,2019-07-02,2019-05-25,2019-07-02,careers_site,EMP0030,163228.04,false,2019-09-30,completed
HIR0020,EMP0020,JOB0020,JR0020,2024-02-04,2024-01-03,2024-02-04,internal,EMP0033,175821.77,false,2024-05-04,completed
HIR0021,EMP0021,JOB0021,JR0021,2014-12-18,2014-11-13,2014-12-18,campus,EMP0013,149167.24,true,2015-03-18,completed
HIR0022,EMP0022,JOB0022,JR0022,2020-02-03,2020-01-24,2020-02-03,referral,EMP0010,135979.66,true,2020-05-03,completed
HIR0023,EMP0023,JOB0023,JR0023,2014-01-03,2013-11-27,2014-01-03,internal,EMP0014,110179.48,true,2014-04-03,completed
HIR0024,EMP0024,JOB0024,JR0024,2016-10-08,2016-08-25,2016-10-08,referral,EMP0036,123891.60,true,2017-01-06,completed
HIR0025,EMP0025,JOB0025,JR0025,2025-08-01,2025-06-27,2025-08-01,careers_site,EMP0025,70522.33,false,2025-10-30,completed
HIR0026,EMP0026,JOB0026,JR0026,2020-12-15,2020-11-12,2020-12-15,internal,EMP0033,163516.03,false,2021-03-15,completed
HIR0027,EMP0027,JOB0027,JR0027,2014-10-25,2014-10-13,2014-10-25,campus,EMP0014,141544.05,true,2015-01-23,completed
HIR0028,EMP0028,JOB0028,JR0028,2016-11-14,2016-11-04,2016-11-14,linkedin,EMP0038,202923.49,false,2017-02-12,completed
HIR0029,EMP0029,JOB0029,JR0029,2019-12-28,2019-11-25,2019-12-28,internal,EMP0042,135099.42,true,2020-03-27,completed
HIR0030,EMP0030,JOB0030,JR0030,2018-11-29,2018-11-17,2018-11-29,campus,EMP0021,54102.60,false,2019-02-27,completed
HIR0031,EMP0031,JOB0031,JR0031,2022-05-18,2022-04-08,2022-05-18,internal,EMP0024,63403.93,true,2022-08-16,completed
HIR0032,EMP0032,JOB0032,JR0032,2015-12-10,2015-11-25,2015-12-10,careers_site,EMP0044,166371.37,false,2016-03-09,completed
HIR0033,EMP0033,JOB0033,JR0033,2016-11-24,2016-10-14,2016-11-24,campus,EMP0029,111526.91,true,2017-02-22,completed
HIR0034,EMP0034,JOB0034,JR0034,2019-06-20,2019-06-04,2019-06-20,referral,EMP0018,123696.51,true,2019-09-18,completed
HIR0035,EMP0035,JOB0035,JR0035,2016-02-18,2016-01-15,2016-02-18,referral,EMP0012,96333.36,true,2016-05-18,completed
HIR0036,EMP0036,JOB0036,JR0036,2017-01-16,2017-01-02,2017-01-16,linkedin,EMP0037,71820.29,true,2017-04-16,completed
HIR0037,EMP0037,JOB0037,JR0037,2015-10-16,2015-09-29,2015-10-16,referral,EMP0023,152634.48,true,2016-01-14,completed
HIR0038,EMP0038,JOB0038,JR0038,2024-11-27,2024-10-26,2024-11-27,campus,EMP0036,60864.01,true,2025-02-25,completed
HIR0039,EMP0039,JOB0039,JR0039,2019-09-26,2019-09-12,2019-09-26,careers_site,EMP0004,142745.89,false,2019-12-25,completed
HIR0040,EMP0040,JOB0040,JR0040,2019-05-02,2019-04-04,2019-05-02,referral,EMP0021,76456.74,true,2019-07-31,completed
HIR0041,EMP0041,JOB0041,JR0041,2019-09-10,2019-08-04,2019-09-10,internal,EMP0016,61512.47,false,2019-12-09,completed
HIR0042,EMP0042,JOB0042,JR0042,2024-09-23,2024-09-15,2024-09-23,campus,EMP0008,189153.81,true,2024-12-22,completed
HIR0043,EMP0043,JOB0043,JR0043,2017-10-04,2017-09-15,2017-10-04,careers_site,EMP0005,110735.46,false,2018-01-02,completed
HIR0044,EMP0044,JOB0044,JR0044,2014-02-01,2013-12-27,2014-02-01,campus,EMP0030,144543.89,true,2014-05-02,completed
HIR0045,EMP0045,JOB0045,JR0045,2020-12-04,2020-10-24,2020-12-04,campus,EMP0038,82300.40,true,2021-03-04,completed
