job_id,job_code,job_title,job_family,department,grade_id,grade_code,employment_type,flsa_status,location_city,location_region,location_country,is_people_manager,headcount_budgeted
JOB0001,SAL-09-0001,Enterprise AE,Sales,Supply Chain,GRD0641,G09,intern,exempt,Denver,CO,US,true,4
JOB0002,PRO-01-0002,Product Manager,Product Management,Sales,GRD0002,G01,intern,exempt,Dallas,TX,US,true,1
JOB0003,DAT-01-0003,Analytics Manager,Data Science,Legal,GRD0003,G01,full_time,non_exempt,Chicago,IL,US,true,3
JOB0004,LEG-08-0004,Privacy Counsel,Legal,Sales,GRD0564,G08,full_time,exempt,Hyderabad,TS,IN,false,3
JOB0005,PEO-02-0005,HR Generalist,People Operations,Data,GRD0085,G02,part_time,non_exempt,Bengaluru,KA,IN,false,4
JOB0006,LEG-02-0006,Privacy Counsel,Legal,Security,GRD0086,G02,full_time,non_exempt,Bengaluru,KA,IN,false,2
JOB0007,PEO-12-0007,Recruiter,People Operations,Operations,GRD0887,G12,intern,exempt,Hyderabad,TS,IN,false,4
JOB0008,LEG-02-0008,Privacy Counsel,Legal,Sales,GRD0088,G02,part_time,exempt,Toronto,ON,CA,false,4
JOB0009,LEG-11-0009,Paralegal,Legal,Security,GRD0809,G11,full_time,exempt,Toronto,ON,CA,false,2
JOB0010,SOF-08-0010,Software Engineer,Software Engineering,HR,GRD0570,G08,part_time,exempt,Austin,TX,US,true,1
JOB0011,IT -05-0011,IT Manager,IT Operations,Data,GRD0331,G05,intern,exempt,Austin,TX,US,true,4
JOB0012,DAT-03-0012,Data Analyst,Data Science,Supply Chain,GRD0172,G03,part_time,non_exempt,New York,NY,US,false,1
JOB0013,IT -01-0013,IT Manager,IT Operations,Facilities,GRD0013,G01,full_time,exempt,Dallas,TX,US,true,5
JOB0014,IT -12-0014,IT Support,IT Operations,IT,GRD0894,G12,contract,non_exempt,Austin,TX,US,false,1
JOB0015,IT -01-0015,Systems Admin,IT Operations,Facilities,GRD0015,G01,intern,exempt,New York,NY,US,false,1
JOB0016,SAL-02-0016,Sales Manager,Sales,Product,GRD0096,G02,contract,exempt,Bengaluru,KA,IN,true,1
JOB0017,SAL-02-0017,SDR,Sales,Marketing,GRD0097,G02,contract,non_exempt,San Francisco,CA,US,false,3
JOB0018,PRO-10-0018,Group PM,Product Management,Finance,GRD0738,G10,part_time,exempt,Bengaluru,KA,IN,false,1
JOB0019,DAT-09-0019,Data Scientist,Data Science,Operations,GRD0659,G09,intern,exempt,Denver,CO,US,true,1
JOB0020,SOF-12-0020,Software Engineer,Software Engineering,Engineering,GRD0900,G12,part_time,non_exempt,Toronto,ON,CA,true,1
JOB0021,PRO-08-0021,Senior PM,Product Management,Security,GRD0581,G08,part_time,non_exempt,Seattle,WA,US,true,3
JOB0022,SOF-07-0022,Staff Engineer,Software Engineering,Data,GRD0502,G07,intern,exempt,Dallas,TX,US,false,4
JOB0023,LEG-05-0023,Compliance Analyst,Legal,Engineering,GRD0343,G05,intern,exempt,Chicago,IL,US,false,3
JOB0024,SAL-06-0024,Enterprise AE,Sales,Supply Chain,GRD0424,G06,part_time,non_exempt,Austin,TX,US,false,1
JOB0025,IT -02-0025,Systems Admin,IT Operations,Facilities,GRD0105,G02,contract,non_exempt,Austin,TX,US,false,3
JOB0026,FIN-09-0026,Accountant,Finance & Accounting,Operations,GRD0666,G09,part_time,exempt,Dallas,TX,US,true,5
JOB0027,SAL-09-0027,Sales Manager,Sales,Supply Chain,GRD0667,G09,full_time,exempt,Toronto,ON,CA,true,2
JOB0028,MAR-12-0028,Marketing Specialist,Marketing,HR,GRD0908,G12,full_time,exempt,Seattle,WA,US,true,5
JOB0029,PRO-07-0029,Senior PM,Product Management,Finance,GRD0509,G07,contract,exempt,Chicago,IL,US,false,1
