jr_id,jr_number,job_id,job_title,department,grade_code,hiring_manager_id,recruiter_id,headcount,jr_status,priority,opened_date,target_fill_date,filled_date,location_city,location_country
JR0001,REQ-2022001,JOB0893,Group PM,Supply Chain,G03,EMP0486,EMP0018,3,open,high,2024-01-03,2024-03-20,,Atlanta,US
JR0002,REQ-2022002,JOB0361,Support Specialist,Legal,G01,EMP0993,EMP0015,2,cancelled,critical,2026-05-07,2026-07-02,,Atlanta,US
JR0003,REQ-2022003,JOB0874,Compliance Analyst,Sales,G01,EMP0667,EMP0010,2,draft,high,2026-05-08,2026-08-18,,San Francisco,US
JR0004,REQ-2022004,JOB0539,Controller,Finance,G05,EMP0712,EMP0005,2,on_hold,critical,2022-04-06,2022-07-31,,Austin,US
JR0005,REQ-2022005,JOB0539,Controller,Finance,G05,EMP0969,EMP0011,1,filled,high,2025-02-14,2025-05-05,2026-01-24,Austin,US
JR0006,REQ-2022006,JOB0457,HR Generalist,Customer Success,G07,EMP0722,EMP0007,1,open,critical,2023-12-20,2024-01-29,,Dallas,US
JR0007,REQ-2022007,JOB0479,Support Lead,Supply Chain,G06,EMP0280,EMP0080,3,cancelled,high,2025-04-13,2025-07-04,,Denver,US
JR0008,REQ-2022008,JOB0806,IT Support,Finance,G09,EMP0336,EMP0042,2,cancelled,low,2023-06-30,2023-09-19,,Seattle,US
JR0009,REQ-2022009,JOB0832,Systems Admin,Legal,G06,EMP0221,EMP0026,2,filled,medium,2023-04-24,2023-06-21,2023-06-06,Toronto,CA
JR0010,REQ-2022010,JOB0190,IT Support,HR,G09,EMP0336,EMP0037,1,cancelled,critical,2025-07-04,2025-08-05,,Atlanta,US
JR0011,REQ-2022011,JOB0941,Compliance Analyst,Engineering,G12,EMP0961,EMP0080,1,cancelled,high,2022-06-12,2022-08-30,,London,UK
JR0012,REQ-2022012,JOB0756,HRBP,Sales,G11,EMP0280,EMP0006,2,cancelled,medium,2023-01-18,2023-03-05,,Austin,US
