leave_id,employee_id,leave_type,start_date,end_date,days_requested,days_approved,status,approver_id,reason,paid_flag,submitted_at
LVE0001,EMP0739,parental,2022-05-12,2022-05-16,5,5,approved,EMP0847,medical,true,2022-05-03 00:00:00
LVE0002,EMP0752,sick,2024-11-02,2024-11-13,12,12,rejected,EMP0056,medical,true,2024-10-14 00:00:00
LVE0003,EMP0466,comp_off,2025-06-05,2025-06-07,3,3,rejected,EMP0133,family,true,2025-05-16 00:00:00
LVE0004,EMP0362,sick,2024-09-23,2024-09-26,4,4,cancelled,EMP0746,travel,true,2024-09-05 00:00:00
LVE0005,EMP0683,bereavement,2023-04-08,2023-04-14,7,7,approved,EMP0392,travel,true,2023-04-03 00:00:00
LVE0006,EMP0492,bereavement,2021-06-25,2021-07-04,10,10,cancelled,EMP0645,travel,true,2021-06-15 00:00:00
LVE0007,EMP0015,unpaid,2024-09-24,2024-10-05,12,12,approved,EMP0302,vacation,false,2024-09-06 00:00:00
LVE0008,EMP0493,sick,2022-02-05,2022-02-10,6,6,approved,EMP0189,,true,2022-01-20 00:00:00
LVE0009,EMP0093,parental,2025-08-31,2025-11-24,86,86,cancelled,EMP0779,family,true,2025-08-18 00:00:00
LVE0010,EMP0536,parental,2026-06-01,2026-06-10,10,10,pending,EMP0083,family,true,2026-05-23 00:00:00
LVE0011,EMP0446,comp_off,2019-07-09,2019-07-19,11,11,approved,EMP0808,family,true,2019-07-03 00:00:00
LVE0012,EMP0688,parental,2025-10-04,2025-11-15,43,43,approved,EMP0361,medical,true,2025-10-01 00:00:00
LVE0013,EMP0907,bereavement,2023-12-01,2023-12-14,14,14,cancelled,EMP0623,illness,true,2023-11-22 00:00:00
LVE0014,EMP0850,bereavement,2017-11-20,2017-11-21,2,2,cancelled,EMP0977,personal matter,true,2017-11-01 00:00:00
LVE0015,EMP0198,unpaid,2025-04-06,2025-04-09,4,4,pending,EMP0376,personal matter,false,2025-04-01 00:00:00
LVE0016,EMP0906,unpaid,2024-10-17,2024-10-18,2,2,pending,EMP0571,family,false,2024-10-12 00:00:00
LVE0017,EMP0036,personal,2017-03-16,2017-03-29,14,14,approved,EMP0706,travel,true,2017-02-28 00:00:00
LVE0018,EMP0276,sick,2025-10-06,2025-10-06,1,1,rejected,EMP0589,medical,true,2025-09-30 00:00:00
LVE0019,EMP0639,unpaid,2026-05-31,2026-06-13,14,14,cancelled,EMP0206,family,false,2026-05-18 00:00:00
LVE0020,EMP0667,comp_off,2024-09-08,2024-09-12,5,5,approved,EMP0410,vacation,true,2024-08-28 00:00:00
LVE0021,EMP0580,annual,2023-07-13,2023-07-26,14,14,rejected,EMP0197,,true,2023-07-09 00:00:00
LVE0022,EMP0205,personal,2024-02-29,2024-03-13,14,14,rejected,EMP0869,illness,true,2024-02-23 00:00:00
LVE0023,EMP0395,bereavement,2025-12-19,2025-12-21,3,3,approved,EMP0747,family,true,2025-12-02 00:00:00
LVE0024,EMP0107,bereavement,2025-02-03,2025-02-09,7,7,cancelled,EMP0329,vacation,true,2025-01-25 00:00:00
LVE0025,EMP0300,personal,2016-12-01,2016-12-10,10,10,cancelled,EMP0094,personal matter,true,2016-11-19 00:00:00
LVE0026,EMP0240,bereavement,2019-04-21,2019-04-28,8,8,pending,EMP0072,travel,true,2019-04-15 00:00:00
LVE0027,EMP0628,bereavement,2017-04-21,2017-04-26,6,6,cancelled,EMP0902,,true,2017-04-09 00:00:00
LVE0028,EMP0942,sick,2025-01-14,2025-01-16,3,3,rejected,EMP0647,personal matter,true,2025-01-02 00:00:00
LVE0029,EMP0455,parental,2025-03-07,2025-04-09,34,34,approved,EMP0905,family,true,2025-02-18 00:00:00
LVE0030,EMP0971,comp_off,2026-04-05,2026-04-11,7,6,cancelled,EMP0125,vacation,true,2026-04-01 00:00:00
LVE0031,EMP0553,personal,2025-04-01,2025-04-03,3,3,pending,EMP0340,,true,2025-03-14 00:00:00
LVE0032,EMP0435,parental,2023-10-26,2023-11-19,25,25,approved,EMP0747,vacation,true,2023-10-10 00:00:00
LVE0033,EMP0229,sick,2025-03-22,2025-03-31,10,10,cancelled,EMP0641,medical,true,2025-03-05 00:00:00
LVE0034,EMP0130,comp_off,2024-10-26,2024-11-02,8,8,approved,EMP0596,medical,true,2024-10-24 00:00:00
LVE0035,EMP0981,annual,2025-03-08,2025-03-08,1,1,approved,EMP0952,illness,true,2025-03-07 00:00:00
LVE0036,EMP0133,comp_off,2022-03-29,2022-04-11,14,14,rejected,EMP0027,illness,true,2022-03-26 00:00:00
LVE0037,EMP0758,personal,2022-01-31,2022-02-01,2,2,rejected,EMP0233,medical,true,2022-01-11 00:00:00
LVE0038,EMP0156,bereavement,2026-03-18,2026-03-25,8,8,rejected,EMP0118,personal matter,true,2026-03-14 00:00:00
LVE0039,EMP0669,unpaid,2024-12-18,2024-12-30,13,13,approved,EMP0226,medical,false,2024-11-28 00:00:00
LVE0040,EMP0811,comp_off,2023-12-19,2024-01-01,14,14,approved,EMP0420,illness,true,2023-12-06 00:00:00
LVE0041,EMP0114,annual,2024-02-18,2024-02-29,12,12,approved,EMP0517,illness,true,2024-02-10 00:00:00
LVE0042,EMP0408,unpaid,2021-04-27,2021-04-27,1,1,pending,EMP0060,family,false,2021-04-21 00:00:00
LVE0043,EMP0861,sick,2024-12-09,2024-12-18,10,10,cancelled,EMP0434,,true,2024-12-03 00:00:00
LVE0044,EMP0071,bereavement,2025-09-27,2025-10-10,14,14,pending,EMP0775,travel,true,2025-09-09 00:00:00
LVE0045,EMP0707,sick,2025-12-27,2026-01-01,6,6,approved,EMP0695,,true,2025-12-08 00:00:00
LVE0046,EMP0026,bereavement,2026-06-27,2026-06-30,4,4,cancelled,EMP0900,vacation,true,2026-06-19 00:00:00
LVE0047,EMP0319,parental,2026-05-03,2026-06-29,58,58,rejected,EMP0178,vacation,true,2026-04-28 00:00:00
LVE0048,EMP0356,personal,2022-03-06,2022-03-17,12,12,cancelled,EMP0181,illness,true,2022-03-02 00:00:00
LVE0049,EMP0399,comp_off,2025-11-21,2025-11-21,1,1,rejected,EMP0714,vacation,true,2025-11-18 00:00:00
LVE0050,EMP0167,unpaid,2020-09-12,2020-09-19,8,7,approved,EMP0922,travel,false,2020-08-23 00:00:00
LVE0051,EMP0647,comp_off,2024-08-12,2024-08-22,11,11,pending,EMP0751,illness,true,2024-08-01 00:00:00
LVE0052,EMP0894,parental,2025-06-29,2025-08-31,64,64,approved,EMP0394,medical,true,2025-06-20 00:00:00
LVE0053,EMP0459,personal,2023-03-05,2023-03-06,2,2,pending,EMP0563,illness,true,2023-02-27 00:00:00
