promotion_id,employee_id,from_job_id,to_job_id,from_grade_code,to_grade_code,from_salary,to_salary,salary_increase_pct,effective_date,promotion_reason,approved_by,status
PRM0001,EMP0417,JOB0184,JOB0961,G07,G09,123438.23,149480.95,21.10,2021-08-24,role_expansion,EMP0125,approved
PRM0002,EMP0575,JOB0761,JOB0539,G05,G06,102391.20,108803.25,6.26,2025-12-03,critical_skill,EMP0482,completed
PRM0003,EMP0753,JOB0835,JOB0160,G06,G07,98046.04,107632.30,9.78,2024-08-28,performance,EMP0709,completed
PRM0004,EMP0543,JOB0481,JOB0377,G01,G03,75453.27,89103.77,18.09,2026-06-29,role_expansion,EMP0033,approved
PRM0005,EMP0755,JOB0536,JOB0007,G09,G11,43863.73,47556.23,8.42,2025-02-23,performance,EMP0924,rescinded
PRM0006,EMP0133,JOB0680,JOB0313,G03,G04,84917.42,91845.02,8.16,2021-05-21,market_adjustment,EMP0082,completed
PRM0007,EMP0138,JOB0540,JOB0852,G10,G12,128498.71,143764.89,11.88,2021-07-05,role_expansion,EMP0293,completed
PRM0008,EMP0370,JOB0649,JOB0243,G10,G11,123150.84,134417.66,9.15,2022-01-15,critical_skill,EMP0259,approved
PRM0009,EMP0979,JOB0912,JOB0166,G03,G05,57074.79,67764.07,18.73,2025-06-10,market_adjustment,EMP0124,rescinded
PRM0010,EMP0367,JOB0195,JOB0684,G06,G08,101500.38,123144.36,21.32,2023-07-06,performance,EMP0719,completed
PRM0011,EMP0056,JOB0692,JOB0064,G01,G03,53421.27,61339.69,14.82,2019-08-25,role_expansion,EMP0384,rescinded
PRM0012,EMP0634,JOB0750,JOB0448,G09,G11,134175.11,157025.15,17.03,2025-04-29,critical_skill,EMP0623,approved
PRM0013,EMP0027,JOB0318,JOB0008,G08,G10,133964.13,144404.66,7.79,2022-07-16,critical_skill,EMP0197,completed
PRM0014,EMP0438,JOB1000,JOB0494,G02,G03,74113.55,82256.54,10.99,2025-11-30,role_expansion,EMP0285,approved
PRM0015,EMP0807,JOB0967,JOB0091,G02,G04,71618.50,84066.27,17.38,2019-10-27,retention,EMP0566,completed
PRM0016,EMP0939,JOB0478,JOB0707,G04,G06,87765.65,97183.45,10.73,2023-03-10,market_adjustment,EMP0654,completed
PRM0017,EMP0422,JOB0693,JOB0576,G12,G12,160988.09,178768.75,11.04,2023-07-13,critical_skill,EMP0080,completed
PRM0018,EMP0046,JOB0302,JOB0679,G04,G05,95392.99,109211.93,14.49,2025-02-11,performance,EMP0976,rescinded
PRM0019,EMP0952,JOB0501,JOB0343,G06,G08,129792.13,137761.12,6.14,2024-11-06,performance,EMP0029,completed
PRM0020,EMP0551,JOB0515,JOB0269,G09,G11,117885.14,132817.14,12.67,2026-08-03,role_expansion,EMP0730,rescinded
PRM0021,EMP0652,JOB0560,JOB0749,G02,G04,76234.32,88156.31,15.64,2022-01-07,role_expansion,EMP0431,rescinded
