salary_hike_id,employee_id,effective_date,previous_salary,new_salary,increase_amount,increase_pct,currency,hike_reason,review_cycle,approved_by,status
SLH0001,EMP0697,2025-06-22,183344.30,190678.07,7333.77,4.00,USD,retention,H2,EMP0535,pending
SLH0002,EMP0310,2024-06-10,73590.05,80429.97,6839.93,9.29,USD,spot_adjustment,H1,EMP0711,rejected
SLH0003,EMP0902,2025-10-31,118336.58,127603.93,9267.35,7.83,GBP,annual_cycle,Off-cycle,EMP0645,approved
SLH0004,EMP0277,2021-09-12,18017.37,18647.98,630.61,3.50,INR,annual_cycle,Off-cycle,EMP0525,pending
SLH0005,EMP0870,2021-10-30,108393.05,110560.91,2167.86,2.00,GBP,retention,Off-cycle,EMP0168,paid
SLH0006,EMP0618,2026-05-27,29272.40,32280.48,3008.07,10.28,INR,spot_adjustment,H2,EMP0577,pending
SLH0007,EMP0289,2025-12-13,64962.71,66261.97,1299.25,2.00,USD,market_correction,H2,EMP0757,pending
SLH0008,EMP0326,2024-02-10,164709.58,171297.96,6588.38,4.00,USD,market_correction,Annual,EMP0626,pending
SLH0009,EMP0375,2024-01-21,154382.37,159013.84,4631.47,3.00,USD,annual_cycle,H1,EMP0612,paid
SLH0010,EMP0859,2022-05-29,89437.50,93015.00,3577.50,4.00,USD,promotion,H1,EMP0961,approved
SLH0011,EMP0516,2023-06-18,85245.69,92065.35,6819.66,8.00,USD,spot_adjustment,H1,EMP0615,paid
SLH0012,EMP0276,2025-08-14,27666.07,28634.38,968.31,3.50,INR,annual_cycle,H1,EMP0880,pending
SLH0013,EMP0442,2020-07-04,64158.16,66724.49,2566.33,4.00,USD,annual_cycle,H1,EMP0740,paid
SLH0014,EMP0087,2020-05-30,175783.25,181935.67,6152.41,3.50,USD,promotion,H2,EMP0864,approved
SLH0015,EMP0149,2023-09-09,20216.30,21833.60,1617.30,8.00,INR,market_correction,H1,EMP0350,pending
SLH0016,EMP0034,2022-02-20,118500.95,128344.59,9843.64,8.31,USD,promotion,Annual,EMP0571,rejected
SLH0017,EMP0072,2026-07-10,172002.38,189202.62,17200.24,10.00,USD,retention,H1,EMP0828,paid
SLH0018,EMP0143,2025-06-26,164813.23,169757.62,4944.40,3.00,USD,retention,H2,EMP0465,pending
SLH0019,EMP0354,2026-02-24,99017.51,108919.26,9901.75,10.00,USD,market_correction,H2,EMP0147,paid
SLH0020,EMP0006,2024-08-24,21207.60,21631.76,424.15,2.00,INR,promotion,H1,EMP0810,approved
SLH0021,EMP0558,2025-08-26,120123.43,124327.75,4204.32,3.50,USD,retention,Off-cycle,EMP0016,paid
SLH0022,EMP0565,2022-09-25,117294.15,121399.45,4105.30,3.50,USD,promotion,Annual,EMP0552,rejected
SLH0023,EMP0313,2021-08-27,124592.57,139543.67,14951.11,12.00,USD,annual_cycle,H1,EMP0276,paid
SLH0024,EMP0112,2023-08-03,69780.34,71873.75,2093.41,3.00,USD,promotion,H2,EMP0882,rejected
SLH0025,EMP0920,2025-10-03,181575.99,199733.59,18157.60,10.00,USD,market_correction,Off-cycle,EMP0586,paid
SLH0026,EMP0261,2019-12-09,113776.23,122878.33,9102.10,8.00,USD,annual_cycle,Off-cycle,EMP0433,pending
SLH0027,EMP0436,2021-03-13,163212.57,168108.95,4896.38,3.00,USD,spot_adjustment,H1,EMP0122,paid
SLH0028,EMP0650,2024-06-11,45032.67,47921.41,2888.74,6.41,INR,spot_adjustment,H1,EMP0964,paid
SLH0029,EMP0348,2025-06-25,200878.46,204896.03,4017.57,2.00,USD,spot_adjustment,Annual,EMP0484,pending
SLH0030,EMP0532,2025-03-19,139889.27,156675.98,16786.71,12.00,USD,promotion,Off-cycle,EMP0025,paid
SLH0031,EMP0667,2024-01-12,102145.15,105209.50,3064.35,3.00,USD,retention,H2,EMP0400,approved
SLH0032,EMP0478,2021-12-11,110673.81,115100.76,4426.95,4.00,USD,promotion,H1,EMP0026,approved
SLH0033,EMP0328,2016-02-14,99322.88,103295.79,3972.92,4.00,USD,promotion,H2,EMP0718,approved
SLH0034,EMP0958,2026-03-13,60929.41,62148.00,1218.59,2.00,USD,retention,H2,EMP0509,pending
SLH0035,EMP0063,2025-11-18,81303.41,89433.75,8130.34,10.00,USD,promotion,H1,EMP0419,pending
SLH0036,EMP0031,2024-02-22,58950.74,61014.01,2063.28,3.50,USD,spot_adjustment,H1,EMP0817,paid
SLH0037,EMP0092,2025-01-24,83034.85,86639.27,3604.42,4.34,USD,retention,H2,EMP0041,rejected
SLH0038,EMP0554,2024-10-03,34279.98,37707.98,3428.00,10.00,INR,annual_cycle,H2,EMP0183,pending
SLH0039,EMP0434,2019-10-07,59253.83,63994.14,4740.31,8.00,USD,spot_adjustment,Annual,EMP0565,paid
SLH0040,EMP0476,2024-03-14,117659.01,127071.73,9412.72,8.00,USD,annual_cycle,Off-cycle,EMP0162,pending
SLH0041,EMP0420,2026-04-15,155114.13,161318.70,6204.57,4.00,USD,promotion,Annual,EMP0624,approved
SLH0042,EMP0442,2025-11-16,71317.09,77022.46,5705.37,8.00,USD,spot_adjustment,H2,EMP0523,rejected
SLH0043,EMP0344,2021-06-29,67092.46,72459.85,5367.40,8.00,USD,promotion,Annual,EMP0202,pending
SLH0044,EMP0070,2022-11-05,143489.12,148511.24,5022.12,3.50,USD,promotion,H1,EMP0454,pending
SLH0045,EMP0432,2026-03-02,32485.04,33459.59,974.55,3.00,INR,spot_adjustment,H2,EMP0645,pending
SLH0046,EMP0893,2023-09-05,80214.51,83022.02,2807.51,3.50,USD,promotion,Off-cycle,EMP0953,paid
SLH0047,EMP0900,2025-05-02,159173.11,167131.77,7958.66,5.00,USD,retention,H1,EMP0787,approved
SLH0048,EMP0075,2022-10-27,111901.16,119963.27,8062.10,7.20,USD,market_correction,Annual,EMP0149,pending
SLH0049,EMP0178,2026-06-29,120952.39,135466.68,14514.29,12.00,USD,spot_adjustment,Annual,EMP0980,pending
SLH0050,EMP0111,2023-03-14,81266.21,89392.83,8126.62,10.00,GBP,market_correction,H1,EMP0938,approved
SLH0051,EMP0913,2024-08-31,147273.63,156110.05,8836.42,6.00,USD,spot_adjustment,H1,EMP0451,pending
SLH0052,EMP0130,2024-02-13,130345.21,140772.82,10427.62,8.00,USD,spot_adjustment,Annual,EMP0974,pending
SLH0053,EMP0977,2021-07-27,87016.73,89687.57,2670.85,3.07,USD,market_correction,H2,EMP0576,paid
SLH0054,EMP0242,2019-09-12,80352.40,81959.45,1607.05,2.00,USD,market_correction,H2,EMP0957,approved
SLH0055,EMP0444,2016-06-02,165697.19,185580.85,19883.66,12.00,USD,spot_adjustment,Off-cycle,EMP0990,paid
SLH0056,EMP0099,2026-06-10,116699.99,120784.49,4084.50,3.50,USD,market_correction,H2,EMP0623,paid
