termination_id,employee_id,job_id,termination_date,last_working_day,notice_date,termination_type,termination_reason,rehire_eligible,exit_interview_completed,initiated_by,department
TRM0001,EMP0001,JOB0001,2024-02-04,2024-02-04,2024-01-12,involuntary,relocation,true,false,system,Supply Chain
TRM0002,EMP0002,JOB0002,2022-11-26,2022-11-26,2022-11-03,involuntary,relocation,true,false,employee,Sales
TRM0003,EMP0003,JOB0003,2024-11-01,2024-11-01,2024-10-17,contract_end,voluntary_resignation,true,true,manager,Legal
TRM0004,EMP0004,JOB0004,2023-07-01,2023-07-01,2023-06-04,involuntary,relocation,true,false,system,Sales
TRM0005,EMP0005,JOB0005,2025-10-29,2025-10-29,2025-10-09,retirement,restructuring,true,false,hr,Data
TRM0006,EMP0006,JOB0006,2024-02-20,2024-02-20,2024-01-23,voluntary,retirement,true,false,hr,Security
TRM0007,EMP0007,JOB0007,2025-06-23,2025-06-23,2025-06-17,voluntary,mutual_agreement,true,true,employee,Operations
TRM0008,EMP0008,JOB0008,2026-04-04,2026-04-04,2026-03-21,involuntary,mutual_agreement,false,false,employee,Sales
TRM0009,EMP0009,JOB0009,2020-02-16,2020-02-16,2020-02-08,contract_end,relocation,false,false,employee,Security
TRM0010,EMP0010,JOB0010,2025-07-12,2025-07-12,2025-06-20,involuntary,better_opportunity,true,true,employee,HR
TRM0011,EMP0011,JOB0011,2024-06-19,2024-06-19,2024-05-22,retirement,better_opportunity,false,false,system,Data
TRM0012,EMP0012,JOB0012,2025-05-04,2025-05-04,2025-04-10,voluntary,performance,true,false,hr,Supply Chain
TRM0013,EMP0013,JOB0013,2026-06-26,2026-06-26,2026-06-23,voluntary,voluntary_resignation,true,true,system,Facilities
TRM0014,EMP0014,JOB0014,2026-04-20,2026-04-20,2026-03-26,retirement,better_opportunity,false,false,hr,IT
TRM0015,EMP0015,JOB0015,2022-11-19,2022-11-19,2022-11-02,retirement,end_of_contract,true,false,manager,Facilities
TRM0016,EMP0016,JOB0016,2018-08-15,2018-08-15,2018-08-14,retirement,voluntary_resignation,true,true,system,Product
TRM0017,EMP0017,JOB0017,2019-12-20,2019-12-20,2019-11-20,contract_end,mutual_agreement,true,true,manager,Marketing
TRM0018,EMP0018,JOB0018,2017-03-14,2017-03-14,2017-02-26,retirement,better_opportunity,false,false,employee,Finance
TRM0019,EMP0019,JOB0019,2025-08-03,2025-08-03,2025-07-06,contract_end,voluntary_resignation,false,true,employee,Operations
TRM0020,EMP0020,JOB0020,2024-12-14,2024-12-14,2024-11-25,contract_end,performance,true,true,employee,Engineering
TRM0021,EMP0021,JOB0021,2019-04-19,2019-04-19,2019-03-30,voluntary,restructuring,false,true,employee,Security
TRM0022,EMP0022,JOB0022,2021-12-21,2021-12-21,2021-12-15,involuntary,better_opportunity,false,false,system,Data
TRM0023,EMP0023,JOB0023,2026-05-08,2026-05-08,2026-04-26,contract_end,relocation,true,true,employee,Engineering
TRM0024,EMP0024,JOB0024,2018-04-22,2018-04-22,2018-03-27,retirement,relocation,false,false,hr,Supply Chain
TRM0025,EMP0025,JOB0025,2026-01-25,2026-01-25,2026-01-10,involuntary,restructuring,false,true,employee,Facilities
TRM0026,EMP0026,JOB0026,2021-06-06,2021-06-06,2021-06-05,contract_end,attendance,false,true,system,Operations
TRM0027,EMP0027,JOB0027,2019-08-12,2019-08-12,2019-07-24,contract_end,relocation,false,true,employee,Supply Chain
TRM0028,EMP0028,JOB0028,2024-03-01,2024-03-01,2024-02-22,retirement,voluntary_resignation,false,false,hr,HR
TRM0029,EMP0029,JOB0029,2020-05-01,2020-05-01,2020-04-18,voluntary,restructuring,true,true,manager,Finance
TRM0030,EMP0030,JOB0030,2022-07-10,2022-07-10,2022-07-07,retirement,mutual_agreement,true,true,hr,IT
TRM0031,EMP0031,JOB0031,2022-11-10,2022-11-10,2022-10-30,retirement,better_opportunity,false,true,hr,Product
