transfer_id,employee_id,transfer_type,from_job_id,to_job_id,from_department,to_department,from_location,to_location,from_manager_id,to_manager_id,effective_date,reason,status
XFR0001,EMP0075,manager,JOB0788,JOB0969,Finance,Marketing,"Seattle, US","Hyderabad, IN",EMP0904,EMP0724,2024-06-21,employee_request,cancelled
XFR0002,EMP0671,manager,JOB0366,JOB0013,Sales,Facilities,"Atlanta, US","Dallas, US",EMP0773,EMP0008,2025-11-11,org_redesign,completed
XFR0003,EMP0375,entity,JOB0548,JOB0260,Security,Finance,"Chicago, US","Seattle, US",EMP0499,EMP0386,2024-05-15,org_redesign,completed
XFR0004,EMP0371,manager,JOB0719,JOB0729,HR,Marketing,"San Francisco, US","Dallas, US",EMP0812,EMP0064,2025-04-26,business_need,approved
XFR0005,EMP0708,location,JOB0804,JOB0113,Data,Security,"San Francisco, US","Chicago, US",EMP0795,EMP0967,2025-12-03,employee_request,cancelled
XFR0006,EMP0248,temporary,JOB0030,JOB0021,IT,Security,"Hyderabad, IN","Seattle, US",EMP0950,EMP0434,2021-12-09,career_growth,cancelled
XFR0007,EMP0488,manager,JOB0137,JOB0647,HR,Operations,"Toronto, CA","Austin, US",EMP0166,EMP0245,2025-03-10,backfill,completed
XFR0008,EMP0426,department,JOB0861,JOB0115,Marketing,Sales,"Bengaluru, IN","Austin, US",EMP0406,EMP0495,2025-11-09,business_need,pending
XFR0009,EMP0923,location,JOB0088,JOB0761,Engineering,Operations,"Austin, US","Seattle, US",EMP0408,EMP0732,2025-03-02,employee_request,approved
XFR0010,EMP0912,manager,JOB0436,JOB0368,Supply Chain,IT,"Austin, US","San Francisco, US",EMP0062,EMP0696,2026-07-18,employee_request,approved
XFR0011,EMP0128,location,JOB0372,JOB0124,Legal,Sales,"Austin, US","Austin, US",EMP0122,EMP0443,2021-04-16,backfill,completed
XFR0012,EMP0151,temporary,JOB0514,JOB0464,Product,Supply Chain,"Denver, US","New York, US",EMP0487,EMP0599,2018-01-08,backfill,cancelled
XFR0013,EMP0997,temporary,JOB0257,JOB0066,Operations,Facilities,"San Francisco, US","Denver, US",EMP0821,EMP0468,2026-05-13,career_growth,cancelled
XFR0014,EMP0432,entity,JOB0845,JOB0314,Legal,Security,"Seattle, US","Dallas, US",EMP0689,EMP0144,2025-12-09,business_need,approved
XFR0015,EMP0121,temporary,JOB0063,JOB0339,Legal,Engineering,"Dallas, US","Chicago, US",EMP0472,EMP0235,2023-07-23,org_redesign,pending
XFR0016,EMP0793,manager,JOB0114,JOB0758,Sales,HR,"Austin, US","Seattle, US",EMP0391,EMP0306,2024-11-13,employee_request,approved
XFR0017,EMP0929,department,JOB0577,JOB0616,Customer Success,Supply Chain,"Chicago, US","New York, US",EMP0229,EMP0566,2026-07-31,backfill,approved
XFR0018,EMP0606,temporary,JOB0073,JOB0991,Engineering,Finance,"Dallas, US","Toronto, CA",EMP0550,EMP0100,2023-07-25,business_need,approved
XFR0019,EMP0060,department,JOB0705,JOB0382,Sales,Product,"Dallas, US","Seattle, US",EMP0325,EMP0048,2020-01-13,career_growth,approved
XFR0020,EMP0468,manager,JOB0561,JOB0296,Legal,Marketing,"Atlanta, US","London, UK",EMP0444,EMP0936,2024-09-29,career_growth,pending
XFR0021,EMP0705,temporary,JOB0341,JOB0042,Operations,Marketing,"Bengaluru, IN","Atlanta, US",EMP0027,EMP0627,2021-09-07,org_redesign,approved
XFR0022,EMP0017,department,JOB0617,JOB0112,Facilities,Facilities,"Toronto, CA","Toronto, CA",EMP0815,EMP0940,2015-05-21,career_growth,approved
XFR0023,EMP0263,temporary,JOB0941,JOB0922,Engineering,Data,"London, UK","Denver, US",EMP0066,EMP0122,2019-12-29,employee_request,approved
XFR0024,EMP0228,temporary,JOB0951,JOB0399,Legal,Finance,"San Francisco, US","Denver, US",EMP0342,EMP0243,2024-11-20,career_growth,approved
XFR0025,EMP0578,location,JOB0276,JOB0053,Engineering,Legal,"Hyderabad, IN","Hyderabad, IN",EMP0206,EMP0575,2026-07-31,backfill,cancelled
XFR0026,EMP0456,manager,JOB0651,JOB0763,Marketing,Data,"Seattle, US","Seattle, US",EMP0798,EMP0221,2020-12-10,business_need,cancelled
