account_txn_id,order_id,customer_id,store_id,account_type,payment_method,txn_status,amount,currency,auth_code,txn_ts,settlement_date,reference_no
ACC0001,ORD0001,CUS0206,STR0089,cogs,apple_pay,captured,15.93,USD,398027,2025-07-14 18:22:58,2025-07-14,REF00000001
ACC0002,ORD0002,CUS0835,STR0112,inventory,mastercard,pending,54.35,USD,562620,2025-11-21 11:48:05,2025-11-21,REF00000002
ACC0003,ORD0003,CUS0315,STR0468,cash,amex,voided,43.61,USD,553267,2026-06-16 15:54:36,2026-06-16,REF00000003
ACC0004,ORD0004,CUS0636,STR0911,revenue,google_pay,captured,19.09,USD,727475,2024-06-20 14:10:30,2024-06-20,REF00000004
ACC0005,ORD0005,CUS0355,STR0535,receivable,google_pay,captured,105.81,USD,631845,2026-04-28 22:59:39,2026-04-28,REF00000005
ACC0006,ORD0006,CUS0221,STR0650,card_clearing,apple_pay,pending,41.32,USD,779837,2025-05-03 06:05:54,2025-05-03,REF00000006
ACC0007,ORD0007,CUS0887,STR0463,card_clearing,gift_card,captured,26.92,USD,544574,2024-10-30 17:32:09,2024-10-30,REF00000007
ACC0008,ORD0008,CUS0418,STR0350,receivable,mastercard,refunded,-63.61,USD,587750,2025-11-13 17:51:01,2025-11-13,REF00000008
ACC0009,ORD0009,CUS0759,STR0297,revenue,amex,captured,22.48,USD,558843,2025-02-12 04:17:01,2025-02-12,REF00000009
ACC0010,ORD0010,CUS0321,STR0080,card_clearing,gift_card,captured,35.91,USD,304654,2026-06-28 03:25:13,2026-06-28,REF00000010
ACC0011,ORD0011,CUS0982,STR0443,cogs,mastercard,captured,30.82,USD,156293,2025-01-03 08:02:21,2025-01-03,REF00000011
ACC0012,ORD0012,CUS0463,STR0050,inventory,mastercard,captured,94.37,USD,927792,2025-08-14 15:04:30,2025-08-14,REF00000012
ACC0013,ORD0013,CUS0706,STR0984,payable,cash,voided,10.55,USD,828706,2025-06-27 08:01:51,2025-06-27,REF00000013
ACC0014,ORD0014,CUS0283,STR0446,card_clearing,google_pay,captured,97.52,USD,304145,2024-06-18 22:22:49,2024-06-18,REF00000014
ACC0015,ORD0015,CUS0436,STR0918,card_clearing,gift_card,captured,76.83,USD,882591,2026-03-15 13:31:30,2026-03-15,REF00000015
ACC0016,ORD0016,CUS0645,STR0504,cash,cash,pending,63.83,USD,817527,2026-02-26 15:55:53,2026-02-26,REF00000016
ACC0017,ORD0017,CUS0494,STR0658,revenue,amex,captured,85.10,USD,829274,2024-06-07 23:46:42,2024-06-07,REF00000017
ACC0018,ORD0018,CUS0597,STR0878,inventory,visa,captured,85.62,USD,345775,2025-07-12 05:47:28,2025-07-12,REF00000018
ACC0019,ORD0019,CUS0979,STR0893,receivable,google_pay,captured,45.53,USD,900264,2025-12-26 18:59:34,2025-12-26,REF00000019
ACC0020,ORD0020,CUS0248,STR0917,payable,visa,pending,40.57,USD,966352,2026-03-19 20:10:57,2026-03-19,REF00000020
ACC0021,ORD0021,CUS0879,STR0480,payable,google_pay,captured,78.22,USD,447799,2024-09-21 06:29:12,2024-09-21,REF00000021
ACC0022,ORD0022,CUS0807,STR0320,inventory,google_pay,refunded,-35.07,USD,259562,2025-08-21 16:05:48,2025-08-21,REF00000022
ACC0023,ORD0023,CUS0003,STR0268,cash,amex,captured,65.48,USD,318136,2025-07-09 20:57:01,2025-07-09,REF00000023
ACC0024,ORD0024,CUS0859,STR0526,cogs,cash,captured,13.63,USD,836835,2026-01-15 01:38:05,2026-01-15,REF00000024
ACC0025,ORD0025,CUS0387,STR0245,inventory,gift_card,voided,24.73,USD,592502,2024-08-03 19:27:42,2024-08-03,REF00000025
ACC0026,ORD0026,CUS0878,STR0332,loyalty_liability,amex,refunded,-19.32,USD,539142,2024-04-02 09:01:09,2024-04-02,REF00000026
ACC0027,ORD0027,CUS0600,STR0050,inventory,visa,captured,42.25,USD,979805,2025-02-08 19:08:50,2025-02-08,REF00000027
