membership_id,customer_id,tier_code,tier_name,points_balance,lifetime_points,discount_pct,points_multiplier,status,joined_at,renewal_date,referral_code
MEM0001,CUS0001,BRONZE,Bronze Slice Club,552,630,0.00,1.00,active,2026-05-19,2027-05-19,PIZZA0001
MEM0002,CUS0002,GOLD,Gold Slice Club,823,901,0.10,1.50,active,2026-02-01,2027-02-01,PIZZA0002
MEM0003,CUS0003,PLATINUM,Platinum Slice Club,1134,1230,0.15,2.00,paused,2024-09-18,2025-09-18,PIZZA0003
MEM0004,CUS0004,SILVER,Silver Slice Club,113,576,0.05,1.25,active,2025-12-12,2026-12-12,PIZZA0004
MEM0005,CUS0005,GOLD,Gold Slice Club,787,1003,0.10,1.50,active,2025-06-30,2026-06-30,PIZZA0005
MEM0006,CUS0006,BRONZE,Bronze Slice Club,448,2289,0.00,1.00,paused,2025-08-31,2026-08-31,PIZZA0006
MEM0007,CUS0007,BRONZE,Bronze Slice Club,722,1568,0.00,1.00,active,2025-11-08,2026-11-08,PIZZA0007
MEM0008,CUS0008,PLATINUM,Platinum Slice Club,954,2714,0.15,2.00,paused,2025-06-23,2026-06-23,PIZZA0008
MEM0009,CUS0009,SILVER,Silver Slice Club,105,376,0.05,1.25,active,2025-08-22,2026-08-22,PIZZA0009
MEM0010,CUS0010,SILVER,Silver Slice Club,575,1574,0.05,1.25,active,2025-08-06,2026-08-06,PIZZA0010
MEM0011,CUS0011,SILVER,Silver Slice Club,683,986,0.05,1.25,active,2024-04-04,2025-04-04,PIZZA0011
MEM0012,CUS0012,GOLD,Gold Slice Club,518,612,0.10,1.50,expired,2025-03-04,2026-03-04,PIZZA0012
MEM0013,CUS0013,BRONZE,Bronze Slice Club,629,1178,0.00,1.00,active,2025-08-24,2026-08-24,PIZZA0013
MEM0014,CUS0014,PLATINUM,Platinum Slice Club,874,2552,0.15,2.00,active,2026-05-18,2027-05-18,PIZZA0014
MEM0015,CUS0015,PLATINUM,Platinum Slice Club,948,2821,0.15,2.00,active,2024-05-30,2025-05-30,PIZZA0015
MEM0016,CUS0016,GOLD,Gold Slice Club,922,1036,0.10,1.50,active,2024-07-01,2025-07-01,PIZZA0016
MEM0017,CUS0017,BRONZE,Bronze Slice Club,398,1058,0.00,1.00,expired,2025-11-10,2026-11-10,PIZZA0017
MEM0018,CUS0018,GOLD,Gold Slice Club,444,2410,0.10,1.50,active,2026-03-11,2027-03-11,PIZZA0018
MEM0019,CUS0019,SILVER,Silver Slice Club,824,835,0.05,1.25,active,2024-02-12,2025-02-11,PIZZA0019
MEM0020,CUS0020,PLATINUM,Platinum Slice Club,630,2066,0.15,2.00,active,2024-04-06,2025-04-06,PIZZA0020
MEM0021,CUS0021,PLATINUM,Platinum Slice Club,1125,2217,0.15,2.00,expired,2024-01-03,2025-01-02,PIZZA0021
MEM0022,CUS0022,PLATINUM,Platinum Slice Club,793,1358,0.15,2.00,expired,2024-02-29,2025-02-28,PIZZA0022
MEM0023,CUS0023,SILVER,Silver Slice Club,431,1708,0.05,1.25,active,2025-12-31,2026-12-31,PIZZA0023
MEM0024,CUS0024,GOLD,Gold Slice Club,628,2437,0.10,1.50,expired,2025-03-15,2026-03-15,PIZZA0024
