order_item_id,order_id,product_id,product_name,quantity,unit_price,line_discount,line_total,special_instructions
ORI0001,ORD0001,PRD0905,Mozzarella Sticks #905,2,1.54,0.93,3.08,
ORI0002,ORD0002,PRD0253,"Neapolitan (Personal, Hand-Tossed)",2,18.68,0.41,37.36,
ORI0003,ORD0003,PRD0949,Garlic Knots #949,4,4.10,0.22,16.40,no onions
ORI0004,ORD0004,PRD0702,Soft Drink #702,3,7.26,1.21,21.78,well done
ORI0005,ORD0005,PRD0406,"BBQ Chicken (Personal, Thin)",2,12.18,2.73,24.36,light sauce
ORI0006,ORD0006,PRD0946,Chocolate Brownie #946,3,5.34,0.08,16.02,well done
ORI0007,ORD0007,PRD0739,Soft Drink #739,4,4.80,1.85,19.20,
ORI0008,ORD0008,PRD0392,"Mushroom Truffle (Medium, Stuffed)",1,22.57,2.72,22.57,no onions
ORI0009,ORD0009,PRD0755,Mozzarella Sticks #755,1,7.62,0.60,7.62,extra cheese
ORI0010,ORD0010,PRD0644,"Margherita (Medium, Hand-Tossed)",1,10.01,0.47,10.01,well done
ORI0011,ORD0011,PRD0574,"Sausage & Peppers (Large, Thin)",1,31.76,0.56,31.76,no onions
ORI0012,ORD0012,PRD0174,"Spicy Diablo (Family, Stuffed)",1,7.27,1.80,7.27,light sauce
ORI0013,ORD0013,PRD0487,"Pesto Chicken (Medium, Cauliflower)",4,27.24,0.14,108.96,light sauce
ORI0014,ORD0014,PRD0060,"Sausage & Peppers (Large, Hand-Tossed)",3,22.15,0.44,66.45,
ORI0015,ORD0015,PRD0296,"Meat Lovers (Personal, Cauliflower)",2,13.70,2.08,27.40,no onions
ORI0016,ORD0016,PRD0323,"Pesto Chicken (Medium, Hand-Tossed)",4,16.10,0.46,64.40,
ORI0017,ORD0017,PRD0892,Cheese Breadsticks #892,4,2.38,0.13,9.52,no onions
ORI0018,ORD0018,PRD0305,"Spicy Diablo (Large, Pan)",2,10.66,0.08,21.32,
ORI0019,ORD0019,PRD0450,"Sicilian (Medium, Thin)",2,23.70,0.92,47.40,no onions
ORI0020,ORD0020,PRD0915,Garlic Knots #915,4,2.99,2.91,11.96,
ORI0021,ORD0021,PRD0985,Garlic Knots #985,3,2.84,2.20,8.52,extra cheese
ORI0022,ORD0022,PRD0074,"Pepperoni (Medium, Hand-Tossed)",2,9.62,1.85,19.24,cut in squares
ORI0023,ORD0023,PRD0775,Soft Drink #775,2,3.44,1.39,6.88,cut in squares
ORI0024,ORD0024,PRD0386,"Neapolitan (Medium, Stuffed)",4,28.33,2.38,113.32,extra cheese
ORI0025,ORD0025,PRD0505,"Meat Lovers (Family, Pan)",4,22.34,2.18,89.36,
ORI0026,ORD0026,PRD0313,"Ranch Special (Medium, Thin)",2,17.73,2.68,35.46,
ORI0027,ORD0027,PRD0495,"Sicilian (Medium, Thin)",3,12.58,2.35,37.74,
ORI0028,ORD0028,PRD0181,"BBQ Chicken (Personal, Pan)",4,24.24,1.92,96.96,
ORI0029,ORD0029,PRD0137,"Pesto Chicken (Personal, Cauliflower)",2,26.31,1.28,52.62,
ORI0030,ORD0030,PRD0164,"Meat Lovers (Personal, Pan)",3,17.96,2.50,53.88,cut in squares
ORI0031,ORD0031,PRD0460,"Pepperoni (Family, Cauliflower)",3,27.68,1.98,83.04,
