order_id,customer_id,store_id,employee_id,membership_id,order_channel,order_type,order_status,ordered_at,promised_at,subtotal_amount,tax_amount,delivery_fee,discount_amount,total_amount,currency
ORD0001,CUS0206,STR0089,EMP0354,MEM0206,phone,takeout,placed,2025-07-14 18:22:58,2025-07-14 18:49:58,14.72,1.21,0.00,0.00,15.93,USD
ORD0002,CUS0835,STR0112,EMP0487,MEM0835,phone,dine_in,placed,2025-11-21 11:48:05,2025-11-21 12:27:05,50.21,4.14,0.00,0.00,54.35,USD
ORD0003,CUS0315,STR0468,EMP0180,MEM0315,phone,dine_in,cancelled,2026-06-16 15:54:36,2026-06-16 17:03:36,46.77,3.86,0.00,7.02,43.61,USD
ORD0004,CUS0636,STR0911,EMP0571,MEM0636,mobile_app,dine_in,out_for_delivery,2024-06-20 14:10:30,2024-06-20 14:40:30,14.62,1.21,3.99,0.73,19.09,USD
ORD0005,CUS0355,STR0535,EMP0678,MEM0355,delivery_partner,dine_in,baking,2026-04-28 22:59:39,2026-04-28 23:26:39,94.06,7.76,3.99,0.00,105.81,USD
ORD0006,CUS0221,STR0650,EMP0458,MEM0221,mobile_app,takeout,completed,2025-05-03 06:05:54,2025-05-03 06:26:54,34.48,2.84,3.99,0.00,41.32,USD
ORD0007,CUS0887,STR0463,EMP0764,MEM0887,mobile_app,takeout,ready_pickup,2024-10-30 17:32:09,2024-10-30 18:14:09,21.18,1.75,3.99,0.00,26.92,USD
ORD0008,CUS0418,STR0350,EMP0128,MEM0418,delivery_partner,delivery,out_for_delivery,2025-11-13 17:51:01,2025-11-13 18:26:01,57.74,4.76,3.99,2.89,63.61,USD
ORD0009,CUS0759,STR0297,EMP0324,MEM0759,web,takeout,preparing,2025-02-12 04:17:01,2025-02-12 04:58:01,18.82,1.55,3.99,1.88,22.48,USD
ORD0010,CUS0321,STR0080,EMP0945,MEM0321,phone,dine_in,completed,2026-06-28 03:25:13,2026-06-28 04:17:13,33.18,2.74,0.00,0.00,35.91,USD
ORD0011,CUS0982,STR0443,EMP0866,MEM0982,delivery_partner,dine_in,baking,2025-01-03 08:02:21,2025-01-03 09:04:21,29.85,2.46,0.00,1.49,30.82,USD
ORD0012,CUS0463,STR0050,EMP0218,MEM0463,delivery_partner,dine_in,baking,2025-08-14 15:04:30,2025-08-14 15:55:30,87.18,7.19,0.00,0.00,94.37,USD
ORD0013,CUS0706,STR0984,EMP0391,MEM0706,phone,delivery,cancelled,2025-06-27 08:01:51,2025-06-27 08:27:51,9.75,0.80,0.00,0.00,10.55,USD
ORD0014,CUS0283,STR0446,EMP0234,MEM0283,web,dine_in,out_for_delivery,2024-06-18 22:22:49,2024-06-18 23:12:49,94.45,7.79,0.00,4.72,97.52,USD
ORD0015,CUS0436,STR0918,EMP0207,MEM0436,in_store,takeout,baking,2026-03-15 13:31:30,2026-03-15 13:55:30,70.97,5.86,0.00,0.00,76.83,USD
ORD0016,CUS0645,STR0504,EMP0114,MEM0645,in_store,delivery,placed,2026-02-26 15:55:53,2026-02-26 16:38:53,61.82,5.10,0.00,3.09,63.83,USD
ORD0017,CUS0494,STR0658,EMP0368,MEM0494,web,dine_in,completed,2024-06-07 23:46:42,2024-06-08 00:23:42,86.61,7.15,0.00,8.66,85.10,USD
ORD0018,CUS0597,STR0878,EMP0393,MEM0597,delivery_partner,delivery,baking,2025-07-12 05:47:28,2025-07-12 06:09:28,75.41,6.22,3.99,0.00,85.62,USD
ORD0019,CUS0979,STR0893,EMP0051,MEM0979,delivery_partner,delivery,preparing,2025-12-26 18:59:34,2025-12-26 19:35:34,42.28,3.49,3.99,4.23,45.53,USD
ORD0020,CUS0248,STR0917,EMP0319,MEM0248,in_store,delivery,ready_pickup,2026-03-19 20:10:57,2026-03-19 20:38:57,41.29,3.41,0.00,4.13,40.57,USD
ORD0021,CUS0879,STR0480,EMP0033,MEM0879,in_store,takeout,preparing,2024-09-21 06:29:12,2024-09-21 06:50:12,79.62,6.57,0.00,7.96,78.22,USD
ORD0022,CUS0807,STR0320,EMP0008,MEM0807,web,takeout,baking,2025-08-21 16:05:48,2025-08-21 17:07:48,37.61,3.10,0.00,5.64,35.07,USD
ORD0023,CUS0003,STR0268,EMP0049,MEM0003,in_store,delivery,completed,2025-07-09 20:57:01,2025-07-09 21:22:01,66.64,5.50,0.00,6.66,65.48,USD
ORD0024,CUS0859,STR0526,EMP0505,MEM0859,phone,delivery,preparing,2026-01-15 01:38:05,2026-01-15 02:50:05,12.59,1.04,0.00,0.00,13.63,USD
ORD0025,CUS0387,STR0245,EMP0228,MEM0387,mobile_app,takeout,cancelled,2024-08-03 19:27:42,2024-08-03 20:26:42,23.95,1.98,0.00,1.20,24.73,USD
ORD0026,CUS0878,STR0332,EMP0396,MEM0878,phone,dine_in,baking,2024-04-02 09:01:09,2024-04-02 09:42:09,20.71,1.71,0.00,3.11,19.32,USD
ORD0027,CUS0600,STR0050,EMP0864,MEM0600,phone,dine_in,out_for_delivery,2025-02-08 19:08:50,2025-02-08 19:38:50,39.03,3.22,0.00,0.00,42.25,USD
ORD0028,CUS0429,STR0776,EMP0882,MEM0429,delivery_partner,dine_in,baking,2025-07-22 23:24:54,2025-07-23 00:20:54,25.92,2.14,3.99,0.00,32.05,USD
ORD0029,CUS0480,STR0910,EMP0675,MEM0480,web,takeout,cancelled,2024-10-22 05:31:18,2024-10-22 06:42:18,81.38,6.71,0.00,12.21,75.89,USD
ORD0030,CUS0630,STR0602,EMP0389,MEM0630,phone,dine_in,baking,2025-11-06 01:30:00,2025-11-06 02:35:00,44.61,3.68,0.00,6.69,41.60,USD
ORD0031,CUS0027,STR0625,EMP0718,MEM0027,mobile_app,takeout,ready_pickup,2026-05-22 20:23:59,2026-05-22 20:48:59,21.60,1.78,0.00,0.00,23.38,USD
ORD0032,CUS0265,STR0671,EMP0630,MEM0265,mobile_app,dine_in,placed,2025-01-11 19:40:41,2025-01-11 20:44:41,33.31,2.75,3.99,3.33,36.72,USD
ORD0033,CUS0205,STR0445,EMP0715,MEM0205,web,takeout,out_for_delivery,2025-07-24 17:43:31,2025-07-24 18:21:31,70.40,5.81,3.99,0.00,80.19,USD
ORD0034,CUS0907,STR0847,EMP0553,MEM0907,in_store,delivery,out_for_delivery,2024-09-26 14:21:55,2024-09-26 15:17:55,11.67,0.96,0.00,0.00,12.63,USD
