product_id,product_name,category,size,crust,is_vegetarian,unit_cost,unit_price,calories,is_active,supplier_id
PRD0001,"Four Cheese (Medium, Pan)",pizza,Medium,Pan,false,4.40,14.64,706,true,SUP0337
PRD0002,"Ranch Special (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,7.18,16.02,327,true,SUP0552
PRD0003,"Veggie Supreme (Large, Stuffed)",pizza,Large,Stuffed,true,5.79,17.19,1381,true,SUP0911
PRD0004,"Spicy Diablo (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,3.17,10.26,1144,true,SUP0404
PRD0005,"Ranch Special (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,3.12,7.78,1138,true,SUP0486
PRD0006,"Veggie Supreme (Family, Thin)",pizza,Family,Thin,true,5.80,13.92,128,true,SUP0281
PRD0007,"Spicy Diablo (Family, Cauliflower)",pizza,Family,Cauliflower,false,9.21,30.26,159,true,SUP0144
PRD0008,"White Garlic (Large, Stuffed)",pizza,Large,Stuffed,false,3.96,9.33,370,true,SUP0408
PRD0009,"Four Cheese (Large, Cauliflower)",pizza,Large,Cauliflower,false,5.28,13.66,689,true,SUP0767
PRD0010,"Meat Lovers (Family, Pan)",pizza,Family,Pan,false,4.91,13.19,511,true,SUP0472
PRD0011,"Veggie Supreme (Large, Thin)",pizza,Large,Thin,true,4.01,12.76,657,true,SUP0681
PRD0012,"BBQ Chicken (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,6.99,21.28,904,true,SUP0581
PRD0013,"Sausage & Peppers (Personal, Stuffed)",pizza,Personal,Stuffed,false,5.37,18.19,172,true,SUP0911
PRD0014,"Spicy Diablo (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,4.80,14.02,187,true,SUP0399
PRD0015,"Hawaiian (Medium, Pan)",pizza,Medium,Pan,false,8.00,23.07,352,true,SUP0736
PRD0016,"Buffalo Chicken (Large, Stuffed)",pizza,Large,Stuffed,false,2.74,8.50,518,true,SUP0279
PRD0017,"Mushroom Truffle (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,8.92,24.12,1107,true,SUP0211
PRD0018,"Mushroom Truffle (Personal, Pan)",pizza,Personal,Pan,false,2.82,8.11,663,true,SUP0064
PRD0019,"BBQ Chicken (Family, Cauliflower)",pizza,Family,Cauliflower,false,6.70,15.05,634,true,SUP0094
PRD0020,"Hawaiian (Family, Thin)",pizza,Family,Thin,false,9.33,26.99,1328,true,SUP0086
PRD0021,"Margherita (Personal, Pan)",pizza,Personal,Pan,true,7.09,23.46,199,true,SUP0576
PRD0022,"Pesto Chicken (Family, Thin)",pizza,Family,Thin,false,5.33,15.21,187,true,SUP0075
PRD0023,"Pepperoni (Medium, Pan)",pizza,Medium,Pan,false,3.51,11.75,530,true,SUP0917
PRD0024,"Sicilian (Large, Stuffed)",pizza,Large,Stuffed,false,4.33,10.33,242,true,SUP0203
PRD0025,"BBQ Chicken (Family, Thin)",pizza,Family,Thin,false,7.37,21.21,316,true,SUP0962
PRD0026,"Hawaiian (Medium, Stuffed)",pizza,Medium,Stuffed,false,5.18,11.88,1104,true,SUP0719
PRD0027,"BBQ Chicken (Family, Thin)",pizza,Family,Thin,false,3.92,9.27,320,true,SUP0317
PRD0028,"Margherita (Medium, Pan)",pizza,Medium,Pan,true,8.84,26.56,128,true,SUP0956
PRD0029,"Ranch Special (Personal, Pan)",pizza,Personal,Pan,false,3.14,7.42,1212,true,SUP0648
PRD0030,"Spinach Feta (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,8.86,29.42,273,true,SUP0623
PRD0031,"Four Cheese (Family, Cauliflower)",pizza,Family,Cauliflower,false,8.44,22.31,899,true,SUP0439
PRD0032,"Four Cheese (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,6.38,21.41,196,true,SUP0512
PRD0033,"Spinach Feta (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,3.35,9.71,706,true,SUP0657
PRD0034,"Veggie Supreme (Personal, Pan)",pizza,Personal,Pan,true,4.49,10.13,606,true,SUP0344
