promotion_id,promo_code,promo_name,discount_type,discount_value,min_order_amount,start_date,end_date,channel,is_active
PRO0001,SLICE0001,App Exclusive 1,percent,11.40,28.48,2025-12-03,2026-02-23,web,true
PRO0002,SLICE0002,Free Delivery Weekend 2,fixed,19.91,14.05,2025-04-21,2025-06-12,web,true
PRO0003,SLICE0003,Member Double Points 3,free_delivery,8.50,13.14,2025-02-03,2025-03-18,delivery_partner,true
PRO0004,SLICE0004,Free Delivery Weekend 4,fixed,18.22,21.92,2024-09-12,2024-10-15,delivery_partner,true
PRO0005,SLICE0005,Two for Tuesday 5,percent,8.49,18.15,2025-03-17,2025-04-07,web,true
PRO0006,SLICE0006,Member Double Points 6,free_delivery,12.90,34.81,2026-01-27,2026-04-17,web,true
PRO0007,SLICE0007,Family Feast 7,bogo,24.92,28.51,2024-10-06,2024-10-23,web,false
PRO0008,SLICE0008,Student Night 8,free_delivery,11.89,19.27,2025-09-20,2025-12-01,web,false
PRO0009,SLICE0009,App Exclusive 9,bogo,20.74,19.77,2024-05-25,2024-07-02,web,false
PRO0010,SLICE0010,Lunch Special 10,fixed,4.24,23.88,2025-09-04,2025-11-25,all,true
PRO0011,SLICE0011,Free Delivery Weekend 11,percent,8.81,23.65,2025-12-13,2026-01-04,delivery_partner,true
PRO0012,SLICE0012,Student Night 12,fixed,4.11,23.07,2024-12-11,2025-02-07,delivery_partner,false
PRO0013,SLICE0013,Member Double Points 13,fixed,16.34,28.30,2024-09-20,2024-11-10,all,false
PRO0014,SLICE0014,Free Delivery Weekend 14,percent,13.41,10.32,2025-04-02,2025-05-19,web,true
PRO0015,SLICE0015,Two for Tuesday 15,free_delivery,23.23,35.26,2024-02-22,2024-05-10,delivery_partner,true
PRO0016,SLICE0016,Student Night 16,percent,16.01,34.32,2024-08-30,2024-10-29,all,false
PRO0017,SLICE0017,Free Delivery Weekend 17,free_delivery,16.54,16.98,2024-12-19,2025-02-14,web,false
PRO0018,SLICE0018,App Exclusive 18,free_delivery,4.52,26.31,2025-08-15,2025-09-11,mobile_app,false
PRO0019,SLICE0019,Lunch Special 19,fixed,23.21,34.83,2025-11-07,2026-01-05,phone,false
PRO0020,SLICE0020,Member Double Points 20,free_delivery,19.09,23.67,2026-01-19,2026-02-17,web,true
PRO0021,SLICE0021,Two for Tuesday 21,free_delivery,12.83,32.04,2024-11-02,2025-01-16,delivery_partner,true
PRO0022,SLICE0022,App Exclusive 22,fixed,23.36,18.37,2024-03-16,2024-04-12,delivery_partner,false
PRO0023,SLICE0023,App Exclusive 23,fixed,3.71,23.66,2025-04-17,2025-06-22,web,true
PRO0024,SLICE0024,Free Delivery Weekend 24,free_delivery,13.87,39.30,2024-06-21,2024-07-31,phone,true
PRO0025,SLICE0025,Member Double Points 25,free_delivery,4.84,14.16,2025-11-28,2026-01-18,delivery_partner,true
PRO0026,SLICE0026,Two for Tuesday 26,free_delivery,8.86,11.72,2024-10-06,2024-11-24,delivery_partner,false
PRO0027,SLICE0027,Member Double Points 27,bogo,6.15,22.83,2026-01-08,2026-02-22,mobile_app,false
PRO0028,SLICE0028,Free Delivery Weekend 28,bogo,14.20,26.66,2025-09-17,2025-11-22,web,false
PRO0029,SLICE0029,Two for Tuesday 29,free_delivery,16.48,28.75,2024-10-03,2024-11-06,phone,true
PRO0030,SLICE0030,Family Feast 30,free_delivery,20.79,25.35,2024-10-30,2025-01-18,phone,false
PRO0031,SLICE0031,Two for Tuesday 31,free_delivery,3.09,39.75,2025-06-21,2025-07-02,delivery_partner,false
PRO0032,SLICE0032,Two for Tuesday 32,bogo,2.35,16.09,2025-07-12,2025-09-29,all,true
