sale_id,order_id,store_id,customer_id,sale_ts,sale_channel,gross_amount,discount_amount,tax_amount,net_amount,items_count,is_member_sale,business_date
SAL0001,ORD0001,STR0089,CUS0206,2025-07-14 18:22:58,phone,14.72,0.00,1.21,15.93,2,true,2025-07-14
SAL0002,ORD0002,STR0112,CUS0835,2025-11-21 11:48:05,phone,50.21,0.00,4.14,54.35,2,true,2025-11-21
SAL0003,ORD0003,STR0468,CUS0315,2026-06-16 15:54:36,phone,46.77,7.02,3.86,43.61,4,true,2026-06-16
SAL0004,ORD0004,STR0911,CUS0636,2024-06-20 14:10:30,mobile_app,14.62,0.73,1.21,19.09,3,true,2024-06-20
SAL0005,ORD0005,STR0535,CUS0355,2026-04-28 22:59:39,delivery_partner,94.06,0.00,7.76,105.81,2,true,2026-04-28
SAL0006,ORD0006,STR0650,CUS0221,2025-05-03 06:05:54,mobile_app,34.48,0.00,2.84,41.32,3,true,2025-05-03
SAL0007,ORD0007,STR0463,CUS0887,2024-10-30 17:32:09,mobile_app,21.18,0.00,1.75,26.92,4,true,2024-10-30
SAL0008,ORD0008,STR0350,CUS0418,2025-11-13 17:51:01,delivery_partner,57.74,2.89,4.76,63.61,1,true,2025-11-13
SAL0009,ORD0009,STR0297,CUS0759,2025-02-12 04:17:01,web,18.82,1.88,1.55,22.48,1,true,2025-02-12
SAL0010,ORD0010,STR0080,CUS0321,2026-06-28 03:25:13,phone,33.18,0.00,2.74,35.91,1,true,2026-06-28
SAL0011,ORD0011,STR0443,CUS0982,2025-01-03 08:02:21,delivery_partner,29.85,1.49,2.46,30.82,1,true,2025-01-03
SAL0012,ORD0012,STR0050,CUS0463,2025-08-14 15:04:30,delivery_partner,87.18,0.00,7.19,94.37,1,true,2025-08-14
SAL0013,ORD0013,STR0984,CUS0706,2025-06-27 08:01:51,phone,9.75,0.00,0.80,10.55,4,true,2025-06-27
SAL0014,ORD0014,STR0446,CUS0283,2024-06-18 22:22:49,web,94.45,4.72,7.79,97.52,3,true,2024-06-18
SAL0015,ORD0015,STR0918,CUS0436,2026-03-15 13:31:30,in_store,70.97,0.00,5.86,76.83,2,true,2026-03-15
SAL0016,ORD0016,STR0504,CUS0645,2026-02-26 15:55:53,in_store,61.82,3.09,5.10,63.83,4,true,2026-02-26
SAL0017,ORD0017,STR0658,CUS0494,2024-06-07 23:46:42,web,86.61,8.66,7.15,85.10,4,true,2024-06-07
SAL0018,ORD0018,STR0878,CUS0597,2025-07-12 05:47:28,delivery_partner,75.41,0.00,6.22,85.62,2,true,2025-07-12
SAL0019,ORD0019,STR0893,CUS0979,2025-12-26 18:59:34,delivery_partner,42.28,4.23,3.49,45.53,2,true,2025-12-26
SAL0020,ORD0020,STR0917,CUS0248,2026-03-19 20:10:57,in_store,41.29,4.13,3.41,40.57,4,true,2026-03-19
SAL0021,ORD0021,STR0480,CUS0879,2024-09-21 06:29:12,in_store,79.62,7.96,6.57,78.22,3,true,2024-09-21
SAL0022,ORD0022,STR0320,CUS0807,2025-08-21 16:05:48,web,37.61,5.64,3.10,35.07,2,true,2025-08-21
SAL0023,ORD0023,STR0268,CUS0003,2025-07-09 20:57:01,in_store,66.64,6.66,5.50,65.48,2,true,2025-07-09
SAL0024,ORD0024,STR0526,CUS0859,2026-01-15 01:38:05,phone,12.59,0.00,1.04,13.63,4,true,2026-01-15
SAL0025,ORD0025,STR0245,CUS0387,2024-08-03 19:27:42,mobile_app,23.95,1.20,1.98,24.73,4,true,2024-08-03
SAL0026,ORD0026,STR0332,CUS0878,2024-04-02 09:01:09,phone,20.71,3.11,1.71,19.32,2,true,2024-04-02
SAL0027,ORD0027,STR0050,CUS0600,2025-02-08 19:08:50,phone,39.03,0.00,3.22,42.25,3,true,2025-02-08
SAL0028,ORD0028,STR0776,CUS0429,2025-07-22 23:24:54,delivery_partner,25.92,0.00,2.14,32.05,4,true,2025-07-22
SAL0029,ORD0029,STR0910,CUS0480,2024-10-22 05:31:18,web,81.38,12.21,6.71,75.89,2,true,2024-10-22
SAL0030,ORD0030,STR0602,CUS0630,2025-11-06 01:30:00,phone,44.61,6.69,3.68,41.60,3,true,2025-11-06
SAL0031,ORD0031,STR0625,CUS0027,2026-05-22 20:23:59,mobile_app,21.60,0.00,1.78,23.38,3,true,2026-05-22
SAL0032,ORD0032,STR0671,CUS0265,2025-01-11 19:40:41,mobile_app,33.31,3.33,2.75,36.72,3,true,2025-01-11
SAL0033,ORD0033,STR0445,CUS0205,2025-07-24 17:43:31,web,70.40,0.00,5.81,80.19,1,true,2025-07-24
SAL0034,ORD0034,STR0847,CUS0907,2024-09-26 14:21:55,in_store,11.67,0.00,0.96,12.63,4,true,2024-09-26
SAL0035,ORD0035,STR0188,CUS0675,2024-09-17 03:42:00,delivery_partner,30.60,1.53,2.52,31.59,1,true,2024-09-17
SAL0036,ORD0036,STR0662,CUS0551,2026-07-16 14:14:47,delivery_partner,34.15,3.42,2.82,37.55,2,true,2026-07-16
SAL0037,ORD0037,STR0066,CUS0334,2026-01-20 00:09:29,mobile_app,36.02,3.60,2.97,39.38,3,true,2026-01-20
SAL0038,ORD0038,STR0376,CUS0408,2025-05-04 04:17:34,phone,52.80,5.28,4.36,51.87,2,true,2025-05-04
SAL0039,ORD0039,STR0447,CUS0342,2024-11-09 21:26:07,phone,45.25,2.26,3.73,46.72,4,true,2024-11-09
SAL0040,ORD0040,STR0060,CUS0465,2024-11-22 19:55:09,in_store,14.81,0.00,1.22,16.03,2,true,2024-11-22
SAL0041,ORD0041,STR0660,CUS0230,2026-03-12 15:44:54,web,76.38,11.46,6.30,75.22,3,true,2026-03-12
SAL0042,ORD0042,STR0309,CUS0076,2025-03-22 13:12:34,delivery_partner,26.66,0.00,2.20,32.85,3,true,2025-03-22
SAL0043,ORD0043,STR0465,CUS0803,2025-03-24 13:29:49,delivery_partner,53.79,5.38,4.44,56.84,2,true,2025-03-24
SAL0044,ORD0044,STR0710,CUS0576,2024-07-16 22:09:30,phone,40.33,0.00,3.33,43.66,4,true,2024-07-16
SAL0045,ORD0045,STR0197,CUS0878,2025-06-14 23:41:46,phone,89.08,0.00,7.35,96.43,4,true,2025-06-14
SAL0046,ORD0046,STR0502,CUS0065,2024-10-31 07:58:03,web,76.71,0.00,6.33,87.03,4,true,2024-10-31
SAL0047,ORD0047,STR0588,CUS0742,2026-05-28 03:29:56,phone,92.57,0.00,7.64,100.21,2,true,2026-05-28
SAL0048,ORD0048,STR0799,CUS0488,2025-05-13 19:39:20,in_store,9.50,0.00,0.78,10.28,2,true,2025-05-13
SAL0049,ORD0049,STR0219,CUS0821,2024-02-01 19:25:02,phone,85.44,12.82,7.05,79.68,3,true,2024-02-01
SAL0050,ORD0050,STR0985,CUS0347,2025-07-18 20:05:51,phone,16.40,0.82,1.35,16.93,4,true,2025-07-18
SAL0051,ORD0051,STR0196,CUS0140,2024-08-26 11:07:46,web,87.28,0.00,7.20,94.48,4,true,2024-08-26
SAL0052,ORD0052,STR0237,CUS0839,2024-07-26 00:47:56,phone,17.90,0.00,1.48,19.38,3,true,2024-07-26
SAL0053,ORD0053,STR0345,CUS0109,2024-02-26 19:10:48,web,18.84,0.94,1.55,23.45,1,true,2024-02-26
SAL0054,ORD0054,STR0513,CUS0564,2024-02-20 10:01:30,in_store,67.07,10.06,5.53,62.55,3,true,2024-02-20
SAL0055,ORD0055,STR0183,CUS0214,2025-10-19 00:02:03,web,24.20,3.63,2.00,26.56,3,true,2025-10-19
SAL0056,ORD0056,STR0364,CUS0346,2025-02-21 18:30:52,delivery_partner,67.20,10.08,5.54,62.67,3,true,2025-02-21
SAL0057,ORD0057,STR0193,CUS0723,2024-05-14 18:58:44,web,46.67,0.00,3.85,54.51,1,true,2024-05-14
SAL0058,ORD0058,STR0103,CUS0562,2025-07-04 06:21:09,web,37.45,3.75,3.09,40.79,1,true,2025-07-04
SAL0059,ORD0059,STR0797,CUS0655,2024-09-08 10:25:53,mobile_app,8.57,0.00,0.71,9.28,4,true,2024-09-08
SAL0060,ORD0060,STR0693,CUS0023,2026-06-25 10:14:03,in_store,62.16,6.22,5.13,61.07,3,true,2026-06-25
SAL0061,ORD0061,STR0081,CUS0622,2026-07-20 22:42:19,web,9.08,0.45,0.75,13.37,3,true,2026-07-20
SAL0062,ORD0062,STR0586,CUS0584,2026-07-31 19:31:53,phone,66.11,0.00,5.45,71.56,1,true,2026-07-31
SAL0063,ORD0063,STR0917,CUS0909,2026-06-01 22:18:01,delivery_partner,92.39,4.62,7.62,99.39,2,true,2026-06-01
SAL0064,ORD0064,STR0241,CUS0178,2024-05-10 00:02:26,in_store,11.14,0.00,0.92,12.06,2,true,2024-05-10
SAL0065,ORD0065,STR0507,CUS0116,2025-05-23 02:36:02,mobile_app,86.82,4.34,7.16,93.64,4,true,2025-05-23
SAL0066,ORD0066,STR0170,CUS0208,2026-01-05 21:52:06,phone,51.91,5.19,4.28,51.00,2,true,2026-01-05
SAL0067,ORD0067,STR0445,CUS0986,2026-02-18 13:50:41,delivery_partner,40.10,6.02,3.31,41.38,4,true,2026-02-18
SAL0068,ORD0068,STR0395,CUS0092,2024-09-08 07:36:57,in_store,69.98,10.50,5.77,65.25,1,true,2024-09-08
SAL0069,ORD0069,STR0773,CUS0869,2024-05-11 04:18:18,delivery_partner,30.02,3.00,2.48,33.48,1,true,2024-05-11
SAL0070,ORD0070,STR0701,CUS0373,2025-03-27 02:41:35,phone,14.80,0.00,1.22,16.02,2,true,2025-03-27
SAL0071,ORD0071,STR0679,CUS0068,2024-03-11 12:44:08,in_store,94.85,0.00,7.83,102.68,1,true,2024-03-11
SAL0072,ORD0072,STR0043,CUS0425,2026-05-15 22:50:26,delivery_partner,94.10,9.41,7.76,96.45,4,true,2026-05-15
SAL0073,ORD0073,STR0194,CUS0623,2025-05-30 16:12:30,delivery_partner,34.05,0.00,2.81,36.86,2,true,2025-05-30
SAL0074,ORD0074,STR0284,CUS0581,2025-06-02 06:53:50,in_store,22.69,3.40,1.87,21.16,1,true,2025-06-02
SAL0075,ORD0075,STR0435,CUS0047,2024-08-04 04:19:34,in_store,73.82,7.38,6.09,72.53,4,true,2024-08-04
SAL0076,ORD0076,STR0280,CUS0699,2024-03-15 12:17:34,delivery_partner,83.93,12.59,6.92,82.26,3,true,2024-03-15
SAL0077,ORD0077,STR0325,CUS0119,2024-07-12 03:53:55,web,72.83,0.00,6.01,78.84,1,true,2024-07-12
SAL0078,ORD0078,STR0015,CUS0358,2024-05-03 08:32:19,phone,66.68,3.33,5.50,68.85,3,true,2024-05-03
SAL0079,ORD0079,STR0994,CUS0166,2026-07-23 14:08:24,mobile_app,87.07,0.00,7.18,98.25,4,true,2026-07-23
SAL0080,ORD0080,STR0422,CUS0824,2025-04-16 08:24:37,phone,35.86,0.00,2.96,38.82,1,true,2025-04-16
SAL0081,ORD0081,STR0758,CUS0589,2024-10-04 07:43:01,web,26.43,1.32,2.18,31.28,4,true,2024-10-04
SAL0082,ORD0082,STR0027,CUS0260,2026-04-14 07:54:25,mobile_app,32.64,0.00,2.69,39.32,2,true,2026-04-14
SAL0083,ORD0083,STR0585,CUS0952,2025-09-13 23:12:14,web,73.38,3.67,6.05,75.76,1,true,2025-09-13
SAL0084,ORD0084,STR0101,CUS0583,2026-05-01 18:03:32,delivery_partner,16.88,0.84,1.39,17.43,4,true,2026-05-01
SAL0085,ORD0085,STR0164,CUS0905,2026-04-14 08:58:00,delivery_partner,77.97,0.00,6.43,84.40,1,true,2026-04-14
SAL0086,ORD0086,STR0016,CUS0723,2025-11-07 13:58:21,phone,39.14,0.00,3.23,42.37,2,true,2025-11-07
SAL0087,ORD0087,STR0080,CUS0638,2024-04-26 12:47:24,web,64.50,3.22,5.32,66.59,1,true,2024-04-26
SAL0088,ORD0088,STR0359,CUS0866,2024-11-12 22:15:58,mobile_app,60.07,3.00,4.96,62.03,3,true,2024-11-12
SAL0089,ORD0089,STR0479,CUS0242,2026-01-13 19:25:02,delivery_partner,48.09,0.00,3.97,56.04,2,true,2026-01-13
SAL0090,ORD0090,STR0037,CUS0142,2024-06-27 18:22:40,phone,28.89,0.00,2.38,31.27,3,true,2024-06-27
SAL0091,ORD0091,STR0345,CUS0191,2025-08-17 23:47:11,mobile_app,31.63,0.00,2.61,38.23,3,true,2025-08-17
SAL0092,ORD0092,STR0103,CUS0946,2025-07-08 13:48:23,delivery_partner,44.07,0.00,3.64,47.70,3,true,2025-07-08
SAL0093,ORD0093,STR0145,CUS0162,2025-10-02 17:53:31,mobile_app,25.18,0.00,2.08,27.26,1,true,2025-10-02
SAL0094,ORD0094,STR0031,CUS0630,2024-11-16 21:06:11,web,68.15,0.00,5.62,73.78,3,true,2024-11-16
SAL0095,ORD0095,STR0201,CUS0351,2025-08-12 08:13:36,mobile_app,15.65,0.78,1.29,20.15,4,true,2025-08-12
SAL0096,ORD0096,STR0086,CUS0337,2025-04-13 16:02:14,phone,23.99,3.60,1.98,22.37,4,true,2025-04-13
SAL0097,ORD0097,STR0333,CUS0903,2024-12-02 09:36:10,web,52.50,0.00,4.33,56.83,2,true,2024-12-02
SAL0098,ORD0098,STR0781,CUS0458,2026-06-01 21:16:34,web,59.86,2.99,4.94,65.80,4,true,2026-06-01
SAL0099,ORD0099,STR0657,CUS0246,2024-12-09 23:10:04,phone,18.38,1.84,1.52,18.06,2,true,2024-12-09
SAL0100,ORD0100,STR0302,CUS0397,2024-01-11 10:55:42,web,15.69,2.35,1.29,14.63,4,true,2024-01-11
SAL0101,ORD0101,STR0332,CUS0079,2025-03-12 16:19:47,phone,34.81,1.74,2.87,35.94,3,true,2025-03-12
SAL0102,ORD0102,STR0970,CUS0905,2025-12-04 08:07:53,in_store,17.31,0.00,1.43,18.74,4,true,2025-12-04
SAL0103,ORD0103,STR0982,CUS0022,2024-10-21 19:45:51,web,57.69,0.00,4.76,62.45,4,true,2024-10-21
SAL0104,ORD0104,STR0972,CUS0390,2026-07-29 11:46:07,mobile_app,25.49,0.00,2.10,31.58,4,true,2026-07-29
SAL0105,ORD0105,STR0076,CUS0748,2024-10-18 14:24:33,mobile_app,90.41,0.00,7.46,97.87,4,true,2024-10-18
SAL0106,ORD0106,STR0499,CUS0397,2025-10-11 22:50:20,mobile_app,61.17,9.18,5.05,61.04,1,true,2025-10-11
SAL0107,ORD0107,STR0877,CUS0645,2024-10-16 03:36:18,delivery_partner,52.70,0.00,4.35,61.04,4,true,2024-10-16
SAL0108,ORD0108,STR0212,CUS0239,2024-12-09 00:30:15,mobile_app,61.51,9.23,5.07,61.35,1,true,2024-12-09
SAL0109,ORD0109,STR0850,CUS0097,2025-12-03 19:28:58,phone,63.77,3.19,5.26,65.84,2,true,2025-12-03
SAL0110,ORD0110,STR0581,CUS0618,2025-08-21 02:39:37,web,82.54,0.00,6.81,89.34,3,true,2025-08-21
SAL0111,ORD0111,STR0316,CUS0123,2025-12-15 09:22:35,mobile_app,90.73,13.61,7.48,88.59,1,true,2025-12-15
SAL0112,ORD0112,STR0598,CUS0290,2025-05-22 04:36:47,phone,42.65,2.13,3.52,44.04,4,true,2025-05-22
