stock_id,store_id,product_id,quantity_on_hand,quantity_reserved,reorder_level,reorder_quantity,unit_cost,bin_location,last_counted_at,stock_status
STK0001,STR0809,PRD0001,158,20,36,76,4.40,B-03,2025-11-25 18:18:10,ok
STK0002,STR0858,PRD0002,144,1,57,138,7.18,A-11,2024-10-28 06:14:34,ok
STK0003,STR0680,PRD0003,16,13,18,19,5.79,C-11,2026-01-31 15:57:27,low
STK0004,STR0307,PRD0004,15,9,18,39,3.17,C-18,2025-11-17 16:25:58,low
STK0005,STR0434,PRD0005,146,11,30,66,3.12,A-06,2025-10-08 04:40:37,ok
STK0006,STR0529,PRD0006,23,1,24,55,5.80,B-15,2024-11-22 02:21:09,low
STK0007,STR0112,PRD0007,200,7,43,87,9.21,C-04,2024-09-23 01:10:48,ok
STK0008,STR0755,PRD0008,60,8,58,99,3.96,B-07,2024-10-01 10:11:58,ok
STK0009,STR0831,PRD0009,94,16,54,61,5.28,B-10,2025-06-24 04:48:51,ok
STK0010,STR0327,PRD0010,214,2,41,54,4.91,F-06,2025-12-24 01:00:48,ok
STK0011,STR0277,PRD0011,197,10,23,29,4.01,C-20,2024-07-14 09:13:17,ok
STK0012,STR0527,PRD0012,210,6,36,53,6.99,F-02,2024-08-27 08:15:47,ok
STK0013,STR0211,PRD0013,25,8,39,43,5.37,B-17,2024-04-25 16:53:03,low
STK0014,STR0046,PRD0014,246,0,34,96,4.80,F-08,2025-04-06 07:40:18,ok
STK0015,STR0281,PRD0015,53,8,23,66,8.00,F-01,2024-10-09 05:14:23,ok
STK0016,STR0666,PRD0016,247,12,57,83,2.74,B-12,2025-09-10 17:28:31,ok
STK0017,STR0285,PRD0017,18,12,55,136,8.92,B-19,2026-04-30 12:10:43,low
STK0018,STR0680,PRD0018,241,1,41,62,2.82,C-05,2024-05-27 08:21:21,ok
STK0019,STR0369,PRD0019,184,2,56,90,6.70,B-12,2024-05-28 09:45:47,ok
STK0020,STR0487,PRD0020,33,6,51,136,9.33,F-17,2025-07-22 16:05:43,low
STK0021,STR0045,PRD0021,67,9,56,124,7.09,C-06,2025-08-26 18:50:15,ok
STK0022,STR0053,PRD0022,162,4,58,163,5.33,B-11,2025-03-22 15:29:48,ok
STK0023,STR0671,PRD0023,120,5,19,35,3.51,A-11,2025-07-13 21:00:36,ok
STK0024,STR0823,PRD0024,208,1,25,73,4.33,F-03,2024-06-29 09:57:53,ok
STK0025,STR0232,PRD0025,156,0,11,19,7.37,C-17,2026-07-28 02:30:56,ok
STK0026,STR0139,PRD0026,121,20,33,54,5.18,B-09,2024-03-21 08:11:47,ok
STK0027,STR0519,PRD0027,125,11,12,25,3.92,B-08,2025-06-03 21:53:44,ok
STK0028,STR0375,PRD0028,243,12,32,62,8.84,C-19,2026-05-12 04:59:33,ok
STK0029,STR0065,PRD0029,134,4,59,130,3.14,C-07,2026-05-26 05:05:55,ok
STK0030,STR0797,PRD0030,112,16,29,79,8.86,F-19,2026-05-21 02:40:30,ok
STK0031,STR0044,PRD0031,11,11,32,78,8.44,F-07,2024-11-10 19:27:59,low
STK0032,STR0930,PRD0032,134,14,10,29,6.38,B-13,2025-08-26 13:22:50,ok
STK0033,STR0001,PRD0033,147,9,53,54,3.35,C-09,2025-12-09 15:05:42,ok
STK0034,STR0906,PRD0034,232,0,33,46,4.49,F-11,2024-01-25 10:36:11,ok
STK0035,STR0342,PRD0035,105,12,53,97,5.38,C-17,2026-07-14 00:38:57,ok
STK0036,STR0784,PRD0036,156,1,50,132,4.86,F-11,2026-04-11 06:47:35,ok
STK0037,STR0956,PRD0037,101,15,47,138,3.47,B-06,2024-11-10 01:27:03,ok
STK0038,STR0174,PRD0038,74,1,21,37,6.18,B-01,2024-04-05 11:52:52,ok
STK0039,STR0409,PRD0039,61,2,54,127,2.71,A-02,2025-10-29 16:07:38,ok
STK0040,STR0874,PRD0040,144,3,40,71,5.05,F-08,2025-06-12 07:41:25,ok
STK0041,STR0606,PRD0041,20,2,58,166,3.59,C-05,2024-03-18 02:12:30,low
STK0042,STR1000,PRD0042,214,17,19,44,5.83,A-05,2024-08-12 16:08:43,ok
STK0043,STR0222,PRD0043,40,13,45,131,2.54,A-09,2024-01-04 09:46:38,low
STK0044,STR0733,PRD0044,197,20,18,36,2.78,C-10,2024-07-31 04:02:37,ok
STK0045,STR0150,PRD0045,66,19,57,76,5.36,B-10,2025-01-07 22:33:12,ok
STK0046,STR0023,PRD0046,38,4,24,68,6.25,A-01,2024-02-12 15:11:03,ok
STK0047,STR0099,PRD0047,48,14,18,51,8.59,B-18,2024-09-07 14:49:50,ok
STK0048,STR0272,PRD0048,169,10,25,28,6.39,F-19,2024-05-29 06:46:01,ok
STK0049,STR0732,PRD0049,238,10,24,38,9.50,B-20,2025-05-16 15:39:15,ok
STK0050,STR0997,PRD0050,97,20,17,48,4.38,F-06,2026-07-03 08:30:57,ok
STK0051,STR0288,PRD0051,228,16,57,92,4.93,F-16,2025-08-07 04:43:52,ok
STK0052,STR0293,PRD0052,14,8,59,155,7.86,F-15,2026-06-20 08:46:17,low
STK0053,STR0957,PRD0053,92,12,23,27,6.98,C-01,2026-05-07 13:36:19,ok
STK0054,STR0194,PRD0054,0,0,51,56,4.18,A-13,2025-01-17 10:56:32,out_of_stock
STK0055,STR0918,PRD0055,238,12,25,28,6.85,B-16,2024-10-18 21:31:57,ok
