movement_id,store_id,product_id,supplier_id,movement_type,quantity,unit_cost,reference_id,moved_at,notes
MOV0001,STR0900,PRD0895,,adjustment,18,2.74,DOC0001,2024-09-07 21:28:15,damaged goods
MOV0002,STR0854,PRD0899,,sale,-16,3.23,ORD0756,2025-10-16 05:14:02,
MOV0003,STR0035,PRD0442,SUP0074,receipt,2,2.56,DOC0003,2026-02-03 16:30:04,
MOV0004,STR0862,PRD0765,,transfer_out,-40,1.53,DOC0004,2024-11-17 14:49:38,promo prep
MOV0005,STR0176,PRD0545,SUP0392,receipt,9,6.04,DOC0005,2024-05-27 03:20:33,
MOV0006,STR0991,PRD0100,,waste,-7,7.11,DOC0006,2024-01-10 03:58:59,end of day count
MOV0007,STR0049,PRD0996,,adjustment,39,2.32,DOC0007,2026-01-31 18:04:09,damaged goods
MOV0008,STR0577,PRD0310,,transfer_in,2,4.01,DOC0008,2025-03-13 15:22:32,promo prep
MOV0009,STR0159,PRD0656,,adjustment,3,8.13,DOC0009,2026-06-22 20:15:29,end of day count
MOV0010,STR0877,PRD0690,,transfer_in,26,6.40,DOC0010,2025-10-25 05:39:44,promo prep
MOV0011,STR0247,PRD0844,SUP0919,receipt,3,2.33,DOC0011,2024-03-19 16:30:19,damaged goods
MOV0012,STR0318,PRD0978,,waste,-13,3.11,DOC0012,2024-04-29 12:24:58,damaged goods
MOV0013,STR0879,PRD0745,,adjustment,18,2.19,DOC0013,2024-08-05 05:02:42,
MOV0014,STR0220,PRD0937,,transfer_in,21,1.04,DOC0014,2025-01-05 15:42:42,
MOV0015,STR0082,PRD0485,,waste,-31,7.92,DOC0015,2024-10-04 20:27:36,promo prep
MOV0016,STR0355,PRD0695,SUP0768,receipt,31,2.55,DOC0016,2025-08-10 13:35:00,
MOV0017,STR0234,PRD0201,,sale,-30,3.63,ORD0932,2025-08-01 21:27:18,
MOV0018,STR0679,PRD0596,,waste,-20,9.15,DOC0018,2025-02-07 10:17:32,damaged goods
MOV0019,STR0086,PRD0228,,transfer_in,19,4.69,DOC0019,2026-06-22 00:54:13,
MOV0020,STR0010,PRD0426,SUP0894,receipt,26,7.92,DOC0020,2024-05-07 06:31:29,end of day count
MOV0021,STR0525,PRD0732,,transfer_in,25,0.44,DOC0021,2024-12-13 12:25:52,promo prep
MOV0022,STR0949,PRD0032,,transfer_in,13,6.38,DOC0022,2025-12-23 21:58:47,
MOV0023,STR0861,PRD0156,,adjustment,21,9.11,DOC0023,2026-01-17 14:49:30,weekly delivery
MOV0024,STR0268,PRD0559,,transfer_out,-16,5.03,DOC0024,2025-09-18 03:28:39,
MOV0025,STR0122,PRD0615,,transfer_in,3,7.30,DOC0025,2024-06-08 04:17:57,
MOV0026,STR0526,PRD0807,,transfer_out,-36,3.98,DOC0026,2026-04-27 07:48:46,
MOV0027,STR0148,PRD0007,,transfer_out,-21,9.21,DOC0027,2025-11-17 10:00:54,damaged goods
MOV0028,STR0130,PRD0533,,sale,-14,3.66,ORD0955,2024-12-26 20:16:26,promo prep
MOV0029,STR0892,PRD0875,,waste,-34,3.15,DOC0029,2025-10-29 08:13:27,
MOV0030,STR0281,PRD0220,,sale,-9,9.45,ORD0234,2025-03-29 11:55:48,
MOV0031,STR0428,PRD0148,,waste,-5,8.05,DOC0031,2024-01-27 05:07:10,
MOV0032,STR0652,PRD0265,,waste,-10,8.37,DOC0032,2024-10-26 01:34:27,
MOV0033,STR0391,PRD0372,,transfer_in,22,8.01,DOC0033,2025-11-11 16:04:05,end of day count
MOV0034,STR0013,PRD0432,,adjustment,26,6.70,DOC0034,2024-06-17 03:40:07,promo prep
MOV0035,STR0155,PRD0654,,waste,-8,7.84,DOC0035,2026-01-25 06:15:57,weekly delivery
MOV0036,STR0310,PRD0244,,sale,-8,3.33,ORD0029,2026-04-21 10:37:26,weekly delivery
MOV0037,STR0632,PRD0241,,transfer_out,-33,3.79,DOC0037,2026-05-24 19:35:37,
MOV0038,STR0984,PRD0715,,transfer_out,-2,2.48,DOC0038,2025-01-22 00:49:32,promo prep
MOV0039,STR0446,PRD0103,,transfer_out,-27,8.14,DOC0039,2025-02-10 05:25:53,end of day count
MOV0040,STR0970,PRD0443,,transfer_out,-1,7.73,DOC0040,2024-08-21 08:43:50,end of day count
MOV0041,STR0886,PRD0681,,adjustment,36,5.02,DOC0041,2026-01-08 22:40:42,weekly delivery
MOV0042,STR0573,PRD0761,,waste,-8,2.28,DOC0042,2024-06-08 22:07:16,end of day count
MOV0043,STR0905,PRD0847,,transfer_in,28,1.25,DOC0043,2024-06-27 06:02:22,
MOV0044,STR0504,PRD0288,,adjustment,25,3.37,DOC0044,2026-05-07 08:34:18,weekly delivery
MOV0045,STR0708,PRD0805,,transfer_out,-30,2.38,DOC0045,2025-08-10 14:44:12,end of day count
MOV0046,STR0804,PRD0310,,transfer_in,37,4.01,DOC0046,2024-09-02 03:50:54,end of day count
MOV0047,STR0613,PRD0377,,adjustment,3,8.86,DOC0047,2024-10-11 14:03:11,damaged goods
MOV0048,STR0164,PRD0977,,transfer_in,30,3.32,DOC0048,2025-04-07 08:37:32,end of day count
MOV0049,STR0999,PRD0630,,waste,-35,4.24,DOC0049,2024-10-12 01:03:10,weekly delivery
MOV0050,STR0298,PRD0732,,waste,-30,0.44,DOC0050,2025-08-12 03:52:20,
MOV0051,STR0302,PRD0302,,transfer_in,36,8.66,DOC0051,2024-09-23 13:35:35,
MOV0052,STR0112,PRD0049,,sale,-32,9.50,ORD0679,2025-08-23 13:07:31,damaged goods
MOV0053,STR0371,PRD0254,,sale,-34,2.56,ORD0080,2024-12-30 15:59:17,end of day count
MOV0054,STR0692,PRD0133,,waste,-12,8.72,DOC0054,2024-03-13 03:52:43,weekly delivery
MOV0055,STR0766,PRD0430,,waste,-15,8.11,DOC0055,2025-05-01 16:09:20,
MOV0056,STR0672,PRD0069,,transfer_in,4,4.47,DOC0056,2025-06-08 13:24:52,end of day count
MOV0057,STR0388,PRD0138,,transfer_in,30,4.29,DOC0057,2026-06-08 10:13:47,damaged goods
MOV0058,STR0909,PRD0198,SUP0604,receipt,4,9.45,DOC0058,2024-08-13 14:50:22,promo prep
MOV0059,STR0051,PRD0765,,sale,-3,1.53,ORD0275,2024-10-23 20:12:54,
MOV0060,STR0943,PRD0050,,transfer_in,30,4.38,DOC0060,2026-05-27 08:04:06,
MOV0061,STR0029,PRD0740,,adjustment,6,1.87,DOC0061,2024-07-21 13:09:51,
MOV0062,STR0370,PRD0861,,sale,-12,0.67,ORD0253,2026-02-20 02:57:09,damaged goods
MOV0063,STR0064,PRD0317,,transfer_out,-40,9.36,DOC0063,2025-06-10 16:41:56,weekly delivery
MOV0064,STR0011,PRD0347,,transfer_in,11,5.49,DOC0064,2026-01-24 13:54:46,
MOV0065,STR0127,PRD0571,SUP0352,receipt,25,6.60,DOC0065,2024-11-06 19:50:43,
MOV0066,STR0548,PRD0611,,waste,-19,5.37,DOC0066,2025-03-04 14:53:54,promo prep
MOV0067,STR0056,PRD0557,,transfer_in,25,2.53,DOC0067,2025-11-30 07:45:36,promo prep
MOV0068,STR0278,PRD0391,,adjustment,28,9.22,DOC0068,2024-08-06 02:31:05,promo prep
MOV0069,STR0815,PRD0627,,adjustment,3,5.87,DOC0069,2025-10-17 15:25:12,weekly delivery
MOV0070,STR0409,PRD0065,,waste,-6,3.08,DOC0070,2024-07-24 21:44:07,end of day count
MOV0071,STR0891,PRD0327,,waste,-31,4.30,DOC0071,2024-11-02 06:09:08,end of day count
MOV0072,STR0280,PRD0039,,sale,-5,2.71,ORD0805,2025-04-16 14:10:21,
MOV0073,STR0148,PRD0373,,sale,-36,5.48,ORD0461,2025-11-12 12:41:57,damaged goods
MOV0074,STR0817,PRD0505,SUP0479,receipt,2,7.08,DOC0074,2024-01-11 00:31:54,damaged goods
MOV0075,STR0350,PRD0543,,waste,-23,9.39,DOC0075,2024-03-28 08:06:11,end of day count
MOV0076,STR0612,PRD0653,,sale,-22,5.16,ORD0641,2026-01-07 22:21:10,end of day count
MOV0077,STR0685,PRD0246,,sale,-33,6.06,ORD0884,2024-07-01 07:25:12,
MOV0078,STR0909,PRD0199,,waste,-20,3.21,DOC0078,2024-10-28 01:48:22,promo prep
MOV0079,STR0441,PRD0220,SUP0097,receipt,26,9.45,DOC0079,2024-08-28 10:52:53,
MOV0080,STR0506,PRD0212,,transfer_in,4,8.81,DOC0080,2024-07-20 10:03:55,promo prep
MOV0081,STR0040,PRD0823,,adjustment,32,1.37,DOC0081,2024-02-20 03:17:13,end of day count
MOV0082,STR0482,PRD0253,,sale,-26,6.66,ORD0430,2026-04-14 15:46:29,
MOV0083,STR0093,PRD0248,,transfer_in,39,5.60,DOC0083,2025-11-18 07:24:46,end of day count
MOV0084,STR0460,PRD0017,,adjustment,39,8.92,DOC0084,2024-01-23 06:07:20,weekly delivery
MOV0085,STR0394,PRD0919,,adjustment,28,3.85,DOC0085,2024-02-04 04:59:08,
MOV0086,STR0344,PRD0345,,transfer_out,-16,5.80,DOC0086,2024-04-11 00:24:31,damaged goods
MOV0087,STR0286,PRD0594,,transfer_out,-13,5.66,DOC0087,2025-03-01 13:10:41,weekly delivery
MOV0088,STR0727,PRD0628,,transfer_out,-5,2.98,DOC0088,2025-08-27 06:05:33,
MOV0089,STR0633,PRD0373,SUP0685,receipt,12,5.48,DOC0089,2026-05-19 08:45:57,end of day count
MOV0090,STR0716,PRD0625,,transfer_out,-10,5.60,DOC0090,2025-10-09 08:33:28,promo prep
MOV0091,STR0143,PRD0178,,waste,-22,6.24,DOC0091,2025-06-01 20:47:20,end of day count
MOV0092,STR0312,PRD0910,SUP0037,receipt,40,0.97,DOC0092,2025-02-09 14:10:35,promo prep
MOV0093,STR0649,PRD0354,SUP0757,receipt,34,4.31,DOC0093,2024-02-29 15:53:46,end of day count
MOV0094,STR0026,PRD0394,,sale,-27,4.70,ORD0239,2025-02-16 23:56:41,
MOV0095,STR0661,PRD0597,SUP0875,receipt,25,7.29,DOC0095,2024-05-01 17:57:57,end of day count
MOV0096,STR0224,PRD0580,SUP0547,receipt,16,8.91,DOC0096,2024-11-03 09:26:30,
MOV0097,STR0206,PRD0387,,waste,-21,6.72,DOC0097,2024-09-25 09:55:39,damaged goods
MOV0098,STR0276,PRD0032,,adjustment,15,6.38,DOC0098,2024-10-20 17:20:28,
MOV0099,STR0778,PRD0759,,transfer_in,17,3.03,DOC0099,2025-03-07 04:46:14,weekly delivery
MOV0100,STR0384,PRD0835,,transfer_out,-7,3.86,DOC0100,2025-09-21 20:04:41,weekly delivery
MOV0101,STR0997,PRD0600,,waste,-27,9.40,DOC0101,2024-05-29 08:43:44,weekly delivery
MOV0102,STR0162,PRD0897,,adjustment,33,2.67,DOC0102,2025-09-29 09:55:29,damaged goods
MOV0103,STR0336,PRD0117,,transfer_out,-7,5.35,DOC0103,2025-07-16 03:01:55,end of day count
MOV0104,STR0309,PRD0478,,adjustment,2,7.24,DOC0104,2026-01-26 10:14:20,promo prep
MOV0105,STR0602,PRD0847,,waste,-37,1.25,DOC0105,2024-05-28 16:19:39,end of day count
MOV0106,STR0711,PRD0670,,transfer_out,-2,9.48,DOC0106,2025-10-20 08:21:23,
MOV0107,STR0752,PRD0686,,transfer_out,-7,5.67,DOC0107,2024-08-04 12:42:03,weekly delivery
MOV0108,STR0877,PRD0451,SUP0575,receipt,26,6.99,DOC0108,2024-02-17 22:41:24,
MOV0109,STR0632,PRD0713,,transfer_out,-11,0.71,DOC0109,2024-08-18 01:42:48,weekly delivery
MOV0110,STR0564,PRD0935,,transfer_out,-29,1.60,DOC0110,2024-04-14 07:17:48,weekly delivery
MOV0111,STR0053,PRD0488,,transfer_in,32,9.07,DOC0111,2025-06-27 01:53:00,damaged goods
MOV0112,STR0836,PRD0402,,waste,-3,3.15,DOC0112,2024-01-29 17:33:14,promo prep
MOV0113,STR0020,PRD0675,,sale,-8,9.15,ORD0696,2026-06-03 13:16:28,promo prep
MOV0114,STR0636,PRD0462,,transfer_in,27,5.74,DOC0114,2025-04-16 16:42:05,promo prep
MOV0115,STR0008,PRD0456,,adjustment,20,5.58,DOC0115,2026-05-15 06:08:54,end of day count
MOV0116,STR0030,PRD0679,SUP0579,receipt,26,4.09,DOC0116,2025-06-14 11:57:26,end of day count
MOV0117,STR0146,PRD0072,,waste,-28,5.71,DOC0117,2025-10-01 22:17:26,
MOV0118,STR0423,PRD0341,,transfer_out,-23,7.14,DOC0118,2024-04-10 03:24:18,
MOV0119,STR0381,PRD0867,SUP0148,receipt,28,0.89,DOC0119,2024-07-29 19:10:17,damaged goods
MOV0120,STR0645,PRD0743,SUP0333,receipt,12,0.98,DOC0120,2025-08-16 17:49:01,
MOV0121,STR0824,PRD0806,,waste,-12,0.41,DOC0121,2024-08-24 16:21:54,damaged goods
MOV0122,STR0985,PRD0944,,adjustment,19,2.56,DOC0122,2026-02-14 17:04:32,weekly delivery
MOV0123,STR0601,PRD0394,,transfer_in,34,4.70,DOC0123,2025-06-18 10:30:13,
MOV0124,STR0433,PRD0216,,transfer_out,-5,3.88,DOC0124,2025-03-02 03:24:30,damaged goods
MOV0125,STR0657,PRD0023,,waste,-18,3.51,DOC0125,2025-08-07 16:25:42,
MOV0126,STR0345,PRD0930,,adjustment,36,3.87,DOC0126,2024-03-01 22:17:05,
MOV0127,STR0654,PRD0764,,adjustment,9,2.72,DOC0127,2025-11-30 15:50:14,
MOV0128,STR0096,PRD0626,,transfer_in,7,4.93,DOC0128,2025-02-18 12:15:57,
MOV0129,STR0138,PRD0109,SUP0629,receipt,12,3.76,DOC0129,2024-03-04 12:23:24,weekly delivery
