party_id,customer_id,party_type,role,relationship_to_account
PTY4D74A1FB30,CUST100050653,Individual,Primary Account Holder,Dependent
PTYAB0EC2503F,CUST100011553,Individual,Authorized User,Spouse
PTY5B65D19E1A,CUST100061160,Individual,Primary Account Holder,Business Partner
PTYF8AF68C0D0,CUST100093409,Individual,Primary Account Holder,Business Partner
PTY83F4618388,CUST100088681,Individual,Guarantor,Business Partner
PTYF5A03CD594,CUST100007852,Organization,Primary Account Holder,Dependent
PTY4E2BF62927,CUST100065732,Individual,Primary Account Holder,Spouse
PTYB5B72BB09E,CUST100028676,Individual,Primary Account Holder,Child
PTY56D8255B07,CUST100003752,Individual,Primary Account Holder,Business Partner
PTY4142F77C12,CUST100006540,Individual,Primary Account Holder,Dependent
PTYA4909B939E,CUST100090398,Individual,Authorized User,Child
PTY96365A6682,CUST100074110,Organization,Primary Account Holder,Business Partner
PTY9C8BB51F59,CUST100098382,Individual,Beneficiary,Spouse
PTYD7A99B9329,CUST100041035,Individual,Primary Account Holder,Spouse
PTY425F4AA4DF,CUST100086022,Individual,Primary Account Holder,Child
PTY97018E72F2,CUST100061833,Individual,Primary Account Holder,Business Partner
PTY78D0013C96,CUST100003879,Organization,Beneficiary,Dependent
PTYF05FC951D7,CUST100030174,Individual,Primary Account Holder,Child
PTYD0895CF811,CUST100023851,Individual,Beneficiary,Self
PTY91C6976F37,CUST100098133,Individual,Primary Account Holder,Dependent
PTYF97B778AE9,CUST100054577,Individual,Primary Account Holder,Child
PTY96E8444BC3,CUST100061595,Individual,Authorized User,Dependent
PTYC54C0078A3,CUST100075841,Individual,Guarantor,Dependent
PTYDD2CF7BB0A,CUST100011449,Individual,Authorized User,Child
PTY4512C3551B,CUST100012594,Individual,Primary Account Holder,Spouse
PTY9975FFAFB4,CUST100045850,Organization,Primary Account Holder,Dependent
PTY50C46C43FA,CUST100000432,Organization,Primary Account Holder,Dependent
PTY9F6656598C,CUST100056265,Organization,Primary Account Holder,Business Partner
PTYE48173442F,CUST100095778,Organization,Authorized User,Child
PTY74E41499C3,CUST100010004,Individual,Authorized User,Dependent
PTY5DE89464B7,CUST100031682,Individual,Primary Account Holder,Self
PTYAFB040D118,CUST100024034,Individual,Primary Account Holder,Child
PTY3EB36597D3,CUST100053675,Individual,Beneficiary,Dependent
PTY182E655168,CUST100071391,Individual,Primary Account Holder,Spouse
PTYD641C3B1F8,CUST100039690,Individual,Beneficiary,Child
PTY28A2FAA284,CUST100026818,Organization,Primary Account Holder,Child
PTY79A449C0C3,CUST100088585,Individual,Primary Account Holder,Business Partner
PTY4846D7CA1B,CUST100036579,Individual,Primary Account Holder,Self
PTYDF97B9EA5C,CUST100051226,Organization,Primary Account Holder,Spouse
PTY6B3069BAC9,CUST100038390,Individual,Primary Account Holder,Spouse
PTY29C79F2023,CUST100081555,Organization,Primary Account Holder,Spouse
PTY1D36FE926F,CUST100065372,Individual,Primary Account Holder,Child
PTY9DDF588713,CUST100005795,Individual,Primary Account Holder,Dependent
PTY40F979D319,CUST100016509,Individual,Beneficiary,Spouse
PTY1E4D060185,CUST100095698,Individual,Primary Account Holder,Child
PTY9EF837AE73,CUST100016588,Individual,Authorized User,Dependent
PTYDE0C2C4B69,CUST100016954,Organization,Authorized User,Spouse
PTYCA0BA9B81C,CUST100043974,Individual,Primary Account Holder,Dependent
PTY76E81C7B6F,CUST100077816,Individual,Primary Account Holder,Spouse
PTY6359D520DC,CUST100083327,Individual,Primary Account Holder,Self
PTY9AD262EE8D,CUST100025983,Individual,Primary Account Holder,Self
PTY885E96C4A2,CUST100033269,Individual,Primary Account Holder,Spouse
PTY2D1C942D9B,CUST100016602,Individual,Beneficiary,Dependent
PTY97954125B1,CUST100086497,Individual,Authorized User,Self
PTY23B645598B,CUST100040466,Individual,Authorized User,Self
PTYC65F8A2902,CUST100095900,Individual,Authorized User,Dependent
PTY1456369CED,CUST100047341,Individual,Authorized User,Spouse
PTYE421D0204A,CUST100014457,Individual,Beneficiary,Self
PTY2F240DD6FD,CUST100001343,Individual,Primary Account Holder,Spouse
PTYD589D54899,CUST100065234,Organization,Primary Account Holder,Child
PTYCC8D9FE106,CUST100096270,Individual,Authorized User,Child
PTYCBE4729DB8,CUST100023905,Individual,Primary Account Holder,Business Partner
PTYFBB725F49F,CUST100083599,Individual,Primary Account Holder,Self
PTYC0D89C73EF,CUST100071943,Organization,Authorized User,Dependent
PTYF49D84EFFC,CUST100021523,Individual,Primary Account Holder,Self
PTY475B3784F8,CUST100038163,Individual,Authorized User,Child
PTY6F4EE02BD9,CUST100052924,Individual,Primary Account Holder,Business Partner
PTYC48083D6ED,CUST100094045,Individual,Primary Account Holder,Business Partner
PTYB27C6F80F4,CUST100094725,Individual,Guarantor,Child
PTY51A7A4AB60,CUST100026817,Individual,Primary Account Holder,Spouse
PTY763CDF2474,CUST100085779,Individual,Primary Account Holder,Business Partner
PTYEA86C80797,CUST100028877,Individual,Primary Account Holder,Spouse
