account_id,customer_id,parent_account_id,account_type,hierarchy_level
ACC994E987495,CUST100057683,ACC1D85749BBA,Individual,1
ACCA166EE4A2E,CUST100039670,,Individual,0
ACC3A1697A1AF,CUST100082508,,Family Plan,2
ACCE8277A3E8E,CUST100074882,,Individual,0
ACCEE42C35EFD,CUST100002070,,Individual,0
ACC28CF97474D,CUST100008061,,Family Plan,0
ACC92E8FE4E65,CUST100046394,,Business Sub-Account,0
ACC6411926CA7,CUST100083221,,Individual,1
ACCFD33AEABA6,CUST100001534,,Family Plan,0
ACC150383F5CF,CUST100060757,ACC76A3F00020,Family Plan,0
ACC8E629306EE,CUST100011751,,Family Plan,0
ACCF173114536,CUST100088226,,Family Plan,1
ACC71B422540B,CUST100037046,,Business Master,0
ACCF928DD40D5,CUST100049738,,Family Plan,2
ACC966E4C5BD5,CUST100026399,,Individual,0
ACC503982BBBD,CUST100069467,,Business Master,0
ACCF7F3FA5AD7,CUST100081276,,Family Plan,1
ACC2225125B65,CUST100069836,,Family Plan,0
ACCA3FA96D058,CUST100095279,,Family Plan,0
ACC4EA849E32E,CUST100072496,,Family Plan,0
ACC2D822C562D,CUST100006154,,Individual,2
ACC997764E845,CUST100084198,,Family Plan,2
ACC3E67F9AEE5,CUST100063230,ACCAE8D2A8961,Family Plan,0
ACC6B47DE9190,CUST100096379,,Family Plan,0
ACC9ADF5A4948,CUST100094199,,Individual,0
ACCAD5E304D80,CUST100082655,,Business Sub-Account,0
ACC5A4AB001B0,CUST100075245,,Business Master,0
ACCCEB22CB6DF,CUST100075817,ACCBA5CEA0320,Business Master,0
ACCA282C3E1C2,CUST100026104,,Individual,0
ACCEE3BB1A0DF,CUST100085311,ACC59BD6E38FC,Individual,0
ACC3EAD406FA4,CUST100062888,,Individual,0
ACCF554D05BCD,CUST100015365,,Individual,0
ACC28E8620777,CUST100032377,,Family Plan,0
ACCFEFB8060E5,CUST100049867,,Individual,1
ACCC4F86D13B6,CUST100031288,,Family Plan,0
ACCF495A5E7AD,CUST100025287,,Individual,1
ACC89B774F7B1,CUST100085828,,Individual,0
ACC412D74D737,CUST100047998,,Family Plan,1
ACCA019519018,CUST100094469,,Family Plan,1
ACC9DA0D63BEB,CUST100093744,,Individual,0
ACC3C2994496E,CUST100050159,,Individual,1
ACC132544430E,CUST100085719,ACC10953E1025,Individual,0
ACC61AE99065A,CUST100004279,ACC252FB834DA,Family Plan,0
ACCBA314B392C,CUST100099974,,Individual,1
ACC66BA031023,CUST100051853,,Individual,0
ACCC3CD5AC5E1,CUST100031552,ACC1FD56ABD10,Individual,0
ACCD989A56D49,CUST100013491,,Business Master,0
ACC75C5D5A5E0,CUST100011919,,Individual,1
ACC303EC9F3FE,CUST100097869,,Individual,0
ACC4A93A3F4DF,CUST100068458,,Family Plan,0
ACC322FE8AA10,CUST100051198,ACCDC63457651,Individual,1
ACCED33C26662,CUST100035427,,Business Master,0
ACCAF0B09CDD1,CUST100016252,,Individual,1
ACCB6E7C6EC3D,CUST100071702,,Individual,0
ACCE154767EC3,CUST100039177,,Business Master,0
ACC74B082D427,CUST100007051,ACCCB110078E9,Individual,0
ACCABC78D22A7,CUST100051580,ACC60C89FCA06,Business Master,0
ACC2998EF3A2B,CUST100034968,,Individual,0
ACC107EC501E1,CUST100042411,,Individual,1
ACCA5A9AF5C93,CUST100063213,,Business Master,0
ACCD885427C18,CUST100019174,,Individual,0
ACCD2FDA13A4E,CUST100023292,ACC5CEB8E60F4,Business Master,1
ACCFA977BB55F,CUST100072250,ACC4CB8EC0944,Individual,0
ACCC764C72F02,CUST100028482,,Individual,1
ACC6CDDDFFC97,CUST100062619,ACCF02FFEFD92,Business Sub-Account,0
ACC9EEC2E3F57,CUST100079572,,Individual,0
ACC70882690D3,CUST100047867,,Business Master,0
ACCE1267A0801,CUST100003664,,Family Plan,0
ACC93206E8AB8,CUST100074091,ACC5E0CDB0322,Business Master,0
ACCB5C08365AA,CUST100024149,ACCE54F3770F5,Family Plan,0
ACC71BC262F48,CUST100014610,ACC320F0406FB,Family Plan,0
ACCD265E0F196,CUST100066715,,Individual,0
ACC667A2B06D6,CUST100006257,,Family Plan,1
ACC20B2A741C9,CUST100047817,,Individual,0
ACCF17F5F007E,CUST100093249,,Individual,1
ACCC155A1E68D,CUST100092529,,Individual,0
ACCB27DDAA918,CUST100059592,,Individual,1
ACCA2B5A334A1,CUST100027810,,Individual,0
ACC0C0FB9A118,CUST100050038,,Individual,0
ACC251D335498,CUST100040699,,Family Plan,1
ACC07C04E1B81,CUST100072068,,Family Plan,0
ACC8502B0958A,CUST100034581,ACC2B4CA53CCE,Individual,2
ACC2CD3AEAA99,CUST100001320,ACC9F0A3A6A50,Business Master,0
ACC6D1F04653E,CUST100040870,,Individual,0
ACCD7928849DC,CUST100077534,,Individual,0
ACC4BB9103B38,CUST100076849,,Individual,1
ACC1E77C9BB9C,CUST100013746,ACC7E2E397372,Family Plan,0
ACC875E0BF96F,CUST100067664,,Individual,0
ACC3BB9138978,CUST100045436,,Individual,0
ACC70E70B8379,CUST100052772,,Individual,0
ACCE427ABB92F,CUST100085048,,Individual,1
ACCA1B747E62C,CUST100076305,ACCFA8F3AF38F,Individual,0
ACCD8CDF7B643,CUST100029633,,Family Plan,0
ACC940BE23C47,CUST100012296,,Family Plan,0
ACCA58D8BC17A,CUST100035757,,Family Plan,0
ACCF1BF76CC88,CUST100066981,,Individual,0
ACC9E3FFBBDA6,CUST100068289,,Individual,0
ACCF6612B737D,CUST100097706,,Individual,0
ACC045A3732E5,CUST100045688,,Individual,1
ACCE3CAC5A7B4,CUST100021312,ACC124ED6FD66,Individual,0
ACC83F5523444,CUST100024069,ACC79EE3CDC79,Business Master,1
ACCEECA6E8C02,CUST100003699,,Family Plan,1
ACCFA6B2B1061,CUST100009491,,Individual,0
ACC3B2C38FE13,CUST100041960,,Individual,0
ACCFE38A85505,CUST100059794,,Individual,0
ACCD983F5CCAC,CUST100002297,,Individual,0
ACC77196CEA79,CUST100028524,,Individual,1
ACC7771AFA4D7,CUST100038825,ACCC8F0234079,Individual,0
ACC3DD0B19A0B,CUST100080468,,Family Plan,0
ACCCC96B9736C,CUST100019762,,Individual,0
ACC4EB3B8B02A,CUST100059755,ACC767C09D5F4,Individual,0
ACC18787568E2,CUST100028275,,Business Master,1
ACC75EFB4AB32,CUST100071477,ACC3C84724157,Individual,0
ACCEF788FA61F,CUST100027349,,Business Sub-Account,0
ACC5111A3B2D2,CUST100077441,,Individual,0
ACC7222C10234,CUST100080519,,Family Plan,0
ACC1A22B23372,CUST100018271,,Individual,1
ACC2D84CE6BB2,CUST100063586,,Family Plan,1
ACCA201965B3D,CUST100040469,,Individual,0
ACC7343F4A72C,CUST100050437,ACC41374B310F,Individual,0
ACCB0EB833810,CUST100021437,,Individual,0
ACC9D01C710A6,CUST100012042,,Family Plan,0
ACCEDF45A4745,CUST100001335,,Individual,1
ACC161C0E6486,CUST100096400,,Family Plan,0
ACC4B7786205C,CUST100077378,,Business Sub-Account,0
ACCE464503A0E,CUST100083706,ACC0D5BB8E8F5,Individual,0
ACCDCF82D7664,CUST100033095,ACCA2BCD23CD5,Family Plan,0
ACC68A491562A,CUST100019352,,Individual,0
ACCF335463BD4,CUST100036798,,Business Master,1
ACC64F9F819CA,CUST100013936,,Individual,0
ACCE0289BC338,CUST100067854,,Individual,0
ACCAEA425377B,CUST100050451,,Business Sub-Account,1
ACC67974A7235,CUST100032273,,Family Plan,0
ACCDE7068E511,CUST100036600,,Family Plan,0
ACC9596E176B0,CUST100057527,,Individual,1
ACC587C102B04,CUST100088813,,Business Master,0
ACC8E5BFFD53D,CUST100045913,,Individual,1
ACC1BA6B009C6,CUST100097727,,Individual,1
ACC51615B0CCE,CUST100070316,,Individual,0
ACC9EF5968F61,CUST100002355,,Individual,0
ACC1E1F5AA85B,CUST100012383,ACC854B5ADCE3,Business Master,0
ACC08989B1F0D,CUST100078534,,Family Plan,1
ACC6365AF2C00,CUST100001563,,Family Plan,1
ACCDD5A7976AC,CUST100020950,,Individual,2
ACC50326FBAC5,CUST100000877,,Family Plan,0
ACC82AC906005,CUST100029889,,Business Sub-Account,2
ACC5A62CD39DD,CUST100019938,,Individual,1
ACC85E982233A,CUST100009209,ACC0A93F43DCE,Individual,0
ACC37A1C125A4,CUST100068161,,Individual,0
ACC74852CBDB1,CUST100025216,,Individual,0
ACC9D80ADD520,CUST100003919,,Individual,0
ACCBC2BE88759,CUST100057215,,Individual,0
ACC6AD32F72C5,CUST100071647,ACC1D0847C6F2,Family Plan,0
ACC8422CA189E,CUST100045784,,Business Master,0
ACC82F6406EF4,CUST100096583,,Individual,0
ACC922BBD00DB,CUST100070260,,Individual,0
ACCFBF88E6D4E,CUST100039455,ACCA32BEC8E18,Individual,0
ACC50E2A173FE,CUST100042520,ACC33E8446B89,Individual,0
ACC6E22DEFD18,CUST100079951,ACC2FD9CCBBE6,Family Plan,0
ACC437E667662,CUST100008456,,Individual,0
ACC8758B16DA9,CUST100009842,,Business Master,0
ACC9EA17D41B6,CUST100003547,,Business Master,1
ACCEBB59DA723,CUST100042591,,Family Plan,1
ACC70E54DAF61,CUST100090518,,Individual,0
ACC89607B9FBC,CUST100034625,,Family Plan,0
ACC53205A935E,CUST100050778,,Individual,0
ACC4AC0281822,CUST100043638,,Individual,0
ACC6E2A1C1C16,CUST100014584,,Individual,1
ACCBC9FFF394D,CUST100018951,,Individual,0
ACCF18CBC8E8F,CUST100091942,,Individual,0
ACCEDEAA7EFF3,CUST100034728,,Business Sub-Account,1
ACCCA6D5B031E,CUST100028798,,Family Plan,0
ACC637B5378A3,CUST100063815,,Family Plan,1
ACC1951CD277F,CUST100090096,,Individual,0
ACCF56609B375,CUST100001340,,Individual,2
ACC30678BBF76,CUST100028429,,Individual,2
ACCB820597D0F,CUST100084680,,Individual,0
ACC127ACDB099,CUST100065813,,Family Plan,0
ACC8430FE55B6,CUST100076802,,Family Plan,0
ACCC43A6B5817,CUST100057520,ACC2DD71B8764,Family Plan,2
ACCD2E1071567,CUST100015557,,Family Plan,0
ACC24A37A960F,CUST100032076,,Family Plan,0
ACC9815980E66,CUST100040593,ACCD618C3C5BB,Individual,0
ACC9A94178DF5,CUST100077528,,Family Plan,0
ACC4DACD0492A,CUST100017008,,Business Sub-Account,0
ACC070138208A,CUST100039453,ACC12BBD89D2E,Family Plan,0
ACC434A533C2B,CUST100072495,,Family Plan,0
ACCC18E6763E7,CUST100036440,,Family Plan,0
ACCE60D4838DC,CUST100060399,,Individual,0
ACC60B08637A0,CUST100040537,,Family Plan,0
ACC8F58330492,CUST100093346,,Individual,0
ACCBBC1099ECE,CUST100017237,ACCE8F3838714,Individual,0
ACC2F0DC74CEE,CUST100070289,,Family Plan,0
ACC7FD3C1022B,CUST100027895,,Family Plan,0
ACC8750391B43,CUST100069682,,Family Plan,1
ACCD0B6556044,CUST100083474,,Individual,0
ACCFB5A792CEC,CUST100058792,,Individual,1
ACC2F97C385FD,CUST100058970,,Business Master,0
ACCAE8E290521,CUST100046402,,Business Master,0
ACC0B280142BA,CUST100093915,,Family Plan,0
ACC9EEA4FF7C2,CUST100090183,,Business Master,0
ACC3E15E70AF9,CUST100074729,,Family Plan,1
ACCE6F33F8487,CUST100034479,,Individual,0
ACC25D0516C54,CUST100030630,ACCF8C1EA1234,Family Plan,0
ACC67A310BDD5,CUST100001807,,Individual,1
ACC2A5590DAC5,CUST100086022,,Individual,1
ACC853E6079CC,CUST100013352,,Family Plan,0
ACC06A5603C21,CUST100046126,,Individual,0
ACCA83932ECD5,CUST100045199,,Business Master,1
ACC3FFF2C1C96,CUST100097291,ACCB44EA9AF56,Individual,0
ACCD2A2E06640,CUST100013304,ACCE2D9AD5EFB,Individual,0
ACC26F3949228,CUST100037322,,Family Plan,0
ACC08DB0C0D92,CUST100044042,ACC5967AC4FEE,Individual,0
ACC191AD1BDDB,CUST100059294,,Family Plan,0
ACCD4E3C1A71C,CUST100066158,,Individual,0
ACC7D9547842A,CUST100067441,ACC4D75ABC6DC,Individual,0
ACC9B2F8520D0,CUST100039279,,Business Master,0
ACCA384BBEAD4,CUST100001387,,Individual,0
ACC42133320E0,CUST100006204,ACC8C65CBD14D,Family Plan,2
ACCE8726D6B7B,CUST100060755,,Business Master,0
ACCCBB7AFAE17,CUST100062262,,Individual,0
ACC8E29037650,CUST100025047,ACC30E27379E8,Family Plan,2
ACCBCA8D193D2,CUST100088696,ACC1630D4AC42,Individual,0
ACC800F736CCF,CUST100057453,,Family Plan,0
ACC8155A7EAEB,CUST100023138,,Family Plan,0
ACCAF76E48352,CUST100049081,,Individual,2
ACC7D757A3425,CUST100086385,ACC100FFB5D96,Individual,0
ACCD8D9844A39,CUST100075510,,Individual,0
ACC9711D82527,CUST100053390,,Individual,2
ACC990A0DAFE7,CUST100086373,,Individual,0
ACC2D0D7E5E34,CUST100045670,,Individual,2
