plan_id,customer_id,plan_name,plan_type,monthly_fee_usd,data_allowance_gb,voice_minutes,sms_allowance,start_date
PLN077D4E1712,CUST100077798,Family Share 10GB,IoT,142.29,10,500,100,2025-12-01
PLN2847F3490E,CUST100030939,Unlimited Premium,IoT,95.47,20,1000,-1,2015-10-13
PLNC2AB6AD898,CUST100074773,Unlimited Basic,Broadband,122.48,20,1000,500,2016-08-06
PLNFA747F0453,CUST100015287,IoT Data Plan,IoT,96.19,2,-1,500,2021-12-29
PLN68AF726206,CUST100049790,IoT Data Plan,Broadband,72.81,50,500,500,2017-05-27
PLN94EED382E4,CUST100059666,Unlimited Premium,Postpaid Mobile,75.79,10,-1,100,2016-03-14
PLN5134FA0497,CUST100013051,Unlimited Premium,Broadband,149.94,-1,500,-1,2016-03-14
PLND9D31AD0D0,CUST100005258,Unlimited Plus,Postpaid Mobile,67.74,20,1000,100,2024-11-13
PLNC826EBE6F3,CUST100033937,IoT Data Plan,Prepaid Mobile,131.39,10,500,100,2018-07-14
PLNB271A80518,CUST100020780,Fiber 500Mbps,Postpaid Mobile,134.46,50,-1,-1,2023-05-23
PLN74C768252F,CUST100051436,Fiber 500Mbps,Postpaid Mobile,73.38,10,-1,-1,2017-03-12
PLN63010022AF,CUST100001788,Unlimited Basic,Postpaid Mobile,32.13,5,1000,100,2024-05-11
PLN51F2914574,CUST100031806,Unlimited Plus,Postpaid Mobile,74.13,20,-1,500,2024-06-09
PLNEDABAF6F39,CUST100000713,Unlimited Premium,Postpaid Mobile,83.78,5,500,-1,2019-08-06
PLNCCCFAB312E,CUST100071889,IoT Data Plan,Postpaid Mobile,137.58,50,-1,100,2022-09-08
PLNAB830704FA,CUST100052222,Fiber 1Gbps,Postpaid Mobile,50.99,10,1000,100,2017-11-23
PLN4C3068BECF,CUST100034495,Unlimited Plus,Prepaid Mobile,119.28,50,1000,500,2017-01-31
PLN59A576891A,CUST100043050,Fiber 500Mbps,Broadband,82.06,10,1000,500,2026-06-11
PLND5BE78708B,CUST100032136,Unlimited Premium,Prepaid Mobile,95.44,2,1000,-1,2025-11-15
PLN11EDFB87B1,CUST100024365,Unlimited Plus,Postpaid Mobile,26.39,50,500,500,2019-10-11
PLN5ED66195F5,CUST100032199,Unlimited Plus,Postpaid Mobile,18.26,-1,1000,100,2026-03-30
PLNCA2BE98844,CUST100094900,Unlimited Premium,Postpaid Mobile,48.85,50,1000,-1,2020-11-28
PLNFD9F721C64,CUST100001327,Unlimited Premium,Prepaid Mobile,140.61,50,-1,100,2020-11-02
PLN90E6DD80DF,CUST100095678,Prepaid 5GB,Prepaid Mobile,118.21,10,1000,500,2025-03-16
PLN39CA2719C3,CUST100056096,Unlimited Basic,Postpaid Mobile,78.44,10,500,100,2025-02-18
PLND42174F8C8,CUST100017480,Fiber 500Mbps,Postpaid Mobile,115.92,50,500,500,2019-03-16
PLN9DD13B128B,CUST100005733,Unlimited Basic,Postpaid Mobile,50.78,5,1000,100,2024-12-29
