package_id,customer_id,package_name,bundled_services,discount_pct,start_date,end_date
PKGD5CC2C2B3E,CUST100004583,Device Protection Plan,Mobile+Streaming,13.1,2024-05-09,2026-02-21 19:17:25
PKGB538F87361,CUST100043078,Mobile + Streaming,Mobile+TV+Internet,27.9,2024-03-16,2025-06-30 16:14:56
PKG5213868942,CUST100023974,Device Protection Plan,Internet+Security,14.8,2020-08-13,2022-06-24 11:37:22
PKGE35B4C59D7,CUST100018510,Mobile + Streaming,Mobile+Streaming,24.3,2020-04-11,2020-11-28 23:52:34
PKG6810D59145,CUST100011867,Mobile + Streaming,Internet+Security,1.7,2019-12-04,2020-09-27 12:49:08
PKG4CA330A495,CUST100086812,Home Security Add-on,Mobile Only Add-on,15.8,2019-08-24,2021-04-28 06:43:07
PKG607545C2DE,CUST100093238,Home Security Add-on,Mobile+TV+Internet,0.2,2020-01-22,2021-06-09 01:50:32
PKG631DFB3CB1,CUST100068912,International Calling Pack,Mobile+Streaming,24.3,2022-11-04,2024-09-25 20:18:16
PKG515DD8FBD6,CUST100046432,Triple Play Bundle,Mobile Only Add-on,9.9,2025-12-25,2026-09-17 11:40:26
PKGD88F3FE172,CUST100087984,Device Protection Plan,Mobile Only Add-on,11.3,2022-02-22,2023-07-23 23:57:14
PKG1046C09876,CUST100034688,Mobile + Streaming,Mobile+TV+Internet,13.8,2024-02-21,2025-10-27 12:47:41
PKG961A970369,CUST100095790,Triple Play Bundle,Mobile Only Add-on,13.4,2019-03-01,2020-12-11 12:16:52
PKG2383907A95,CUST100039402,Home Security Add-on,Mobile Only Add-on,24.4,2018-07-14,2019-03-07 08:06:36
PKGE41DD5E2CE,CUST100067279,Mobile + Streaming,Mobile+TV+Internet,2.0,2018-01-22,2019-08-10 00:44:57
PKG18A1993736,CUST100013150,Home Security Add-on,Internet+Security,7.9,2018-10-18,2020-03-27 21:57:35
PKGA070E4832F,CUST100067603,Mobile + Streaming,Mobile Only Add-on,17.9,2024-12-25,2026-01-09 01:14:16
PKG32B79DBE04,CUST100020064,Device Protection Plan,Mobile+TV+Internet,4.1,2022-06-25,2024-03-14 00:58:43
PKGF172C54B1D,CUST100081647,Triple Play Bundle,Internet+Security,16.3,2021-08-04,2022-12-05 14:22:51
PKG4FA39EA12C,CUST100083208,International Calling Pack,Mobile+TV+Internet,16.7,2021-12-24,2023-04-08 03:56:46
PKGAFEA49FCA0,CUST100007409,Device Protection Plan,Mobile+TV+Internet,25.0,2024-01-03,2025-04-22 17:31:37
PKGEC49A8F546,CUST100061395,Device Protection Plan,Mobile Only Add-on,17.4,2024-09-30,2026-08-21 15:55:30
PKG3EE7BE3C63,CUST100003313,Device Protection Plan,Mobile+Streaming,27.1,2024-07-01,2026-06-27 17:51:59
PKG0984D4601D,CUST100063070,Home Security Add-on,Mobile Only Add-on,12.4,2023-01-01,2023-10-13 01:07:41
PKGFD05D4FB98,CUST100034743,Home Security Add-on,Internet+Security,23.3,2019-02-22,2019-11-25 10:22:10
PKGBEEF262D23,CUST100050637,International Calling Pack,Mobile+Streaming,5.9,2021-07-02,2022-08-07 07:39:44
PKGF5B4054EBC,CUST100056831,Mobile + Streaming,Mobile+Streaming,1.8,2018-03-22,2019-07-04 15:47:09
PKGC9E35B720D,CUST100005319,Device Protection Plan,Mobile Only Add-on,29.9,2022-02-23,2022-10-06 10:40:01
PKGFDA0F3E915,CUST100024003,Triple Play Bundle,Mobile+TV+Internet,0.3,2025-10-18,2026-10-23 12:00:14
PKG620A4102CD,CUST100064837,Home Security Add-on,Internet+Security,26.7,2024-10-02,2026-09-29 23:55:33
PKGE498F02FAA,CUST100042085,International Calling Pack,Internet+Security,14.3,2020-09-24,2021-04-01 08:24:11
PKG2F07CD3F2E,CUST100067641,International Calling Pack,Mobile+TV+Internet,17.1,2023-07-18,2024-10-16 18:17:50
PKG1A803E08F9,CUST100035557,Triple Play Bundle,Mobile+Streaming,25.5,2024-08-20,2025-08-06 14:15:24
PKG24DDBF5FCE,CUST100074437,Device Protection Plan,Mobile+Streaming,8.1,2022-08-09,2023-05-13 20:46:48
PKG4C7E5DBD5E,CUST100067778,Mobile + Streaming,Mobile Only Add-on,25.3,2024-02-22,2024-09-11 13:40:01
PKGD17CC33DBA,CUST100010430,Triple Play Bundle,Mobile+TV+Internet,29.1,2022-08-08,2023-05-15 14:00:25
PKG74C430FBA7,CUST100072647,Home Security Add-on,Mobile+TV+Internet,15.8,2022-02-01,2023-03-20 06:27:18
PKGEE9D0387F5,CUST100003145,Home Security Add-on,Mobile Only Add-on,25.1,2025-12-24,2027-10-10 11:27:53
PKGF09FDD3E03,CUST100080720,Device Protection Plan,Mobile+TV+Internet,5.9,2020-08-05,2021-06-11 14:15:45
PKG40CF9A6F7D,CUST100001404,Triple Play Bundle,Mobile Only Add-on,21.3,2024-08-28,2025-07-29 20:41:24
PKG2999F2205C,CUST100044993,International Calling Pack,Internet+Security,9.9,2023-08-02,2024-10-08 09:45:54
PKGDEAAFFB93C,CUST100075122,Mobile + Streaming,Mobile+TV+Internet,25.7,2022-03-06,2023-06-24 02:10:28
PKGB5854AAA82,CUST100065964,Mobile + Streaming,Mobile+TV+Internet,21.4,2022-01-29,2023-03-01 02:11:20
PKG36B01EE98F,CUST100023977,Mobile + Streaming,Mobile+TV+Internet,12.1,2025-03-24,2026-04-12 13:44:28
PKGCEFFE98A74,CUST100015017,Mobile + Streaming,Internet+Security,20.4,2022-10-12,2024-08-26 23:48:38
PKGDACF7B1E0D,CUST100087481,Triple Play Bundle,Mobile Only Add-on,2.3,2025-10-27,2027-04-23 17:09:54
PKG087747F505,CUST100023816,Home Security Add-on,Mobile+Streaming,15.7,2019-10-19,2021-07-02 03:12:41
PKGDB75F9F951,CUST100081974,Home Security Add-on,Mobile+TV+Internet,8.7,2025-04-02,2025-12-24 14:48:14
PKG3F851257A3,CUST100073587,International Calling Pack,Mobile+TV+Internet,19.7,2021-01-21,2022-06-26 02:48:16
PKG88524408F9,CUST100000969,Device Protection Plan,Mobile Only Add-on,29.3,2019-09-03,2021-02-24 19:36:31
PKG38BFF82978,CUST100003731,Home Security Add-on,Internet+Security,27.5,2018-07-22,2019-09-18 08:15:27
PKGF79048ED4F,CUST100046717,Device Protection Plan,Mobile Only Add-on,1.7,2019-04-23,2021-01-29 23:56:30
PKG2647A06967,CUST100098150,Home Security Add-on,Mobile Only Add-on,23.9,2019-08-20,2020-03-28 08:40:37
PKGE8166A9641,CUST100077800,International Calling Pack,Internet+Security,13.9,2019-03-26,2020-11-09 08:49:51
PKGA4FD9B57B8,CUST100082459,International Calling Pack,Mobile Only Add-on,23.0,2021-09-14,2022-12-24 05:29:07
PKG9EBA100D04,CUST100079237,International Calling Pack,Mobile+TV+Internet,1.9,2018-01-20,2018-12-18 22:11:19
PKG6B288EB15A,CUST100071580,Home Security Add-on,Mobile Only Add-on,20.3,2025-09-27,2026-06-13 07:27:47
PKGCF4A681D9E,CUST100094234,Mobile + Streaming,Mobile Only Add-on,28.8,2021-09-05,2023-06-04 19:58:09
PKG16E599BB9C,CUST100037858,Triple Play Bundle,Mobile+Streaming,11.9,2021-01-31,2022-03-26 04:22:54
PKG381F54A8A5,CUST100094638,Triple Play Bundle,Mobile Only Add-on,3.6,2018-01-03,2018-07-22 04:47:42
PKG91E76F3B12,CUST100073418,Mobile + Streaming,Internet+Security,29.0,2018-07-28,2019-08-26 20:14:15
PKG3D3FE96EBB,CUST100051616,International Calling Pack,Mobile+Streaming,25.3,2018-06-20,2019-05-15 20:51:04
PKG12562ED938,CUST100006985,Home Security Add-on,Mobile+Streaming,11.9,2024-05-21,2025-11-13 12:22:22
PKG644A329941,CUST100059232,Device Protection Plan,Internet+Security,0.7,2022-08-23,2024-03-29 14:28:50
PKG116A5AEC77,CUST100007988,Home Security Add-on,Internet+Security,8.3,2019-05-03,2020-09-16 10:24:57
PKGE9644EA204,CUST100022256,Device Protection Plan,Internet+Security,17.8,2021-11-16,2023-06-26 03:29:18
PKG53B13F4586,CUST100024988,Mobile + Streaming,Mobile+Streaming,0.7,2019-04-09,2020-06-20 10:36:35
PKGE6C037439E,CUST100091032,Triple Play Bundle,Mobile Only Add-on,21.9,2018-11-08,2019-05-19 00:12:24
PKGA38D22F2DE,CUST100095070,Home Security Add-on,Mobile+Streaming,9.2,2018-08-16,2020-06-09 10:34:01
PKG374246CF9A,CUST100008957,International Calling Pack,Mobile Only Add-on,5.5,2025-09-29,2026-07-02 11:59:01
PKG831B5C5699,CUST100053134,International Calling Pack,Mobile Only Add-on,12.1,2019-08-02,2020-07-03 05:15:44
PKGEC6C7532C3,CUST100057312,Device Protection Plan,Mobile+TV+Internet,29.9,2024-12-09,2025-11-24 02:41:21
PKG748EBC04F6,CUST100035327,Triple Play Bundle,Mobile+Streaming,14.8,2020-03-05,2020-11-09 20:55:28
PKG2D2C27B383,CUST100014413,Device Protection Plan,Mobile+TV+Internet,12.6,2025-12-01,2027-01-05 16:30:12
PKG2C0E8B3D3C,CUST100066403,Device Protection Plan,Internet+Security,14.0,2023-05-18,2024-03-07 10:55:47
PKG5A1888348F,CUST100005612,Device Protection Plan,Mobile+TV+Internet,0.1,2020-06-28,2022-01-19 20:08:13
PKG4C63B6FEEF,CUST100074539,Device Protection Plan,Internet+Security,22.5,2023-04-28,2025-01-07 11:34:48
PKGF854F440DD,CUST100006208,Home Security Add-on,Mobile+Streaming,17.2,2019-02-06,2020-09-11 02:55:04
PKGD08610E536,CUST100076557,Home Security Add-on,Mobile+Streaming,8.2,2018-03-27,2018-10-21 17:58:48
PKGEDA7D7D2C2,CUST100078621,Home Security Add-on,Mobile Only Add-on,27.7,2022-02-09,2023-09-26 05:01:27
PKG2254FA1299,CUST100021180,International Calling Pack,Mobile+TV+Internet,11.7,2018-02-13,2019-07-29 19:38:38
PKG392D0BAEB1,CUST100019798,Mobile + Streaming,Mobile+TV+Internet,17.1,2025-07-03,2026-11-16 04:41:47
PKGB9F68FA5F5,CUST100054250,International Calling Pack,Mobile+Streaming,1.9,2023-08-20,2025-06-17 23:58:00
