asset_id,customer_id,asset_type,manufacturer,serial_number,install_date,status
ASTFB4BC27D4D,CUST100033665,Handset,Apple,79376F43362B4D3E,2024-02-12,Returned
AST1D3846E3F2,CUST100093030,Set-Top Box,Apple,E6901019A03C4CB8,2022-12-28,Returned
ASTB520FE89BF,CUST100080638,Router,Samsung,E0E4BF3A500742D3,2023-06-17,Active
AST7A7CD56F50,CUST100015858,Handset,Samsung,EFDFC9696B6747EF,2019-12-17,Returned
AST25A45E1C38,CUST100057084,Set-Top Box,Samsung,771A949683E04812,2019-05-09,Active
AST2DDD0A12D3,CUST100034674,Router,Samsung,89C6439867744B48,2022-07-15,Active
AST5C48E5B2BC,CUST100078357,Smartwatch,Google,C4E9BB1168DB4DE7,2019-03-28,Active
AST8FB7D61D66,CUST100077173,Router,Arris,FE3C47191D724F08,2024-03-13,Decommissioned
ASTDCAB4F3DB8,CUST100071897,Home Security Hub,Apple,42A3AE1FCA60418C,2019-08-16,Active
ASTD138E1B234,CUST100003395,Handset,Huawei,F71AEFD4A77A4621,2021-03-19,Active
AST45729CCF1B,CUST100016730,Set-Top Box,Google,AB749414BA6A4255,2016-10-29,Active
ASTB766C114DD,CUST100092747,Modem,Google,75B76D8E5B2B4914,2020-01-11,Active
AST3EE5883117,CUST100019761,Handset,Arris,BBFF96C6CA874324,2016-04-09,Returned
AST53A112B535,CUST100063528,Modem,Cisco,1F676AB5870D4864,2021-12-26,Active
AST4B61495881,CUST100069649,Modem,Apple,2A9C2495041A4DD1,2016-10-01,Active
ASTE6662B2D5A,CUST100059408,Modem,Arris,4BD7F48AD0C54CE1,2022-11-27,Active
ASTF07ABF0846,CUST100088071,Modem,Google,F4B1780950414DA5,2020-05-29,Active
ASTB4D73E81BA,CUST100053482,Router,Apple,E4562FA4D6594E93,2026-03-24,Active
AST9AEABC5A90,CUST100093217,Handset,Apple,CA31F235F031431A,2016-02-19,Active
AST51D273E65A,CUST100097521,Home Security Hub,Samsung,A494FC80F8754DBA,2017-02-15,Active
ASTB427E84174,CUST100059231,Router,Huawei,3A370D99977C4E63,2024-11-18,Active
ASTD8747AEE3F,CUST100014602,Modem,Google,16CDD3D814BD4210,2021-10-05,Active
AST6C3EB2F9FF,CUST100069379,Set-Top Box,Cisco,48CCFE5CA38546DF,2017-03-14,Active
ASTC1A94F1CC2,CUST100015803,Router,Samsung,CE0C75F5643A4DEA,2024-12-20,Returned
ASTBC05BD8474,CUST100072418,Set-Top Box,Nokia,3857706A30774F5B,2025-01-22,Returned
AST4370EA50AD,CUST100018036,Set-Top Box,Samsung,0D5214C3F5CA4475,2018-03-21,Active
AST8DF54DCDB7,CUST100038649,Router,Nokia,25A2961049294692,2023-03-20,Active
AST4D17D9030E,CUST100039378,Modem,Nokia,00CCB868D3EA42B8,2016-02-11,Active
ASTD16D6BDF2F,CUST100066587,Handset,Nokia,54E38CAD46344F6B,2018-11-03,Active
ASTFE6C0F5B05,CUST100019202,Handset,Arris,029B5A5178194E5D,2022-07-31,Returned
AST616A1F6EAF,CUST100094753,Router,Nokia,65CE68E82F6B46FE,2024-12-31,Active
ASTE2064AB2F0,CUST100095545,Home Security Hub,Cisco,3522066356094E04,2026-03-27,Active
ASTCEA5D6C6FA,CUST100049169,Handset,Huawei,67E42CF0274A4884,2024-07-20,Active
ASTDE59FB667B,CUST100011831,Router,Cisco,A629F201CFE44F56,2021-03-17,Faulty
AST8709D0BCD8,CUST100068477,Home Security Hub,Google,B1A2995A7C114BF6,2023-10-21,Active
ASTAD38917CE3,CUST100045751,Set-Top Box,Samsung,3B0D21A719984342,2025-08-27,Active
AST8C6BB63986,CUST100060592,Handset,Cisco,2DB927A6AC80497F,2022-02-26,Active
AST93C16441D4,CUST100087744,Handset,Arris,52CC7DF5386D4D54,2025-04-04,Active
