contract_id,customer_id,contract_type,start_date,term_months,end_date,auto_renew,status
CTR272D2EA587,CUST100091276,Month-to-Month,2021-04-14,0,,False,Terminated Early
CTR3DAAF32B2E,CUST100077289,Month-to-Month,2018-12-10,12,2019-12-10,True,Active
CTRA9E8297058,CUST100018092,Month-to-Month,2021-06-21,12,2022-06-21,True,Terminated Early
CTR0C09217F63,CUST100023002,Month-to-Month,2019-11-05,24,2021-11-05,True,Active
CTRF80BD8A56B,CUST100009001,Fixed Term,2023-01-28,0,,False,Expired
CTR287D10D34D,CUST100047293,Month-to-Month,2016-07-27,24,2018-07-27,True,Active
CTR250A53BA85,CUST100064194,Month-to-Month,2017-12-23,0,,True,Active
CTRCC01AB924E,CUST100097252,Fixed Term,2019-05-21,0,,False,Active
CTRE68AE33F80,CUST100004577,Month-to-Month,2015-07-02,0,,True,Terminated Early
CTRC4D288BDA9,CUST100073824,Fixed Term,2025-12-22,12,2026-12-22,True,Active
CTR2288BE6E90,CUST100044825,Month-to-Month,2016-03-16,12,2017-03-16,True,Active
CTR01DE6DFD40,CUST100039536,Fixed Term,2015-10-17,24,2017-10-17,True,Expired
CTRFD96ACCE62,CUST100059788,Fixed Term,2022-06-19,12,2023-06-19,True,Terminated Early
CTR1BA3274A6B,CUST100070852,Fixed Term,2017-03-20,12,2018-03-20,True,Terminated Early
CTRE89936ACF7,CUST100074226,Fixed Term,2021-09-16,24,2023-09-16,True,Active
CTRD2F35CBAAF,CUST100085564,Fixed Term,2023-02-19,12,2024-02-19,True,Active
CTRFACB05F197,CUST100079622,Month-to-Month,2024-04-25,0,,False,Expired
CTR9A2572CD53,CUST100007429,Month-to-Month,2023-01-15,12,2024-01-15,True,Terminated Early
CTR5816BF0395,CUST100056157,Month-to-Month,2024-03-23,12,2025-03-23,True,Active
CTR937DAC411B,CUST100098581,Fixed Term,2024-07-08,0,,True,Active
CTR835EB43A7A,CUST100060364,Fixed Term,2023-05-11,12,2024-05-11,True,Active
CTR0B3BC58EB6,CUST100017649,Month-to-Month,2022-10-13,24,2024-10-13,False,Expired
CTR07D367B902,CUST100004210,Enterprise SLA,2020-11-17,0,,False,Active
CTRF5AD76F29F,CUST100018796,Fixed Term,2018-05-16,0,,False,Active
CTRC3C73586CB,CUST100033906,Month-to-Month,2021-04-05,24,2023-04-05,True,Active
CTRB168B1CFBD,CUST100029312,Month-to-Month,2021-05-23,12,2022-05-23,False,Active
CTR35C31F5C7F,CUST100080377,Fixed Term,2021-07-27,24,2023-07-27,True,Active
CTREDDBC9B51A,CUST100006718,Fixed Term,2022-05-29,12,2023-05-29,True,Expired
CTR33785598FD,CUST100016294,Fixed Term,2016-02-09,0,,True,Active
CTR4C39EAE2B3,CUST100030680,Month-to-Month,2022-10-17,0,,True,Active
CTRB2E576F637,CUST100041167,Month-to-Month,2022-05-09,0,,True,Active
CTR6E60820F53,CUST100097067,Fixed Term,2018-11-08,12,2019-11-08,True,Terminated Early
CTR61104540E3,CUST100076365,Month-to-Month,2023-01-12,12,2024-01-12,True,Active
CTRB413116E06,CUST100012390,Fixed Term,2018-05-05,0,,False,Active
CTR1EF13A76C0,CUST100064681,Month-to-Month,2024-09-13,24,2026-09-13,False,Terminated Early
CTR5A34B853BA,CUST100018053,Fixed Term,2019-03-20,0,,True,Active
CTR5FF560A8DC,CUST100022152,Enterprise SLA,2015-06-19,12,2016-06-19,True,Active
