tower_id,tower_name,latitude,longitude,region,tower_type,capacity_status
TWR100000,Site-PortJason-0,46.735348,-79.270297,Midwest,Macro Cell,Near Capacity
TWR100001,Site-EastJames-1,36.398248,-75.695923,Southwest,Macro Cell,Normal
TWR100002,Site-Mistyshire-2,35.222373,-100.429531,West,Rooftop,Normal
TWR100003,Site-PortMargaretshire-3,41.187923,-115.026413,Midwest,Macro Cell,Normal
TWR100004,Site-Turnerport-4,40.877736,-102.468419,Pacific Northwest,Small Cell,Normal
TWR100005,Site-Randallport-5,32.899369,-105.21391,Southeast,Macro Cell,Normal
TWR100006,Site-PortAnitaborough-6,45.553142,-82.496637,Midwest,Small Cell,Normal
TWR100007,Site-WestConnie-7,41.548679,-123.073017,Midwest,Macro Cell,Normal
TWR100008,Site-Schwartzland-8,26.225903,-80.213354,Southeast,Small Cell,Normal
TWR100009,Site-SouthMichaelfort-9,47.532428,-105.868661,Midwest,Macro Cell,Normal
TWR100010,Site-Morrisbury-10,40.656869,-119.462219,West,Small Cell,Near Capacity
TWR100011,Site-Jasonville-11,27.474294,-113.143603,Southeast,Rooftop,Normal
TWR100012,Site-LakeMarc-12,43.633163,-98.553611,Pacific Northwest,Macro Cell,Normal
TWR100013,Site-NorthJeffery-13,37.428112,-116.03641,Pacific Northwest,Small Cell,Near Capacity
TWR100014,Site-LakeElaine-14,30.57807,-107.294609,Northeast,Macro Cell,Normal
TWR100015,Site-PortKariport-15,27.909357,-98.727164,Southwest,Macro Cell,Normal
TWR100016,Site-NorthKristinaport-16,39.943878,-112.129408,Southeast,Macro Cell,Normal
TWR100017,Site-Jerometon-17,43.545378,-72.389973,Southeast,Small Cell,Normal
TWR100018,Site-Andersonchester-18,24.817196,-123.370896,West,Small Cell,Normal
TWR100019,Site-EastScott-19,39.174195,-99.570006,Northeast,Macro Cell,Near Capacity
TWR100020,Site-WestLaurie-20,34.204838,-114.668302,West,Small Cell,Normal
TWR100021,Site-SouthDaniel-21,38.807055,-106.910341,Northeast,Macro Cell,Normal
TWR100022,Site-LakeSarahton-22,37.742126,-97.396104,Southeast,DAS,Near Capacity
TWR100023,Site-NorthHenry-23,49.318148,-89.844985,West,Macro Cell,Normal
TWR100024,Site-NewJoshua-24,37.020113,-88.995643,Pacific Northwest,Macro Cell,Normal
TWR100025,Site-WestAshley-25,34.271754,-85.917359,West,Macro Cell,Normal
TWR100026,Site-Jenniferstad-26,37.296593,-82.311847,Southeast,Macro Cell,Normal
TWR100027,Site-WestMelissamouth-27,36.883606,-101.225368,Southwest,Macro Cell,Congested
TWR100028,Site-Meyersland-28,31.568835,-124.353638,West,Macro Cell,Near Capacity
TWR100029,Site-NorthAprilview-29,42.209737,-121.771265,Northeast,Macro Cell,Normal
TWR100030,Site-Nancyport-30,44.207079,-115.017995,West,Small Cell,Normal
TWR100031,Site-NorthJohn-31,46.157869,-90.952439,Southwest,Macro Cell,Normal
TWR100032,Site-Markhaven-32,24.783957,-90.420634,Northeast,Rooftop,Congested
TWR100033,Site-Wilsonfort-33,29.015244,-86.58724,Southwest,Macro Cell,Normal
TWR100034,Site-NorthAlexander-34,31.6961,-104.742126,Southeast,Small Cell,Normal
TWR100035,Site-WestJohnnyton-35,29.756089,-122.928663,Southwest,Small Cell,Normal
TWR100036,Site-Suttonshire-36,29.074592,-101.393864,Southwest,Macro Cell,Normal
TWR100037,Site-Ashleyfort-37,31.932274,-84.007692,Southeast,Macro Cell,Normal
TWR100038,Site-Whitebury-38,39.497736,-98.536125,Pacific Northwest,Macro Cell,Normal
TWR100039,Site-Harrismouth-39,40.884571,-107.277941,Southeast,Small Cell,Normal
TWR100040,Site-EastSaraside-40,33.987965,-78.910195,Southwest,Small Cell,Normal
TWR100041,Site-Wolfshire-41,38.426705,-71.960402,Midwest,Macro Cell,Normal
TWR100042,Site-LakeKennethside-42,25.512425,-88.175719,Midwest,Macro Cell,Normal
TWR100043,Site-LakeRita-43,47.140592,-90.035658,Pacific Northwest,Macro Cell,Normal
TWR100044,Site-Murphyburgh-44,28.787612,-97.747089,Southwest,Macro Cell,Normal
TWR100045,Site-WestLindastad-45,48.765327,-93.422196,West,Macro Cell,Near Capacity
TWR100046,Site-SouthJoshua-46,48.197109,-104.140882,West,Rooftop,Normal
TWR100047,Site-LakeJenniferchester-47,33.076762,-117.272653,West,Macro Cell,Near Capacity
TWR100048,Site-LakeJaredbury-48,32.438221,-101.382509,Southwest,Macro Cell,Normal
TWR100049,Site-Brianside-49,44.171296,-84.165943,Pacific Northwest,Macro Cell,Near Capacity
TWR100050,Site-PortStephanie-50,43.618583,-69.914278,Northeast,DAS,Normal
TWR100051,Site-PortJessicachester-51,24.545532,-97.099325,West,Rooftop,Near Capacity
TWR100052,Site-EastJonathan-52,36.543654,-77.134325,Southwest,Macro Cell,Near Capacity
TWR100053,Site-NorthPatrick-53,31.95152,-123.608257,Pacific Northwest,Macro Cell,Near Capacity
TWR100054,Site-Petersonfort-54,45.569692,-94.962384,West,Macro Cell,Normal
