session_id,customer_id,ip_address,session_start,session_duration_min,bytes_uploaded_mb,bytes_downloaded_mb,apn
SESCF7404E1A90B,CUST100032294,158.200.141.212,2026-06-15 20:28:56,284,11.85,510.33,iot.telco.com
SES791D2237FBDE,CUST100066086,69.238.199.90,2026-07-22 17:25:56,393,119.09,207.68,broadband.telco.com
SES2EFB10DD99EE,CUST100092640,87.10.110.90,2026-06-18 18:01:30,350,17.89,11.52,iot.telco.com
SESB5C59D8890D9,CUST100020703,157.236.83.240,2026-06-24 02:52:33,52,5.3,667.85,iot.telco.com
SES36E6C5922749,CUST100046255,219.85.55.30,2026-06-26 09:30:20,83,3.06,268.04,broadband.telco.com
SESBCC73E60E636,CUST100028351,189.42.219.31,2026-06-28 04:20:44,338,17.3,97.73,internet.telco.com
SES8417A9D5829F,CUST100089186,25.148.221.183,2026-06-06 19:55:43,263,91.57,923.99,broadband.telco.com
SESF7BFED769DB0,CUST100008178,173.27.80.187,2026-06-10 02:48:02,392,37.5,23.49,broadband.telco.com
SES45AA4884EF12,CUST100062239,89.255.92.175,2026-06-02 13:25:59,137,29.08,434.27,broadband.telco.com
SESFA30FB147F86,CUST100008051,56.20.195.119,2026-06-04 20:59:37,320,49.05,189.09,internet.telco.com
SES765C63DBA724,CUST100038644,70.224.222.102,2026-07-15 19:42:20,36,41.73,23.5,iot.telco.com
SES3CA5B805B708,CUST100015087,176.126.116.65,2026-07-09 14:15:28,362,35.77,160.43,iot.telco.com
SES81493EBED226,CUST100023649,197.109.34.131,2026-06-10 01:48:51,178,78.8,517.75,broadband.telco.com
SESC13EB19A6590,CUST100027769,142.163.229.150,2026-06-27 12:43:24,277,107.56,80.9,broadband.telco.com
SESB240EBF90A7F,CUST100071633,98.250.188.227,2026-06-22 16:07:45,284,63.59,221.5,iot.telco.com
SESBC6E9A18DDE8,CUST100027040,202.25.80.245,2026-06-20 17:11:35,355,4.84,9.28,iot.telco.com
SES38A6C04DA8DD,CUST100059428,143.241.5.238,2026-06-22 12:25:28,84,27.34,1106.2,internet.telco.com
SESE3CCC93362AD,CUST100099754,206.27.193.105,2026-07-19 15:17:53,231,4.82,86.75,iot.telco.com
SES4CCAE01130B9,CUST100085931,146.113.212.251,2026-06-07 09:57:15,172,48.71,311.53,iot.telco.com
SES3256288C3450,CUST100020845,172.236.36.27,2026-07-22 09:13:58,443,71.23,340.01,broadband.telco.com
SESAAFC2140A1E8,CUST100022018,149.157.213.158,2026-06-16 09:45:56,5,82.15,601.03,broadband.telco.com
SES52CA05BF6846,CUST100072512,177.195.101.18,2026-07-20 15:35:26,369,1.39,141.5,broadband.telco.com
SES245CB1A85635,CUST100064736,211.124.58.71,2026-06-19 10:08:15,196,20.08,55.66,internet.telco.com
SES9E38DE3C1F2B,CUST100020813,175.97.125.80,2026-06-03 03:43:49,431,193.78,786.18,iot.telco.com
SES61FA397D015C,CUST100048501,90.122.52.10,2026-07-18 07:36:11,185,19.83,334.09,internet.telco.com
SESF5C539C5EB59,CUST100028214,194.120.212.9,2026-07-06 10:22:53,270,27.79,286.67,broadband.telco.com
SES9E0449522668,CUST100070830,201.76.63.25,2026-07-08 12:45:38,276,14.91,673.45,broadband.telco.com
SES4F4137B57D1B,CUST100059493,27.171.186.249,2026-07-07 03:53:29,39,82.22,732.14,iot.telco.com
SES704389C87C42,CUST100028999,176.121.36.78,2026-07-10 00:39:32,326,9.65,454.98,internet.telco.com
SESCF3EE1F65186,CUST100010444,140.33.54.57,2026-07-03 05:13:23,108,2.34,364.51,internet.telco.com
SES88DD94E5554A,CUST100028839,105.112.166.11,2026-07-21 01:49:01,86,24.56,127.07,broadband.telco.com
SESA12FBCDEB2DB,CUST100081364,39.232.142.91,2026-06-06 23:39:38,435,6.43,42.08,internet.telco.com
SESE724D8E299DC,CUST100025505,152.56.3.47,2026-07-23 04:45:39,158,34.84,75.13,internet.telco.com
SESE37CD2DC3AAF,CUST100050243,149.98.249.61,2026-07-11 12:00:04,269,4.37,127.93,broadband.telco.com
SES262911B10200,CUST100020686,176.141.173.4,2026-06-21 08:30:13,27,11.94,45.83,iot.telco.com
SESB6E1CB20DEB7,CUST100078447,109.193.188.23,2026-06-03 21:40:12,214,62.61,227.23,internet.telco.com
SES4E5731367B60,CUST100014996,104.146.50.106,2026-07-04 08:36:07,193,102.36,84.32,broadband.telco.com
SES49DF2BBBE9D5,CUST100040510,92.6.115.235,2026-06-16 19:58:59,97,26.46,130.94,iot.telco.com
SESDBCE318ABEBC,CUST100018419,215.168.109.126,2026-06-16 05:30:22,403,63.23,527.12,internet.telco.com
SES680CED9FB426,CUST100008857,212.89.26.74,2026-06-13 14:37:13,249,64.8,27.12,internet.telco.com
SES1CC90A504003,CUST100001081,26.210.187.203,2026-07-06 06:17:25,244,57.26,122.24,internet.telco.com
SES7BB7A251D623,CUST100088939,83.127.219.184,2026-06-13 19:18:31,397,32.03,14.03,internet.telco.com
SES20F8ED2AE0AE,CUST100095732,114.196.231.132,2026-07-10 09:18:54,353,13.74,143.48,internet.telco.com
SES6117738BE160,CUST100073107,201.96.104.197,2026-06-20 19:14:16,294,85.47,40.29,iot.telco.com
SES8D937066F21B,CUST100071144,187.251.140.110,2026-06-29 10:08:28,249,39.19,250.46,broadband.telco.com
SESFB17A85AEF46,CUST100035164,69.186.92.152,2026-06-19 12:59:56,53,30.44,483.6,internet.telco.com
SES20350E6CFD25,CUST100038956,190.97.178.59,2026-07-11 22:05:05,404,10.89,176.7,broadband.telco.com
SES14470FC58E28,CUST100044916,210.36.213.20,2026-07-01 06:54:23,123,22.87,465.82,internet.telco.com
SES4A3F4AD6F770,CUST100025310,59.70.196.200,2026-06-11 12:51:07,473,78.84,434.85,broadband.telco.com
SES671A2A4B7817,CUST100062048,126.203.128.88,2026-06-14 13:12:25,338,46.52,73.66,internet.telco.com
SESECDB220968F5,CUST100007963,88.188.96.231,2026-07-22 09:55:44,35,76.72,135.5,internet.telco.com
SESBBCED68BB411,CUST100036741,207.241.45.115,2026-06-24 09:54:38,180,11.4,337.67,broadband.telco.com
SESD355D43AFF3F,CUST100096951,166.207.215.15,2026-06-05 18:15:45,365,33.71,222.26,iot.telco.com
SES45DB9B30B2E0,CUST100087668,206.55.183.70,2026-07-11 13:39:24,171,42.7,373.84,internet.telco.com
SES158BA534DABB,CUST100083827,29.252.98.187,2026-07-14 20:35:28,301,12.02,264.86,iot.telco.com
SES2E6B8A27D076,CUST100047332,206.178.187.211,2026-06-28 21:04:58,156,51.3,79.33,broadband.telco.com
SESA66F3CAE68EA,CUST100092373,105.189.232.218,2026-07-19 10:12:45,143,51.36,222.02,broadband.telco.com
SESBED4610F5523,CUST100061982,79.204.64.10,2026-06-27 08:18:33,471,75.57,184.25,internet.telco.com
SES0EC0F7AFC76C,CUST100087305,161.136.166.237,2026-06-28 01:18:00,461,21.26,82.81,iot.telco.com
SESF9C527005075,CUST100090110,133.248.197.197,2026-06-29 12:21:55,437,39.19,12.5,broadband.telco.com
SESFDCFC9F103D6,CUST100087754,215.227.131.136,2026-06-10 19:21:52,437,12.02,231.99,iot.telco.com
SES05CF985C2805,CUST100064782,178.127.73.198,2026-07-21 15:54:54,73,55.33,191.46,iot.telco.com
SESAECEF8F0F8E2,CUST100052022,151.147.249.99,2026-06-13 10:32:45,172,54.29,19.75,internet.telco.com
SES941AE9BDB547,CUST100026083,208.237.57.183,2026-06-25 04:19:42,300,32.08,45.65,broadband.telco.com
SESA270D8103AB8,CUST100003901,206.34.20.139,2026-06-19 07:07:18,166,34.24,585.47,internet.telco.com
SES5F7193A1F983,CUST100019659,176.20.144.125,2026-07-10 07:47:52,321,143.89,0.98,broadband.telco.com
SESBE4DC6EC222F,CUST100008767,126.116.173.220,2026-07-04 00:25:21,158,8.31,47.82,iot.telco.com
SES2FF3FC51DD94,CUST100027231,94.22.131.44,2026-06-11 15:51:22,35,55.49,244.27,broadband.telco.com
SES26BA1F182A16,CUST100048865,173.58.145.101,2026-07-20 11:25:03,476,14.83,282.84,iot.telco.com
SES0CFE8A04C787,CUST100064586,11.95.83.203,2026-06-18 03:02:29,198,4.41,229.0,broadband.telco.com
SES85FAE3E46387,CUST100050337,7.228.173.122,2026-06-24 11:11:42,155,12.01,530.14,internet.telco.com
SESA34BC5F1FDE1,CUST100022248,216.45.75.78,2026-06-17 23:46:51,220,237.7,296.62,iot.telco.com
SES9AF9D56C9948,CUST100047831,222.145.213.240,2026-06-06 23:26:13,27,30.33,388.22,iot.telco.com
SESB84F53B1BC77,CUST100022447,183.204.100.50,2026-06-02 09:00:17,434,47.92,248.47,iot.telco.com
SES78BE4E54B994,CUST100020967,220.163.122.177,2026-07-16 12:22:41,174,28.25,410.36,broadband.telco.com
