usage_id,customer_id,usage_date,data_used_gb,peak_hour_usage_gb,throttled_flag
BWU68605783DF2F,CUST100008325,2026-07-20,6.655,1.642,True
BWUF549EC8A00BB,CUST100096824,2026-07-03,0.952,0.986,False
BWUA3787345A906,CUST100043734,2026-06-23,10.208,0.206,False
BWUE1AC87CC70C9,CUST100026553,2026-07-20,8.522,0.602,False
BWU27B3FDF252B6,CUST100026439,2026-06-23,2.461,1.134,False
BWUE177D881598A,CUST100042743,2026-06-25,0.721,0.341,False
BWU7C4BD39441AF,CUST100036516,2026-07-18,12.537,2.815,False
BWU118F6F749968,CUST100089921,2026-07-12,11.228,8.577,False
BWUE5603937C240,CUST100078371,2026-06-24,1.839,2.195,False
BWUFDC815E3F770,CUST100062930,2026-07-08,4.187,0.482,False
BWU385AEA87EA36,CUST100058728,2026-07-22,0.519,1.113,False
BWU4E9C86987765,CUST100005363,2026-07-11,0.248,1.145,False
BWUD88C19A1D1A2,CUST100099352,2026-06-04,1.469,0.039,False
BWU6000EF0FF8B9,CUST100058400,2026-06-10,3.375,0.359,False
BWUA86801AF9648,CUST100091685,2026-07-20,1.882,0.443,False
BWUAFC89AA11B02,CUST100041690,2026-07-09,2.908,0.032,False
BWU3F679C9D8D03,CUST100024187,2026-06-02,3.947,4.634,False
BWUF76D8E7E12F7,CUST100060191,2026-07-03,1.781,0.214,False
BWU24218A728E30,CUST100018645,2026-07-07,15.648,1.245,False
BWU95DFB020EF2F,CUST100082533,2026-06-16,5.423,0.082,False
BWUEC753747C687,CUST100064399,2026-06-16,0.13,3.601,False
BWU6B8D45A6EACA,CUST100037724,2026-07-09,2.239,0.906,False
BWU63B42151DCBF,CUST100083385,2026-07-06,2.465,0.916,False
BWUE0C4D3C3972E,CUST100036780,2026-06-07,5.081,3.101,False
BWU30EC1E6AB7A0,CUST100043543,2026-07-15,11.511,0.083,False
BWU1538CA184A0C,CUST100040832,2026-06-07,0.283,2.724,False
BWU9D0CE3EF9D94,CUST100020371,2026-06-18,1.468,1.532,False
BWU2F4636E3EA70,CUST100037338,2026-07-15,1.518,1.772,True
BWUF8BAAF773F22,CUST100060494,2026-06-20,12.653,1.929,False
BWU87110B44FC3F,CUST100070384,2026-07-14,6.209,3.632,False
BWUF00D8D62EB31,CUST100089342,2026-06-11,0.274,3.168,False
BWU1C8A71163548,CUST100064576,2026-07-17,1.865,2.287,False
BWUCD9E89008063,CUST100072276,2026-06-10,5.702,4.622,False
BWU7C6756C7E107,CUST100061148,2026-06-10,0.993,1.785,False
BWU3FCC44FD70F4,CUST100052500,2026-06-16,4.675,1.189,False
BWU2B19F4DB7B32,CUST100030622,2026-06-12,1.245,3.287,False
BWU240DBCDADE88,CUST100008790,2026-07-23,10.675,0.001,False
BWU9096883C0FC6,CUST100031435,2026-06-28,4.52,3.221,False
BWUC1A317E39A32,CUST100070299,2026-07-15,2.342,0.062,False
BWU5814BC6ED6B1,CUST100094229,2026-06-27,2.05,0.123,False
BWU4098134D0ED2,CUST100008584,2026-06-17,16.788,0.561,False
BWU0347A7C0069D,CUST100061780,2026-06-09,1.554,3.978,False
BWU7EC10CC761A3,CUST100071973,2026-07-05,8.336,0.191,False
BWU0DB5711C4FF0,CUST100065276,2026-06-01,0.947,1.888,False
BWUEE0908DA8EAA,CUST100085953,2026-07-21,3.208,1.712,False
BWU55CB0B0DA9AE,CUST100063623,2026-06-12,0.136,0.931,False
BWUCAAA26E0AA0E,CUST100063423,2026-07-20,4.298,1.494,False
