invoice_id,customer_id,invoice_date,due_date,amount_due,tax_amount,total_amount,status
INV0D2FEF43A6,CUST100078327,2025-10-26,2025-11-16,103.96,8.32,112.28,Paid
INVAB8B07E55D,CUST100037707,2026-06-23,2026-07-14,267.21,21.38,288.59,Paid
INVCD9225AF12,CUST100060028,2026-05-27,2026-06-17,189.31,15.14,204.45,Paid
INV9D234A07C0,CUST100003634,2026-02-25,2026-03-18,49.94,4.0,53.94,Paid
INV6FDC752B47,CUST100000114,2026-05-11,2026-06-01,117.66,9.41,127.07,Paid
INV186B946BBE,CUST100051184,2025-12-01,2025-12-22,162.47,13.0,175.47,Paid
INV4F3DDDCD01,CUST100086208,2025-12-25,2026-01-15,125.17,10.01,135.18,Paid
INVB33CE07A3D,CUST100045326,2025-11-19,2025-12-10,183.77,14.7,198.47,Paid
INVB81D43C2C5,CUST100036076,2025-10-01,2025-10-22,61.45,4.92,66.37,Unpaid
INV865DEF9965,CUST100013153,2025-09-04,2025-09-25,227.43,18.19,245.62,Unpaid
INVED2B0D5E10,CUST100055059,2026-01-15,2026-02-05,73.83,5.91,79.74,Paid
INV58C634C0F8,CUST100020704,2026-01-22,2026-02-12,47.35,3.79,51.14,Partially Paid
INV8A0EB41664,CUST100058816,2026-06-18,2026-07-09,53.68,4.29,57.97,Paid
INVA9526161BC,CUST100011618,2025-11-19,2025-12-10,145.56,11.64,157.2,Unpaid
INV48BD9D5A24,CUST100087354,2025-12-08,2025-12-29,31.74,2.54,34.28,Unpaid
INVE00824BCC6,CUST100022892,2025-08-10,2025-08-31,25.72,2.06,27.78,Unpaid
INV0C4EBE93C4,CUST100069393,2025-09-27,2025-10-18,184.82,14.79,199.61,Partially Paid
INV5C9406E095,CUST100091422,2026-04-04,2026-04-25,388.77,31.1,419.87,Paid
INV0F23E163FE,CUST100012680,2025-12-03,2025-12-24,282.29,22.58,304.87,Paid
INVFD79C01901,CUST100006323,2026-05-04,2026-05-25,199.2,15.94,215.14,Unpaid
INV3C804D1BA0,CUST100097114,2025-10-29,2025-11-19,211.58,16.93,228.51,Unpaid
INV88BFD13C36,CUST100073334,2026-04-06,2026-04-27,148.56,11.88,160.44,Unpaid
INVCA5CEA9CF9,CUST100043540,2025-09-30,2025-10-21,161.85,12.95,174.8,Unpaid
INVE59D1FA229,CUST100068080,2026-06-13,2026-07-04,299.06,23.92,322.98,Partially Paid
INV65CC2E0E7A,CUST100002646,2025-11-01,2025-11-22,394.13,31.53,425.66,Paid
INV9135F86323,CUST100053099,2026-03-05,2026-03-26,82.84,6.63,89.47,Paid
INVBC15AD8627,CUST100038510,2025-10-07,2025-10-28,130.74,10.46,141.2,Overdue
INV165898ACDE,CUST100062934,2026-02-09,2026-03-02,388.32,31.07,419.39,Paid
INVC4D8D04611,CUST100024863,2026-05-17,2026-06-07,231.46,18.52,249.98,Unpaid
INV33C043AE67,CUST100030217,2025-10-14,2025-11-04,146.4,11.71,158.11,Overdue
INV7FA1F0E821,CUST100089916,2026-04-24,2026-05-15,218.34,17.47,235.81,Paid
INV0B84A29EF1,CUST100031099,2026-03-19,2026-04-09,56.88,4.55,61.43,Paid
INV0DDA4E8507,CUST100071893,2026-03-12,2026-04-02,302.02,24.16,326.18,Paid
INV0C49920954,CUST100073968,2026-02-20,2026-03-13,326.99,26.16,353.15,Paid
INV72C892921C,CUST100096156,2025-11-03,2025-11-24,227.82,18.23,246.05,Paid
INVB2E75D6756,CUST100037947,2025-12-13,2026-01-03,229.36,18.35,247.71,Paid
INV77DE2FAD14,CUST100027250,2026-06-13,2026-07-04,282.81,22.62,305.43,Paid
INVB2CD24FB6C,CUST100045038,2025-10-14,2025-11-04,109.9,8.79,118.69,Partially Paid
INVFECF2910D4,CUST100063537,2025-08-18,2025-09-08,115.1,9.21,124.31,Paid
INV15AA991CE4,CUST100048012,2025-10-30,2025-11-20,305.65,24.45,330.1,Partially Paid
INVB81C6148B7,CUST100009854,2025-12-31,2026-01-21,236.29,18.9,255.19,Overdue
INV54B86DD032,CUST100094598,2026-06-09,2026-06-30,160.35,12.83,173.18,Paid
INV89CE2D04DA,CUST100015293,2026-04-24,2026-05-15,311.04,24.88,335.92,Overdue
INV04BC0AB92D,CUST100015497,2026-07-19,2026-08-09,181.69,14.54,196.23,Paid
