ar_id,customer_id,invoice_id,outstanding_balance,days_past_due,aging_bucket
AR7D6A1C80F8,CUST100078327,INV0D2FEF43A6,63.93,0,Current
ARA984598807,CUST100037707,INVAB8B07E55D,198.81,15,1-30 Days
AR0BE99425D8,CUST100060028,INVCD9225AF12,9.37,15,1-30 Days
AR8F751FFAB5,CUST100003634,INV9D234A07C0,28.96,0,Current
AR2D7FAD44F5,CUST100000114,INV6FDC752B47,41.92,120,90+ Days
AR73516F18FB,CUST100051184,INV186B946BBE,45.32,60,31-60 Days
AR064D13F36E,CUST100086208,INV4F3DDDCD01,22.48,30,1-30 Days
ARBC125498A1,CUST100045326,INVB33CE07A3D,149.05,0,Current
ARE28365AC65,CUST100036076,INVB81D43C2C5,60.83,0,Current
AR58E074BD13,CUST100013153,INV865DEF9965,67.17,15,1-30 Days
ARBB0D6C50D0,CUST100055059,INVED2B0D5E10,58.3,60,31-60 Days
AR3A3E3A591A,CUST100020704,INV58C634C0F8,26.17,0,Current
AR65C8C26DBF,CUST100058816,INV8A0EB41664,23.94,0,Current
ARD70F3EEFE4,CUST100011618,INVA9526161BC,62.33,0,Current
AR191EA75460,CUST100087354,INV48BD9D5A24,33.73,30,1-30 Days
AR04FFC23272,CUST100022892,INVE00824BCC6,17.97,15,1-30 Days
AR0C5FCF3B52,CUST100069393,INV0C4EBE93C4,140.11,60,31-60 Days
AR2AAE9A6E3D,CUST100091422,INV5C9406E095,378.79,15,1-30 Days
AR63A306EB6B,CUST100012680,INV0F23E163FE,209.96,0,Current
AR62E9AA8DA1,CUST100006323,INVFD79C01901,181.37,0,Current
ARE959DCD4D4,CUST100097114,INV3C804D1BA0,82.01,0,Current
AR6A3B7D9C1E,CUST100073334,INV88BFD13C36,62.1,15,1-30 Days
AR45506ABEC5,CUST100043540,INVCA5CEA9CF9,172.22,0,Current
AR75F5251197,CUST100068080,INVE59D1FA229,36.58,0,Current
AR0FE4921DE1,CUST100002646,INV65CC2E0E7A,196.88,0,Current
AR6A92E4832F,CUST100053099,INV9135F86323,23.01,0,Current
ARDBD107AACE,CUST100038510,INVBC15AD8627,119.14,0,Current
AR5AD6A265C6,CUST100062934,INV165898ACDE,137.88,30,1-30 Days
AR512AEF145F,CUST100024863,INVC4D8D04611,109.29,0,Current
ARC791472361,CUST100030217,INV33C043AE67,35.02,60,31-60 Days
ARA3CE63DC52,CUST100089916,INV7FA1F0E821,142.67,30,1-30 Days
ARC31871AD0E,CUST100031099,INV0B84A29EF1,60.71,90,61-90 Days
AR98D8FFCE1F,CUST100071893,INV0DDA4E8507,5.84,0,Current
AR962D7BC53C,CUST100073968,INV0C49920954,341.47,60,31-60 Days
ARCE5BD8EAD7,CUST100096156,INV72C892921C,116.57,0,Current
ARB7441AD4DD,CUST100037947,INVB2E75D6756,235.63,15,1-30 Days
ARF5D1EDBFC5,CUST100027250,INV77DE2FAD14,65.0,15,1-30 Days
AR8335711D7B,CUST100045038,INVB2CD24FB6C,32.71,0,Current
AR4311BB188B,CUST100063537,INVFECF2910D4,25.5,0,Current
ARB870BEE225,CUST100048012,INV15AA991CE4,95.07,30,1-30 Days
AR0065857D5D,CUST100009854,INVB81C6148B7,74.38,0,Current
AR0504DF3134,CUST100094598,INV54B86DD032,105.15,30,1-30 Days
AR26BD744FE4,CUST100015293,INV89CE2D04DA,19.74,0,Current
ARF7132DE5AE,CUST100015497,INV04BC0AB92D,162.18,0,Current
AR64D543FC5E,CUST100005932,INV7C29173AE5,62.01,15,1-30 Days
AR844378AA9D,CUST100078005,INV5D108444C2,24.69,90,61-90 Days
AREB54CE3018,CUST100085598,INV8498E27312,67.07,0,Current
ARDB12F73AF3,CUST100035480,INV120F386958,241.82,0,Current
ARCB835A01C4,CUST100029064,INVE76A17C8FD,178.32,0,Current
AR6021243968,CUST100070996,INV24595247AF,109.24,0,Current
AR92B74A19DB,CUST100074755,INV2AD2A176E8,36.43,0,Current
AR31CDBB19B7,CUST100015358,INV283D6ED170,359.62,30,1-30 Days
AR50D127430A,CUST100072140,INVDF300BE5E0,24.6,60,31-60 Days
