dunning_id,customer_id,invoice_id,dunning_stage,notice_date,action_taken,resolved_flag
DUN1086F163F3,CUST100078327,INV0D2FEF43A6,Collections Referral,2026-01-12,SMS Sent,False
DUN213C89154D,CUST100037707,INVAB8B07E55D,Collections Referral,2026-06-20,None,True
DUN3E8382562B,CUST100060028,INVCD9225AF12,First Notice,2026-04-21,Email Sent,False
DUN6154EF258D,CUST100003634,INV9D234A07C0,Collections Referral,2026-01-27,Email Sent,False
DUNC1026F50BB,CUST100000114,INV6FDC752B47,Reminder,2026-01-11,SMS Sent,True
DUND3678EFF0C,CUST100051184,INV186B946BBE,Final Notice,2026-03-15,Call Placed,False
DUN0491AA60AB,CUST100086208,INV4F3DDDCD01,Final Notice,2026-03-13,SMS Sent,False
DUN772FBF71FA,CUST100045326,INVB33CE07A3D,Final Notice,2026-07-15,SMS Sent,True
DUN6809E1807B,CUST100036076,INVB81D43C2C5,Reminder,2026-04-30,Service Restricted,True
DUN5C0B5EEA01,CUST100013153,INV865DEF9965,Reminder,2026-06-04,Call Placed,True
DUN03CB6943E3,CUST100055059,INVED2B0D5E10,Reminder,2026-03-24,Call Placed,False
DUN88AD8E730A,CUST100020704,INV58C634C0F8,Final Notice,2026-02-18,SMS Sent,False
DUN3D244E5E1D,CUST100058816,INV8A0EB41664,Reminder,2026-04-25,Service Restricted,True
DUN434689F616,CUST100011618,INVA9526161BC,First Notice,2026-04-25,Call Placed,True
DUN259109633F,CUST100087354,INV48BD9D5A24,Reminder,2026-05-17,Service Restricted,False
DUNFAF55530A2,CUST100022892,INVE00824BCC6,First Notice,2026-06-30,SMS Sent,False
DUNECE7DBCABA,CUST100069393,INV0C4EBE93C4,Reminder,2026-01-02,None,False
DUN4FDF69AAF4,CUST100091422,INV5C9406E095,Reminder,2026-06-28,None,True
DUN0A4881BB0F,CUST100012680,INV0F23E163FE,Reminder,2026-01-31,Call Placed,True
DUNF9DFE721A2,CUST100006323,INVFD79C01901,Reminder,2026-03-19,Call Placed,True
DUNBCAFEC8FE6,CUST100097114,INV3C804D1BA0,Reminder,2026-01-11,SMS Sent,True
DUNAD246D9BBC,CUST100073334,INV88BFD13C36,Reminder,2026-04-14,Service Restricted,True
DUN8BD7002166,CUST100043540,INVCA5CEA9CF9,First Notice,2026-02-05,None,True
DUN11AA1C3A0C,CUST100068080,INVE59D1FA229,Final Notice,2026-04-25,Email Sent,False
DUN32256A78B3,CUST100002646,INV65CC2E0E7A,Reminder,2026-05-04,Call Placed,False
DUNB393C4F29B,CUST100053099,INV9135F86323,Reminder,2026-02-16,SMS Sent,True
DUNFF5CE97F4D,CUST100038510,INVBC15AD8627,Collections Referral,2026-04-23,SMS Sent,True
DUNA80D43F467,CUST100062934,INV165898ACDE,Final Notice,2026-04-29,Call Placed,False
DUN9E46C36281,CUST100024863,INVC4D8D04611,Reminder,2026-03-03,None,False
