visit_id,customer_id,store_id,visit_date,visit_reason,duration_min,outcome
VISC17450BAE3,CUST100043326,STR1118,2026-02-21 20:36:35,Technical Support,79,Resolved
VISBAE999D314,CUST100031334,STR1214,2026-02-09 19:13:40,Device Repair,16,Purchase Completed
VIS3B9199BF7C,CUST100009126,STR1012,2026-05-12 19:00:04,Account Inquiry,26,Purchase Completed
VIS58B4E5FDF8,CUST100080012,STR1121,2026-01-18 21:48:41,Account Inquiry,5,Follow-up Scheduled
VIS2636BD6CC1,CUST100041844,STR1037,2026-07-16 01:53:55,Device Purchase,81,Resolved
VISB59C872FA2,CUST100023491,STR1128,2026-01-02 05:01:03,Bill Payment,87,Purchase Completed
VISC65FF4EAA5,CUST100071243,STR1199,2026-06-08 13:55:13,Plan Upgrade,67,Unresolved
VISB7C8431276,CUST100033935,STR1215,2026-04-28 20:11:20,Plan Upgrade,59,Purchase Completed
VISA02F0A9AF5,CUST100085051,STR1131,2026-05-08 19:34:16,Account Inquiry,12,Purchase Completed
VIS5B0EA307A7,CUST100014288,STR1234,2026-02-04 03:52:33,Bill Payment,64,Purchase Completed
VIS0497B81583,CUST100075999,STR1161,2026-05-13 07:20:44,Technical Support,7,Purchase Completed
VISE4D3A915C8,CUST100028449,STR1040,2026-02-12 16:02:22,Plan Upgrade,23,Follow-up Scheduled
VIS58E1D77068,CUST100001778,STR1053,2026-02-09 18:59:55,Account Inquiry,80,Resolved
VIS366CA1CA3D,CUST100016523,STR1186,2026-03-18 20:07:46,Plan Upgrade,50,Unresolved
VIS96A1F57F0E,CUST100008013,STR1123,2026-06-16 02:11:40,Device Purchase,23,Purchase Completed
VISCF58ACAFC2,CUST100005008,STR1050,2026-05-14 10:11:23,Bill Payment,18,Follow-up Scheduled
VISC1A7112198,CUST100004729,STR1139,2026-06-06 19:31:07,Technical Support,72,Resolved
VIS5F68EAFEA1,CUST100056981,STR1110,2026-03-16 21:46:37,Bill Payment,44,Purchase Completed
VIS61A59DA2FF,CUST100027145,STR1028,2026-04-17 07:21:17,Technical Support,43,Resolved
VIS040B761847,CUST100029643,STR1078,2026-04-13 05:31:23,Account Inquiry,64,Purchase Completed
VIS4EE8FF8CBF,CUST100098187,STR1111,2026-04-25 00:27:11,Device Repair,87,Resolved
VIS3FBA020DEC,CUST100066061,STR1128,2026-03-25 06:06:39,Technical Support,50,Resolved
VIS69165CCE06,CUST100030667,STR1058,2026-04-17 11:04:46,Device Repair,10,Purchase Completed
VISDDB3DA5F6E,CUST100087189,STR1062,2026-01-13 17:06:05,Bill Payment,63,Purchase Completed
VIS81988292FC,CUST100089606,STR1046,2026-03-20 11:34:01,Device Repair,29,Resolved
VIS0727232F08,CUST100093249,STR1208,2026-06-28 08:35:06,Technical Support,89,Resolved
VISFBDB79A549,CUST100065173,STR1102,2026-01-30 15:33:16,Device Repair,59,Follow-up Scheduled
