dispatch_id,customer_id,technician_id,dispatch_date,issue_type,resolution_time_hr,status
DSPA732CEF170,CUST100029865,TECH1340,2026-04-14,Router Replacement,0.77,Scheduled
DSP4D5A9CF42E,CUST100063365,TECH1465,2026-01-24,Equipment Install,2.59,Completed
DSPF3D3E15BD7,CUST100061156,TECH1152,2026-07-07,Line Repair,0.33,Completed
DSPE77E274FA2,CUST100093386,TECH1496,2026-04-28,No Service,0.49,Scheduled
DSPE54F5A10C0,CUST100021466,TECH1369,2026-05-03,Equipment Install,0.67,Completed
DSPB149E62013,CUST100071321,TECH1234,2026-05-09,Equipment Install,1.52,Cancelled
DSP72C8584192,CUST100094705,TECH1414,2026-01-13,Line Repair,0.08,Completed
DSPE6C413F1B4,CUST100098821,TECH1205,2026-05-01,No Service,4.6,Completed
DSP3C2FB2060B,CUST100013555,TECH1314,2026-05-01,Line Repair,1.86,Completed
DSPFBDA9C5DDD,CUST100096641,TECH1162,2026-05-17,Slow Internet,2.18,Rescheduled
DSP6DC780A600,CUST100090235,TECH1393,2026-05-03,No Service,2.46,Rescheduled
DSP2258E0E20B,CUST100063052,TECH1238,2026-05-29,Slow Internet,0.8,Completed
DSPF76333B11C,CUST100064303,TECH1069,2026-01-24,Slow Internet,0.31,Scheduled
DSPDB4C072664,CUST100050097,TECH1295,2026-03-27,Router Replacement,2.88,Completed
DSP31A7C8DED1,CUST100002918,TECH1168,2026-02-14,No Service,6.74,Completed
DSP16ED8EE933,CUST100083537,TECH1378,2026-05-26,Line Repair,2.72,Completed
DSP1D92C9CC4A,CUST100089493,TECH1072,2026-03-19,Line Repair,2.46,Completed
DSP52E0328969,CUST100005041,TECH1240,2026-05-22,Slow Internet,1.1,Completed
DSP9113822B2F,CUST100066979,TECH1276,2026-02-25,Slow Internet,0.68,Completed
DSP25FDE54A92,CUST100072583,TECH1088,2026-02-14,No Service,1.54,Completed
DSPF424DDBFA7,CUST100027890,TECH1294,2026-05-18,Slow Internet,0.31,Rescheduled
DSP8B0381E8D7,CUST100039087,TECH1033,2026-05-23,Equipment Install,4.77,Completed
DSP5E0BE67B7F,CUST100041738,TECH1000,2026-06-11,No Service,4.99,Completed
DSPE7E942F4B4,CUST100060793,TECH1039,2026-01-15,Slow Internet,6.71,Completed
DSP6ECFFB845A,CUST100093460,TECH1267,2026-04-23,Line Repair,0.99,Scheduled
DSP3057874251,CUST100022704,TECH1274,2026-03-11,No Service,3.7,Completed
DSP7396F4BE1B,CUST100027551,TECH1192,2026-06-15,No Service,2.19,Completed
DSP7E17B104AB,CUST100084432,TECH1327,2026-03-27,Line Repair,0.27,Completed
DSP1D72973BDD,CUST100009827,TECH1040,2026-05-22,No Service,0.68,Completed
DSP5344743E4A,CUST100097839,TECH1470,2026-05-14,Line Repair,0.14,Completed
DSPBD696EA52C,CUST100005793,TECH1222,2026-05-03,No Service,7.12,Completed
DSP2B51827C04,CUST100041029,TECH1094,2026-04-13,Router Replacement,0.44,Completed
DSP159DB11245,CUST100023774,TECH1461,2026-04-08,Equipment Install,1.47,Completed
DSPBAB42E22AA,CUST100079355,TECH1473,2026-06-22,Line Repair,3.0,Completed
DSPDB4FE254A6,CUST100025334,TECH1203,2026-02-02,Router Replacement,1.09,Completed
DSPE6BF4B7D35,CUST100077925,TECH1278,2026-02-24,Router Replacement,1.47,Scheduled
DSP359371F593,CUST100070757,TECH1136,2026-02-21,Router Replacement,1.8,Completed
DSPAEA3879405,CUST100002240,TECH1449,2026-07-22,No Service,0.22,Completed
DSP992FD1B60A,CUST100090182,TECH1283,2026-02-07,No Service,0.69,Cancelled
DSPA7FC2B6F4E,CUST100063363,TECH1333,2026-01-27,Router Replacement,0.88,Completed
DSP0FA31591AD,CUST100049090,TECH1080,2026-05-30,No Service,7.01,Completed
DSP4BBB4FFD4F,CUST100049699,TECH1185,2026-06-26,Slow Internet,0.86,Completed
DSP3E36A01529,CUST100036861,TECH1008,2026-03-09,Router Replacement,0.44,Completed
DSPA5FAED676B,CUST100053276,TECH1246,2026-04-24,Router Replacement,3.93,Completed
DSPC42B696DB3,CUST100077974,TECH1089,2026-01-07,Line Repair,2.44,Completed
DSP4BC123BC3A,CUST100027167,TECH1321,2026-03-29,Line Repair,2.71,Completed
DSP02F3064717,CUST100000295,TECH1490,2026-07-14,Router Replacement,0.86,Completed
DSPA7E26EFC4C,CUST100015720,TECH1427,2026-07-19,Equipment Install,0.3,Scheduled
DSPE61D630B37,CUST100027983,TECH1342,2026-03-05,Slow Internet,6.65,Completed
DSPA466FB5A03,CUST100053747,TECH1191,2026-05-02,Line Repair,1.42,Scheduled
DSP391D5D9989,CUST100003434,TECH1025,2026-02-23,Line Repair,0.38,Completed
DSP8721785BF6,CUST100006084,TECH1285,2026-04-29,Router Replacement,2.58,Scheduled
DSP5915737530,CUST100057394,TECH1362,2026-02-03,Slow Internet,3.71,Completed
DSP093D2D6662,CUST100076157,TECH1134,2026-01-05,Router Replacement,0.04,Completed
DSP8796E80E2B,CUST100028673,TECH1420,2026-06-19,Equipment Install,0.77,Rescheduled
DSP4E6E1FC50B,CUST100026257,TECH1317,2026-06-03,Slow Internet,1.86,Completed
DSPFA2C3A13CC,CUST100043351,TECH1399,2026-03-27,Line Repair,0.59,Rescheduled
DSP3ACF99CE90,CUST100069627,TECH1271,2026-04-08,Equipment Install,0.29,Scheduled
DSPDC3A381074,CUST100099295,TECH1376,2026-01-21,Line Repair,1.99,Rescheduled
DSPE1AEE27258,CUST100003594,TECH1398,2026-01-24,Router Replacement,0.31,Completed
DSP33AF2EF30B,CUST100083338,TECH1161,2026-07-03,No Service,2.73,Completed
DSPC84591ECFA,CUST100035580,TECH1240,2026-05-16,Line Repair,0.29,Completed
DSPCC740C2B6D,CUST100074252,TECH1048,2026-01-17,Slow Internet,0.27,Completed
DSP20EF10F597,CUST100050320,TECH1352,2026-05-15,Line Repair,9.7,Completed
DSP266154A7D3,CUST100017936,TECH1340,2026-01-01,No Service,1.07,Completed
DSP193B84F252,CUST100087965,TECH1495,2026-06-20,No Service,0.43,Completed
DSP536649DBE2,CUST100073335,TECH1414,2026-04-05,Line Repair,0.12,Completed
DSPCB91EBF2CB,CUST100008246,TECH1442,2026-04-17,Equipment Install,1.08,Completed
DSP351BC7EF6D,CUST100010037,TECH1240,2026-04-21,Line Repair,3.31,Completed
DSP599271CF03,CUST100013304,TECH1419,2026-06-21,No Service,1.85,Completed
DSP206ABA7CA7,CUST100055512,TECH1340,2026-03-06,Slow Internet,1.93,Scheduled
DSP50AD529A43,CUST100026123,TECH1380,2026-06-09,Slow Internet,0.48,Completed
DSP4ABE8283FC,CUST100037931,TECH1035,2026-06-22,Line Repair,4.25,Scheduled
DSP45B209DC43,CUST100055377,TECH1388,2026-03-14,Equipment Install,1.67,Completed
DSPBF8516890F,CUST100026461,TECH1224,2026-06-06,Equipment Install,3.37,Completed
DSPF1E7D61DEA,CUST100081423,TECH1235,2026-01-22,No Service,1.49,Completed
DSPF3AE468AF8,CUST100034758,TECH1455,2026-03-03,Equipment Install,3.95,Scheduled
DSP9E73A63196,CUST100071138,TECH1000,2026-02-22,Router Replacement,2.24,Completed
DSP53EBE53514,CUST100016753,TECH1246,2026-06-16,Line Repair,3.15,Rescheduled
DSPE1ED803B2F,CUST100052101,TECH1150,2026-03-06,Equipment Install,2.49,Completed
DSPE7AF1A7CB7,CUST100002406,TECH1365,2026-06-22,No Service,7.08,Completed
DSPAF3E9817E8,CUST100003519,TECH1444,2026-02-07,Equipment Install,0.23,Completed
DSP99457A2B49,CUST100009872,TECH1269,2026-03-25,Equipment Install,0.99,Completed
DSPF5552D91E0,CUST100034994,TECH1045,2026-04-06,Router Replacement,0.91,Completed
DSP670ECFEB50,CUST100021173,TECH1234,2026-07-13,No Service,1.2,Completed
DSPA318BA8631,CUST100058564,TECH1467,2026-01-06,Line Repair,0.02,Completed
DSP50917EAEE1,CUST100094403,TECH1485,2026-06-01,Equipment Install,0.68,Completed
DSP3349F47108,CUST100074892,TECH1475,2026-07-17,Router Replacement,0.32,Completed
DSPEFBB426B7C,CUST100074166,TECH1067,2026-02-06,Router Replacement,3.04,Completed
DSP046D8B4D9B,CUST100006217,TECH1004,2026-05-25,Equipment Install,2.07,Scheduled
DSP5B14C72406,CUST100085278,TECH1232,2026-05-13,Slow Internet,3.63,Completed
DSP21D8C2DFCA,CUST100097761,TECH1017,2026-06-30,No Service,10.5,Completed
DSP99EADAA23D,CUST100082133,TECH1443,2026-06-13,Slow Internet,2.55,Rescheduled
DSP6FFE7FB5ED,CUST100065998,TECH1296,2026-06-20,Line Repair,4.07,Cancelled
DSPCB71189941,CUST100008144,TECH1061,2026-07-18,Equipment Install,10.55,Completed
DSP627DC99F66,CUST100086780,TECH1074,2026-05-09,Equipment Install,0.81,Completed
DSP134E0D1B4A,CUST100052336,TECH1396,2026-04-02,Line Repair,3.4,Completed
DSPE264D34AEC,CUST100050863,TECH1328,2026-02-20,Equipment Install,0.28,Completed
DSPD362FA6E68,CUST100024292,TECH1030,2026-02-21,Line Repair,1.27,Completed
DSP7E7122B31B,CUST100014947,TECH1411,2026-05-18,Router Replacement,1.39,Completed
DSP7F545E6B77,CUST100069060,TECH1030,2026-07-05,No Service,0.08,Completed
DSP4FD45106A8,CUST100082653,TECH1032,2026-05-28,Slow Internet,10.08,Completed
DSPFE70E472E1,CUST100099023,TECH1086,2026-01-07,Slow Internet,1.16,Completed
DSPD80908A6B6,CUST100064386,TECH1429,2026-02-28,No Service,0.6,Completed
DSP9BAA329DAB,CUST100046494,TECH1001,2026-06-26,Equipment Install,0.54,Scheduled
DSP4A310DF35F,CUST100029263,TECH1410,2026-06-15,Equipment Install,0.41,Completed
DSPF66A7E23DF,CUST100012130,TECH1425,2026-03-09,Equipment Install,3.49,Completed
DSP65A3E52E1D,CUST100033663,TECH1440,2026-02-10,Equipment Install,3.64,Completed
DSP5C74B92EA4,CUST100094800,TECH1466,2026-06-12,Line Repair,1.02,Completed
DSP2912330471,CUST100035770,TECH1380,2026-03-05,Slow Internet,3.7,Rescheduled
DSP5F02EFFD50,CUST100039824,TECH1076,2026-04-18,Equipment Install,1.99,Scheduled
DSP10F4F0053A,CUST100002228,TECH1273,2026-01-02,No Service,3.24,Completed
DSP8C0CCAD22F,CUST100011022,TECH1170,2026-05-06,Equipment Install,0.74,Cancelled
DSP79D3C91A6C,CUST100080446,TECH1412,2026-02-12,Equipment Install,2.45,Rescheduled
DSP62019BA6C6,CUST100014133,TECH1270,2026-01-01,Router Replacement,11.97,Completed
DSPA52880F350,CUST100025399,TECH1247,2026-04-14,Router Replacement,3.95,Completed
DSP38D59F0232,CUST100039060,TECH1142,2026-05-18,Line Repair,0.98,Scheduled
DSPB8B3CA032B,CUST100051989,TECH1233,2026-05-16,No Service,1.07,Rescheduled
DSP689CE3D359,CUST100093451,TECH1031,2026-07-05,No Service,1.01,Completed
DSP0EEC9BB9FB,CUST100070448,TECH1125,2026-07-21,Slow Internet,0.94,Scheduled
DSP297BB917AE,CUST100039225,TECH1106,2026-02-09,Slow Internet,0.29,Completed
DSPEACF6CF27B,CUST100030369,TECH1189,2026-02-14,No Service,3.06,Completed
DSPBDA943586D,CUST100096747,TECH1010,2026-05-13,Equipment Install,3.42,Rescheduled
DSPEC2044AB9F,CUST100045273,TECH1007,2026-02-02,Router Replacement,0.51,Rescheduled
DSPEE8DFD21B1,CUST100064559,TECH1084,2026-05-02,Line Repair,0.83,Completed
DSP3609833788,CUST100036605,TECH1455,2026-04-08,Equipment Install,6.21,Completed
DSP2E12D90CCF,CUST100012107,TECH1319,2026-01-04,No Service,2.04,Completed
DSP37697BC678,CUST100044167,TECH1254,2026-01-06,Router Replacement,1.43,Completed
DSPDF02B47DD8,CUST100089652,TECH1413,2026-04-05,Slow Internet,3.07,Scheduled
DSP186B2C8F91,CUST100082373,TECH1261,2026-06-06,Router Replacement,0.12,Completed
DSP4BDBDC4543,CUST100062376,TECH1308,2026-06-05,No Service,8.31,Rescheduled
DSP8D465971C3,CUST100043992,TECH1500,2026-05-03,Equipment Install,1.7,Completed
DSP3F84AE990D,CUST100068695,TECH1349,2026-02-11,Equipment Install,0.27,Scheduled
DSP40883E9A2F,CUST100072666,TECH1200,2026-04-24,Line Repair,0.1,Completed
DSP9E6BF173C7,CUST100078267,TECH1306,2026-04-25,Equipment Install,0.41,Completed
DSP51E5935CBE,CUST100037504,TECH1067,2026-05-17,Slow Internet,1.57,Completed
DSP40AFE1ED16,CUST100061641,TECH1327,2026-04-28,Line Repair,2.2,Completed
DSP06381523F5,CUST100073777,TECH1483,2026-04-19,Line Repair,7.88,Completed
DSP5E13B17EA1,CUST100087993,TECH1276,2026-03-11,Line Repair,1.77,Completed
DSP44A46F97AD,CUST100000567,TECH1452,2026-02-04,Line Repair,0.05,Scheduled
DSP3B67C6AA58,CUST100057594,TECH1133,2026-02-17,Router Replacement,2.02,Completed
DSP4D0ED5D2CD,CUST100031763,TECH1319,2026-01-26,Line Repair,6.7,Completed
DSPBFF69A058D,CUST100053473,TECH1309,2026-01-09,Line Repair,4.51,Completed
DSPFD3DA073ED,CUST100047884,TECH1448,2026-04-19,Slow Internet,0.09,Scheduled
DSP56A1CC3DAB,CUST100024873,TECH1229,2026-04-25,No Service,2.46,Completed
DSP3B4A410A8A,CUST100005308,TECH1096,2026-01-18,No Service,4.19,Completed
DSP1B3238FF25,CUST100071398,TECH1137,2026-03-09,Slow Internet,0.43,Completed
DSP0B367524E0,CUST100075827,TECH1201,2026-04-30,Slow Internet,0.64,Scheduled
DSPCD943A2906,CUST100032896,TECH1114,2026-02-27,No Service,3.98,Completed
DSP9CE25C1DCB,CUST100077103,TECH1261,2026-03-13,Slow Internet,4.14,Completed
DSP24C91737A0,CUST100049465,TECH1057,2026-01-06,Equipment Install,0.21,Completed
DSPF47E3EB835,CUST100041696,TECH1275,2026-05-28,Router Replacement,0.48,Completed
DSP2DCAC3EB49,CUST100097247,TECH1098,2026-01-06,No Service,10.21,Completed
DSP88CF549A1B,CUST100004387,TECH1309,2026-06-12,No Service,1.0,Completed
DSP0418D68A30,CUST100004424,TECH1228,2026-07-05,Router Replacement,2.77,Scheduled
DSP080E843DD6,CUST100073396,TECH1107,2026-01-10,Router Replacement,1.3,Completed
DSPA7F898793C,CUST100064614,TECH1111,2026-06-15,No Service,0.52,Completed
DSPD76AE31A3E,CUST100001802,TECH1401,2026-06-29,Equipment Install,0.8,Completed
DSPC504CDD364,CUST100020094,TECH1206,2026-05-30,Router Replacement,3.5,Completed
DSPA1EBFAE98B,CUST100017991,TECH1100,2026-02-05,Slow Internet,2.34,Completed
DSP214027A4F5,CUST100075004,TECH1210,2026-02-21,Equipment Install,1.37,Completed
DSPDF0A2D0109,CUST100012209,TECH1464,2026-06-03,Equipment Install,3.18,Completed
DSP12183ED976,CUST100059229,TECH1380,2026-06-29,No Service,5.19,Completed
