customer_id,clv_estimate_usd,clv_segment,calculation_date
CUST100060596,1999.65,Gold,2026-07-22
CUST100048854,1332.1,Silver,2026-07-05
CUST100004719,2143.96,Gold,2026-07-05
CUST100094356,1366.05,Silver,2026-07-01
CUST100035156,833.4,Silver,2026-07-17
CUST100025253,726.61,Silver,2026-07-17
CUST100073006,1173.18,Silver,2026-07-23
CUST100009605,415.74,Bronze,2026-07-22
CUST100028441,1856.78,Gold,2026-07-16
CUST100024802,511.65,Silver,2026-07-11
CUST100058908,4100.06,Platinum,2026-07-10
CUST100035134,582.42,Silver,2026-07-20
CUST100024187,712.9,Silver,2026-07-07
CUST100056832,334.31,Bronze,2026-07-10
CUST100054335,625.05,Silver,2026-07-21
CUST100030185,955.45,Silver,2026-07-09
CUST100084400,2108.71,Gold,2026-07-20
CUST100095474,752.16,Silver,2026-07-15
CUST100047543,1231.08,Silver,2026-07-02
CUST100086923,1632.45,Gold,2026-07-12
CUST100004663,933.57,Silver,2026-07-05
CUST100019655,4159.35,Platinum,2026-07-07
CUST100059482,2021.42,Gold,2026-07-20
CUST100075483,1279.52,Silver,2026-07-16
CUST100086658,490.38,Bronze,2026-07-08
CUST100056574,666.54,Silver,2026-07-18
CUST100010777,1396.41,Silver,2026-07-01
CUST100033329,385.4,Bronze,2026-07-18
CUST100090270,1389.73,Silver,2026-07-13
CUST100038306,431.13,Bronze,2026-07-23
CUST100038065,800.04,Silver,2026-07-17
CUST100037290,1854.61,Gold,2026-07-01
CUST100047875,1423.13,Silver,2026-07-22
CUST100035829,1960.73,Gold,2026-07-18
CUST100043204,1017.59,Silver,2026-07-07
CUST100094822,1716.81,Gold,2026-07-07
CUST100066685,743.62,Silver,2026-07-10
CUST100024291,561.97,Silver,2026-07-21
CUST100043502,752.03,Silver,2026-07-18
CUST100088488,2033.43,Gold,2026-07-07
CUST100019339,858.61,Silver,2026-07-16
CUST100056797,784.78,Silver,2026-07-14
CUST100001449,1069.34,Silver,2026-07-07
CUST100070973,2169.67,Gold,2026-07-05
CUST100029136,1245.45,Silver,2026-07-03
CUST100021194,1130.81,Silver,2026-07-06
CUST100094543,582.28,Silver,2026-07-07
CUST100007104,609.95,Silver,2026-07-23
CUST100096530,472.01,Bronze,2026-07-14
CUST100010224,1084.57,Silver,2026-07-16
CUST100066853,491.94,Bronze,2026-07-05
CUST100073214,2363.05,Gold,2026-07-11
CUST100029093,935.77,Silver,2026-07-04
CUST100016896,384.78,Bronze,2026-07-15
CUST100003175,1990.89,Gold,2026-07-13
CUST100034415,1620.95,Gold,2026-07-02
CUST100005767,932.11,Silver,2026-07-01
CUST100082432,335.09,Bronze,2026-07-12
CUST100022863,498.06,Bronze,2026-07-22
CUST100022027,2240.33,Gold,2026-07-04
CUST100069206,1168.54,Silver,2026-07-14
CUST100091052,1310.04,Silver,2026-07-05
CUST100094574,576.33,Silver,2026-07-08
CUST100080030,788.83,Silver,2026-07-20
CUST100045140,2192.8,Gold,2026-07-06
CUST100017303,1534.36,Gold,2026-07-12
CUST100046330,1274.67,Silver,2026-07-10
CUST100066676,945.11,Silver,2026-07-03
CUST100075737,774.45,Silver,2026-07-06
CUST100078430,464.65,Bronze,2026-07-02
CUST100061880,753.13,Silver,2026-07-03
CUST100078663,785.55,Silver,2026-07-07
CUST100075937,2285.41,Gold,2026-07-15
CUST100033138,1318.63,Silver,2026-07-11
CUST100016021,1234.57,Silver,2026-07-05
CUST100043193,1993.34,Gold,2026-07-19
CUST100034519,1095.66,Silver,2026-07-12
CUST100046952,1254.28,Silver,2026-07-04
CUST100033880,1107.67,Silver,2026-07-02
CUST100095389,1933.82,Gold,2026-07-02
CUST100038489,1138.1,Silver,2026-07-14
CUST100045222,866.82,Silver,2026-07-19
CUST100077765,389.23,Bronze,2026-07-10
CUST100047799,981.92,Silver,2026-07-03
CUST100050590,1805.8,Gold,2026-07-11
CUST100012228,2159.6,Gold,2026-07-14
CUST100040703,2761.15,Gold,2026-07-03
CUST100074788,841.42,Silver,2026-07-23
CUST100005038,1057.36,Silver,2026-07-23
CUST100059099,1093.99,Silver,2026-07-20
CUST100084902,271.1,Bronze,2026-07-17
CUST100020362,883.99,Silver,2026-07-10
CUST100083760,1191.37,Silver,2026-07-19
CUST100087105,1158.73,Silver,2026-07-16
CUST100030859,2452.39,Gold,2026-07-04
CUST100002522,326.33,Bronze,2026-07-23
CUST100070017,1025.16,Silver,2026-07-13
CUST100088762,1302.08,Silver,2026-07-06
CUST100062177,619.08,Silver,2026-07-06
CUST100015043,610.76,Silver,2026-07-13
CUST100068423,579.44,Silver,2026-07-06
CUST100086012,1396.96,Silver,2026-07-23
CUST100019680,738.36,Silver,2026-07-21
CUST100081167,1051.52,Silver,2026-07-10
CUST100053264,1136.62,Silver,2026-07-04
CUST100089504,2813.05,Gold,2026-07-15
CUST100049532,560.25,Silver,2026-07-09
CUST100011777,966.07,Silver,2026-07-11
