customer_id,product_recommended,propensity_score,score_date
CUST100001531,International Roaming Pack,0.7854,2026-07-01
CUST100079080,Device Insurance,0.2124,2026-07-20
CUST100051650,Family Plan Upgrade,0.4432,2026-07-20
CUST100000473,5G Handset Upgrade,0.1533,2026-07-04
CUST100046923,Streaming Bundle,0.4217,2026-07-14
CUST100005864,Device Insurance,0.2968,2026-07-13
CUST100069757,Streaming Bundle,0.1448,2026-07-04
CUST100097098,Streaming Bundle,0.4439,2026-07-04
CUST100078549,Family Plan Upgrade,0.6006,2026-07-04
CUST100088979,International Roaming Pack,0.0988,2026-07-09
CUST100058738,Streaming Bundle,0.8492,2026-07-03
CUST100006439,5G Handset Upgrade,0.1264,2026-07-02
CUST100021436,Device Insurance,0.5724,2026-07-05
CUST100073098,Home Security Add-on,0.1495,2026-07-07
CUST100051298,5G Handset Upgrade,0.4837,2026-07-19
CUST100067020,Device Insurance,0.2171,2026-07-10
CUST100042807,Family Plan Upgrade,0.9218,2026-07-10
CUST100051453,Family Plan Upgrade,0.6492,2026-07-15
CUST100099771,International Roaming Pack,0.7278,2026-07-20
CUST100011472,Family Plan Upgrade,0.1045,2026-07-13
CUST100025311,International Roaming Pack,0.5853,2026-07-01
CUST100069719,Home Security Add-on,0.6419,2026-07-11
CUST100009951,International Roaming Pack,0.6825,2026-07-11
CUST100091815,Home Security Add-on,0.8899,2026-07-11
CUST100073439,Device Insurance,0.5873,2026-07-04
CUST100078405,International Roaming Pack,0.8378,2026-07-23
CUST100004293,Home Security Add-on,0.1039,2026-07-08
CUST100001610,Device Insurance,0.4779,2026-07-21
CUST100085161,Streaming Bundle,0.8697,2026-07-08
CUST100024253,Streaming Bundle,0.6599,2026-07-02
CUST100096783,International Roaming Pack,0.3225,2026-07-06
CUST100024393,5G Handset Upgrade,0.1506,2026-07-11
CUST100092867,5G Handset Upgrade,0.9382,2026-07-18
CUST100089881,Device Insurance,0.6555,2026-07-04
CUST100021559,Streaming Bundle,0.9433,2026-07-03
CUST100024380,Family Plan Upgrade,0.9613,2026-07-19
CUST100078375,Family Plan Upgrade,0.3655,2026-07-15
CUST100049221,Home Security Add-on,0.1572,2026-07-15
CUST100051645,Family Plan Upgrade,0.9052,2026-07-02
CUST100056065,Device Insurance,0.8034,2026-07-20
CUST100074795,Family Plan Upgrade,0.1843,2026-07-09
CUST100026863,Streaming Bundle,0.6538,2026-07-22
CUST100018248,Home Security Add-on,0.2088,2026-07-02
CUST100076676,Family Plan Upgrade,0.4466,2026-07-09
CUST100090906,Streaming Bundle,0.8159,2026-07-11
CUST100011204,International Roaming Pack,0.6081,2026-07-20
CUST100013817,5G Handset Upgrade,0.8745,2026-07-22
CUST100099676,Home Security Add-on,0.2069,2026-07-13
CUST100005859,Device Insurance,0.1264,2026-07-19
CUST100093279,International Roaming Pack,0.6884,2026-07-17
CUST100078499,Family Plan Upgrade,0.2584,2026-07-23
CUST100062416,Family Plan Upgrade,0.5322,2026-07-03
CUST100058819,Device Insurance,0.3405,2026-07-19
CUST100048359,International Roaming Pack,0.1182,2026-07-06
CUST100012531,International Roaming Pack,0.4337,2026-07-01
CUST100029584,5G Handset Upgrade,0.4037,2026-07-06
CUST100028812,International Roaming Pack,0.5328,2026-07-03
CUST100076202,Streaming Bundle,0.6824,2026-07-13
CUST100085353,5G Handset Upgrade,0.4052,2026-07-19
CUST100017229,5G Handset Upgrade,0.7197,2026-07-05
CUST100032462,Device Insurance,0.6187,2026-07-08
CUST100063636,5G Handset Upgrade,0.036,2026-07-14
CUST100033623,Streaming Bundle,0.9953,2026-07-02
CUST100044192,Device Insurance,0.6123,2026-07-22
CUST100088356,Family Plan Upgrade,0.4083,2026-07-14
CUST100029787,Home Security Add-on,0.1073,2026-07-22
CUST100094311,International Roaming Pack,0.0301,2026-07-19
CUST100041392,Family Plan Upgrade,0.7376,2026-07-01
CUST100021967,Family Plan Upgrade,0.7048,2026-07-15
CUST100027918,Home Security Add-on,0.6541,2026-07-13
CUST100082736,Device Insurance,0.273,2026-07-19
CUST100019387,Home Security Add-on,0.2582,2026-07-23
CUST100092892,Family Plan Upgrade,0.9461,2026-07-08
CUST100043539,Streaming Bundle,0.5651,2026-07-23
CUST100086532,Device Insurance,0.5814,2026-07-02
CUST100064826,Home Security Add-on,0.5246,2026-07-05
CUST100060048,Home Security Add-on,0.0382,2026-07-07
CUST100058793,Home Security Add-on,0.0365,2026-07-14
CUST100092071,Device Insurance,0.4053,2026-07-12
CUST100030682,Home Security Add-on,0.4133,2026-07-06
CUST100078184,Family Plan Upgrade,0.7717,2026-07-01
CUST100002663,Streaming Bundle,0.2734,2026-07-16
CUST100079040,Home Security Add-on,0.739,2026-07-02
CUST100010964,5G Handset Upgrade,0.0724,2026-07-06
CUST100059613,International Roaming Pack,0.1702,2026-07-06
CUST100025330,Home Security Add-on,0.4618,2026-07-18
CUST100049307,Streaming Bundle,0.4878,2026-07-09
CUST100032702,5G Handset Upgrade,0.7057,2026-07-07
CUST100015781,International Roaming Pack,0.4774,2026-07-09
CUST100002616,Home Security Add-on,0.2194,2026-07-22
CUST100034247,International Roaming Pack,0.2032,2026-07-13
CUST100013324,Home Security Add-on,0.7703,2026-07-20
CUST100072074,Family Plan Upgrade,0.64,2026-07-12
CUST100018878,Device Insurance,0.3897,2026-07-06
CUST100053683,5G Handset Upgrade,0.2881,2026-07-17
CUST100026263,Family Plan Upgrade,0.8734,2026-07-04
CUST100058344,Family Plan Upgrade,0.9282,2026-07-15
CUST100027070,Family Plan Upgrade,0.1052,2026-07-18
CUST100033262,Device Insurance,0.2499,2026-07-21
CUST100065756,Family Plan Upgrade,0.8294,2026-07-08
CUST100068394,Home Security Add-on,0.7414,2026-07-20
CUST100028486,5G Handset Upgrade,0.753,2026-07-10
CUST100043450,Family Plan Upgrade,0.5402,2026-07-16
CUST100008666,Home Security Add-on,0.6956,2026-07-06
CUST100059198,Device Insurance,0.5867,2026-07-01
CUST100073649,Streaming Bundle,0.6308,2026-07-06
CUST100091164,Streaming Bundle,0.6163,2026-07-15
CUST100001910,Device Insurance,0.6134,2026-07-14
CUST100004715,Device Insurance,0.0207,2026-07-17
CUST100049949,Device Insurance,0.7188,2026-07-23
CUST100005863,Home Security Add-on,0.3,2026-07-18
CUST100083990,Streaming Bundle,0.0366,2026-07-05
CUST100090049,Family Plan Upgrade,0.7734,2026-07-07
CUST100012746,International Roaming Pack,0.4704,2026-07-15
CUST100024614,Streaming Bundle,0.1347,2026-07-21
CUST100051261,Streaming Bundle,0.4471,2026-07-19
CUST100037756,Device Insurance,0.7473,2026-07-20
CUST100005760,Streaming Bundle,0.0129,2026-07-04
CUST100025666,Family Plan Upgrade,0.0885,2026-07-02
CUST100025987,Family Plan Upgrade,0.3509,2026-07-14
CUST100084138,International Roaming Pack,0.0716,2026-07-06
CUST100075813,Home Security Add-on,0.045,2026-07-05
CUST100012762,Streaming Bundle,0.1583,2026-07-15
CUST100049335,Streaming Bundle,0.2517,2026-07-12
CUST100057013,Device Insurance,0.3138,2026-07-21
CUST100061857,Home Security Add-on,0.5686,2026-07-11
CUST100057666,Family Plan Upgrade,0.608,2026-07-19
CUST100086109,Family Plan Upgrade,0.6957,2026-07-13
CUST100084620,Home Security Add-on,0.584,2026-07-23
CUST100058100,Home Security Add-on,0.2282,2026-07-21
CUST100097168,Device Insurance,0.8963,2026-07-06
CUST100017725,Home Security Add-on,0.3021,2026-07-17
CUST100042159,5G Handset Upgrade,0.7033,2026-07-04
CUST100015054,Streaming Bundle,0.8844,2026-07-18
CUST100047663,Home Security Add-on,0.632,2026-07-07
CUST100049062,Home Security Add-on,0.3661,2026-07-04
CUST100062121,Device Insurance,0.7842,2026-07-09
CUST100067690,Family Plan Upgrade,0.3037,2026-07-03
CUST100079877,Streaming Bundle,0.6289,2026-07-12
CUST100024234,Home Security Add-on,0.9147,2026-07-16
CUST100081126,Device Insurance,0.855,2026-07-19
CUST100041143,Streaming Bundle,0.3791,2026-07-03
CUST100011593,Family Plan Upgrade,0.851,2026-07-16
CUST100061249,International Roaming Pack,0.0919,2026-07-18
CUST100032000,Streaming Bundle,0.4248,2026-07-15
CUST100046243,5G Handset Upgrade,0.3956,2026-07-13
CUST100033016,Family Plan Upgrade,0.0193,2026-07-07
CUST100026000,Family Plan Upgrade,0.9842,2026-07-12
CUST100087536,International Roaming Pack,0.1494,2026-07-19
CUST100002597,5G Handset Upgrade,0.0981,2026-07-21
CUST100023948,Home Security Add-on,0.7074,2026-07-20
CUST100016339,5G Handset Upgrade,0.0923,2026-07-10
CUST100015802,Home Security Add-on,0.1725,2026-07-05
CUST100088914,Device Insurance,0.2989,2026-07-13
CUST100056546,Streaming Bundle,0.2124,2026-07-08
CUST100047477,Streaming Bundle,0.4631,2026-07-01
CUST100077670,International Roaming Pack,0.6227,2026-07-11
CUST100049565,5G Handset Upgrade,0.9268,2026-07-18
CUST100089501,Device Insurance,0.2444,2026-07-21
CUST100016215,Family Plan Upgrade,0.7594,2026-07-08
CUST100024131,Device Insurance,0.0992,2026-07-13
CUST100030426,Device Insurance,0.9914,2026-07-10
CUST100077318,Streaming Bundle,0.5206,2026-07-12
CUST100028506,5G Handset Upgrade,0.5265,2026-07-13
CUST100013676,Home Security Add-on,0.7569,2026-07-15
CUST100093376,Streaming Bundle,0.0398,2026-07-12
CUST100045593,International Roaming Pack,0.0262,2026-07-19
CUST100022610,Home Security Add-on,0.3216,2026-07-08
CUST100028007,International Roaming Pack,0.764,2026-07-13
CUST100096153,Family Plan Upgrade,0.55,2026-07-12
CUST100056090,Home Security Add-on,0.9494,2026-07-23
CUST100080716,Home Security Add-on,0.0838,2026-07-14
CUST100019206,International Roaming Pack,0.0218,2026-07-21
CUST100007937,Family Plan Upgrade,0.3956,2026-07-22
CUST100064290,5G Handset Upgrade,0.3803,2026-07-15
CUST100074784,Device Insurance,0.4872,2026-07-08
CUST100037133,Home Security Add-on,0.1542,2026-07-04
CUST100039737,Streaming Bundle,0.9548,2026-07-01
CUST100046619,5G Handset Upgrade,0.7525,2026-07-07
CUST100028494,Device Insurance,0.9822,2026-07-04
CUST100099860,International Roaming Pack,0.9737,2026-07-05
CUST100062454,Family Plan Upgrade,0.4133,2026-07-14
CUST100088110,International Roaming Pack,0.8349,2026-07-05
CUST100006703,International Roaming Pack,0.7827,2026-07-19
CUST100048536,International Roaming Pack,0.4671,2026-07-20
CUST100052685,5G Handset Upgrade,0.3788,2026-07-09
CUST100098866,Streaming Bundle,0.7702,2026-07-06
CUST100031019,Home Security Add-on,0.2229,2026-07-14
CUST100084904,Family Plan Upgrade,0.4147,2026-07-07
CUST100009921,International Roaming Pack,0.7444,2026-07-03
CUST100015860,Family Plan Upgrade,0.9254,2026-07-14
CUST100065157,Family Plan Upgrade,0.1063,2026-07-10
CUST100019948,Family Plan Upgrade,0.4281,2026-07-21
CUST100019933,International Roaming Pack,0.1333,2026-07-10
CUST100084184,Streaming Bundle,0.9188,2026-07-13
CUST100070154,International Roaming Pack,0.1346,2026-07-13
CUST100063743,Family Plan Upgrade,0.6796,2026-07-16
CUST100060502,Family Plan Upgrade,0.5786,2026-07-09
CUST100067367,Home Security Add-on,0.8917,2026-07-12
CUST100026602,Streaming Bundle,0.8,2026-07-04
CUST100000217,Home Security Add-on,0.9067,2026-07-09
CUST100034061,5G Handset Upgrade,0.7477,2026-07-03
