customer_id,recommended_action,action_type,priority_rank,generated_date
CUST100036211,Offer Retention Discount,Retention,5,2026-07-14
CUST100001639,Send Proactive Outage Alert,Loyalty,5,2026-07-21
CUST100071353,Send Proactive Outage Alert,Loyalty,3,2026-07-10
CUST100048092,Send Proactive Outage Alert,Upsell,3,2026-07-05
CUST100027108,Offer Device Trade-In,Retention,5,2026-07-13
CUST100053982,Send Proactive Outage Alert,Retention,3,2026-07-12
CUST100014128,Recommend Plan Upgrade,Service,3,2026-07-17
CUST100056568,Send Proactive Outage Alert,Service,1,2026-07-21
CUST100045101,Invite to Loyalty Program,Retention,2,2026-07-07
CUST100004243,Invite to Loyalty Program,Loyalty,5,2026-07-12
CUST100059968,Offer Device Trade-In,Loyalty,4,2026-07-18
CUST100073307,Send Proactive Outage Alert,Service,1,2026-07-21
CUST100090701,Offer Retention Discount,Upsell,5,2026-07-10
CUST100010362,Schedule Win-back Call,Loyalty,2,2026-07-22
CUST100016034,Offer Retention Discount,Loyalty,1,2026-07-12
CUST100022626,Recommend Plan Upgrade,Upsell,5,2026-07-17
CUST100006670,Send Proactive Outage Alert,Retention,3,2026-07-17
CUST100009374,Recommend Plan Upgrade,Retention,2,2026-07-20
CUST100030873,Schedule Win-back Call,Upsell,5,2026-07-21
CUST100091451,Send Proactive Outage Alert,Loyalty,5,2026-07-20
CUST100048626,Schedule Win-back Call,Loyalty,4,2026-07-01
CUST100070188,Send Proactive Outage Alert,Service,5,2026-07-02
CUST100041941,Schedule Win-back Call,Service,3,2026-07-21
CUST100096265,Invite to Loyalty Program,Upsell,5,2026-07-05
CUST100007361,Send Proactive Outage Alert,Retention,1,2026-07-21
CUST100003849,Recommend Plan Upgrade,Upsell,3,2026-07-21
CUST100048949,Recommend Plan Upgrade,Loyalty,1,2026-07-15
CUST100051615,Offer Device Trade-In,Loyalty,1,2026-07-19
CUST100021889,Invite to Loyalty Program,Service,1,2026-07-08
CUST100090076,Recommend Plan Upgrade,Loyalty,3,2026-07-02
CUST100096565,Offer Device Trade-In,Retention,1,2026-07-13
CUST100092201,Invite to Loyalty Program,Upsell,2,2026-07-13
CUST100086022,Recommend Plan Upgrade,Retention,4,2026-07-08
CUST100054080,Send Proactive Outage Alert,Loyalty,2,2026-07-19
CUST100058153,Send Proactive Outage Alert,Loyalty,4,2026-07-02
CUST100063197,Send Proactive Outage Alert,Upsell,3,2026-07-17
CUST100023494,Invite to Loyalty Program,Upsell,2,2026-07-09
CUST100058503,Offer Device Trade-In,Upsell,3,2026-07-02
CUST100070336,Invite to Loyalty Program,Service,1,2026-07-16
CUST100078130,Send Proactive Outage Alert,Retention,5,2026-07-05
CUST100022140,Offer Device Trade-In,Retention,1,2026-07-08
CUST100005715,Offer Device Trade-In,Upsell,2,2026-07-06
CUST100051402,Send Proactive Outage Alert,Upsell,2,2026-07-05
CUST100048882,Send Proactive Outage Alert,Loyalty,5,2026-07-19
CUST100002855,Send Proactive Outage Alert,Retention,3,2026-07-06
CUST100088615,Recommend Plan Upgrade,Retention,5,2026-07-11
CUST100097477,Recommend Plan Upgrade,Loyalty,3,2026-07-14
CUST100022994,Invite to Loyalty Program,Loyalty,1,2026-07-20
CUST100060860,Schedule Win-back Call,Upsell,2,2026-07-10
CUST100056965,Send Proactive Outage Alert,Loyalty,1,2026-07-02
CUST100092547,Invite to Loyalty Program,Loyalty,1,2026-07-21
CUST100017775,Invite to Loyalty Program,Service,4,2026-07-06
CUST100043085,Offer Retention Discount,Retention,4,2026-07-11
CUST100081526,Recommend Plan Upgrade,Loyalty,5,2026-07-19
CUST100074592,Offer Retention Discount,Retention,5,2026-07-12
CUST100004832,Offer Retention Discount,Upsell,1,2026-07-20
CUST100012936,Recommend Plan Upgrade,Retention,5,2026-07-19
CUST100045406,Offer Device Trade-In,Loyalty,3,2026-07-07
CUST100064399,Send Proactive Outage Alert,Loyalty,3,2026-07-10
CUST100000064,Recommend Plan Upgrade,Service,5,2026-07-23
CUST100012251,Invite to Loyalty Program,Service,5,2026-07-17
CUST100079804,Offer Retention Discount,Upsell,5,2026-07-11
CUST100047754,Offer Retention Discount,Upsell,2,2026-07-17
CUST100052811,Send Proactive Outage Alert,Retention,2,2026-07-07
CUST100087362,Recommend Plan Upgrade,Upsell,1,2026-07-22
CUST100012624,Offer Device Trade-In,Service,5,2026-07-12
CUST100086340,Schedule Win-back Call,Upsell,4,2026-07-17
CUST100076499,Invite to Loyalty Program,Retention,1,2026-07-15
CUST100044309,Offer Device Trade-In,Upsell,1,2026-07-04
CUST100028622,Send Proactive Outage Alert,Retention,1,2026-07-01
CUST100088916,Recommend Plan Upgrade,Loyalty,2,2026-07-16
CUST100025151,Schedule Win-back Call,Loyalty,5,2026-07-14
CUST100070480,Offer Device Trade-In,Retention,2,2026-07-08
CUST100090644,Offer Device Trade-In,Upsell,5,2026-07-22
CUST100098819,Invite to Loyalty Program,Upsell,2,2026-07-16
CUST100067478,Invite to Loyalty Program,Service,4,2026-07-05
CUST100017442,Offer Device Trade-In,Upsell,2,2026-07-02
CUST100057970,Offer Retention Discount,Retention,4,2026-07-15
CUST100006326,Recommend Plan Upgrade,Loyalty,1,2026-07-02
CUST100064307,Schedule Win-back Call,Loyalty,1,2026-07-10
CUST100095290,Offer Device Trade-In,Service,5,2026-07-17
CUST100045721,Offer Device Trade-In,Service,2,2026-07-13
CUST100066661,Send Proactive Outage Alert,Loyalty,2,2026-07-01
CUST100019384,Offer Device Trade-In,Upsell,4,2026-07-05
CUST100085797,Send Proactive Outage Alert,Loyalty,2,2026-07-21
CUST100024857,Schedule Win-back Call,Upsell,2,2026-07-22
CUST100047055,Schedule Win-back Call,Retention,2,2026-07-12
CUST100028063,Invite to Loyalty Program,Loyalty,3,2026-07-07
CUST100072321,Send Proactive Outage Alert,Service,5,2026-07-04
CUST100018888,Recommend Plan Upgrade,Upsell,4,2026-07-23
CUST100089725,Invite to Loyalty Program,Retention,4,2026-07-21
CUST100040038,Invite to Loyalty Program,Service,5,2026-07-14
CUST100051743,Recommend Plan Upgrade,Loyalty,1,2026-07-07
CUST100000358,Offer Retention Discount,Retention,3,2026-07-23
CUST100034685,Invite to Loyalty Program,Loyalty,1,2026-07-07
CUST100011766,Send Proactive Outage Alert,Service,4,2026-07-23
CUST100005339,Invite to Loyalty Program,Upsell,3,2026-07-22
CUST100035567,Offer Device Trade-In,Upsell,5,2026-07-20
CUST100048064,Send Proactive Outage Alert,Upsell,1,2026-07-05
CUST100099301,Recommend Plan Upgrade,Service,3,2026-07-12
CUST100062621,Offer Retention Discount,Upsell,1,2026-07-05
CUST100083297,Send Proactive Outage Alert,Retention,5,2026-07-02
CUST100080692,Recommend Plan Upgrade,Service,5,2026-07-08
CUST100018702,Invite to Loyalty Program,Retention,1,2026-07-18
CUST100075379,Recommend Plan Upgrade,Retention,2,2026-07-03
CUST100065934,Send Proactive Outage Alert,Service,2,2026-07-01
CUST100089972,Offer Retention Discount,Retention,5,2026-07-17
CUST100039411,Offer Device Trade-In,Service,5,2026-07-23
CUST100005584,Recommend Plan Upgrade,Service,3,2026-07-06
CUST100079299,Schedule Win-back Call,Retention,1,2026-07-12
CUST100067163,Invite to Loyalty Program,Upsell,5,2026-07-20
CUST100086656,Offer Device Trade-In,Loyalty,1,2026-07-09
CUST100005683,Offer Device Trade-In,Service,5,2026-07-13
CUST100057244,Offer Device Trade-In,Retention,1,2026-07-07
CUST100085889,Offer Device Trade-In,Loyalty,5,2026-07-09
CUST100006816,Send Proactive Outage Alert,Retention,5,2026-07-05
CUST100050560,Offer Device Trade-In,Retention,3,2026-07-17
CUST100046399,Offer Retention Discount,Loyalty,2,2026-07-22
CUST100001811,Send Proactive Outage Alert,Loyalty,2,2026-07-13
CUST100042297,Offer Device Trade-In,Retention,2,2026-07-07
CUST100051875,Invite to Loyalty Program,Loyalty,2,2026-07-19
CUST100042433,Offer Retention Discount,Upsell,4,2026-07-22
CUST100003952,Offer Retention Discount,Upsell,1,2026-07-11
CUST100025147,Offer Device Trade-In,Loyalty,5,2026-07-22
CUST100092068,Offer Retention Discount,Retention,4,2026-07-03
CUST100003045,Send Proactive Outage Alert,Service,1,2026-07-03
CUST100075940,Schedule Win-back Call,Service,4,2026-07-18
CUST100088336,Invite to Loyalty Program,Retention,2,2026-07-10
CUST100068056,Recommend Plan Upgrade,Upsell,3,2026-07-08
CUST100057034,Invite to Loyalty Program,Upsell,3,2026-07-11
CUST100024213,Offer Retention Discount,Loyalty,2,2026-07-23
CUST100092870,Offer Retention Discount,Upsell,2,2026-07-17
CUST100032375,Offer Retention Discount,Loyalty,5,2026-07-11
CUST100010148,Send Proactive Outage Alert,Service,2,2026-07-04
CUST100017713,Recommend Plan Upgrade,Loyalty,5,2026-07-12
CUST100031992,Recommend Plan Upgrade,Loyalty,1,2026-07-10
CUST100095792,Schedule Win-back Call,Loyalty,1,2026-07-20
CUST100050361,Schedule Win-back Call,Upsell,1,2026-07-13
CUST100099191,Offer Retention Discount,Loyalty,4,2026-07-07
CUST100020425,Recommend Plan Upgrade,Loyalty,4,2026-07-05
CUST100058888,Invite to Loyalty Program,Loyalty,1,2026-07-10
CUST100098206,Invite to Loyalty Program,Retention,5,2026-07-15
CUST100024600,Invite to Loyalty Program,Loyalty,3,2026-07-07
CUST100078832,Invite to Loyalty Program,Service,3,2026-07-22
CUST100039083,Recommend Plan Upgrade,Retention,1,2026-07-12
CUST100008475,Schedule Win-back Call,Service,4,2026-07-05
CUST100051500,Offer Retention Discount,Service,5,2026-07-05
CUST100026558,Offer Device Trade-In,Loyalty,3,2026-07-18
CUST100016898,Recommend Plan Upgrade,Retention,5,2026-07-18
CUST100021586,Schedule Win-back Call,Loyalty,1,2026-07-01
CUST100010588,Invite to Loyalty Program,Upsell,1,2026-07-08
CUST100066710,Offer Device Trade-In,Upsell,5,2026-07-04
CUST100097982,Schedule Win-back Call,Service,4,2026-07-15
CUST100037410,Recommend Plan Upgrade,Service,2,2026-07-12
CUST100002414,Send Proactive Outage Alert,Upsell,5,2026-07-18
CUST100057055,Invite to Loyalty Program,Upsell,2,2026-07-05
CUST100073155,Offer Retention Discount,Service,2,2026-07-18
CUST100077247,Recommend Plan Upgrade,Retention,4,2026-07-04
CUST100048825,Invite to Loyalty Program,Retention,5,2026-07-18
CUST100079787,Invite to Loyalty Program,Service,1,2026-07-16
CUST100026136,Offer Retention Discount,Retention,4,2026-07-19
CUST100072389,Invite to Loyalty Program,Loyalty,5,2026-07-22
CUST100097092,Offer Retention Discount,Retention,2,2026-07-10
CUST100021232,Schedule Win-back Call,Upsell,1,2026-07-22
CUST100021613,Offer Retention Discount,Service,5,2026-07-10
CUST100021531,Schedule Win-back Call,Upsell,1,2026-07-16
CUST100043072,Recommend Plan Upgrade,Upsell,1,2026-07-05
CUST100028999,Send Proactive Outage Alert,Upsell,1,2026-07-01
CUST100098055,Offer Device Trade-In,Service,5,2026-07-08
CUST100040510,Schedule Win-back Call,Upsell,3,2026-07-12
CUST100044650,Schedule Win-back Call,Retention,4,2026-07-23
CUST100031057,Recommend Plan Upgrade,Service,3,2026-07-04
CUST100061810,Recommend Plan Upgrade,Loyalty,3,2026-07-18
CUST100077416,Schedule Win-back Call,Retention,5,2026-07-19
CUST100038499,Invite to Loyalty Program,Retention,2,2026-07-19
CUST100079642,Offer Device Trade-In,Retention,3,2026-07-21
CUST100025297,Send Proactive Outage Alert,Retention,3,2026-07-09
CUST100061673,Send Proactive Outage Alert,Upsell,5,2026-07-18
CUST100034830,Recommend Plan Upgrade,Service,5,2026-07-08
CUST100086223,Invite to Loyalty Program,Service,5,2026-07-13
CUST100042711,Offer Retention Discount,Upsell,4,2026-07-17
CUST100055860,Recommend Plan Upgrade,Loyalty,5,2026-07-01
CUST100046939,Recommend Plan Upgrade,Service,4,2026-07-23
CUST100000985,Offer Device Trade-In,Retention,3,2026-07-01
CUST100047250,Schedule Win-back Call,Service,3,2026-07-16
CUST100092319,Offer Retention Discount,Loyalty,1,2026-07-23
CUST100075531,Recommend Plan Upgrade,Service,5,2026-07-21
CUST100094866,Schedule Win-back Call,Upsell,5,2026-07-02
CUST100072318,Offer Device Trade-In,Loyalty,3,2026-07-04
CUST100060732,Invite to Loyalty Program,Service,4,2026-07-03
CUST100033519,Offer Device Trade-In,Loyalty,3,2026-07-20
CUST100074507,Recommend Plan Upgrade,Retention,2,2026-07-04
CUST100073594,Schedule Win-back Call,Service,2,2026-07-18
CUST100094899,Offer Retention Discount,Service,1,2026-07-18
CUST100058522,Recommend Plan Upgrade,Loyalty,5,2026-07-14
CUST100015428,Schedule Win-back Call,Upsell,2,2026-07-05
CUST100047256,Recommend Plan Upgrade,Service,3,2026-07-01
CUST100032110,Offer Device Trade-In,Service,2,2026-07-17
CUST100082230,Invite to Loyalty Program,Loyalty,3,2026-07-03
CUST100058272,Recommend Plan Upgrade,Upsell,1,2026-07-02
CUST100057963,Offer Retention Discount,Loyalty,3,2026-07-01
CUST100085750,Offer Retention Discount,Upsell,4,2026-07-02
CUST100091468,Offer Device Trade-In,Upsell,3,2026-07-04
CUST100009696,Send Proactive Outage Alert,Upsell,3,2026-07-15
CUST100078224,Offer Device Trade-In,Loyalty,4,2026-07-20
CUST100019935,Offer Device Trade-In,Service,3,2026-07-17
CUST100048438,Send Proactive Outage Alert,Service,4,2026-07-13
CUST100001450,Recommend Plan Upgrade,Retention,2,2026-07-08
CUST100067753,Offer Retention Discount,Upsell,2,2026-07-21
CUST100064341,Recommend Plan Upgrade,Service,4,2026-07-14
CUST100093773,Schedule Win-back Call,Service,2,2026-07-01
CUST100045992,Invite to Loyalty Program,Service,4,2026-07-11
CUST100097408,Offer Retention Discount,Service,1,2026-07-01
CUST100048472,Send Proactive Outage Alert,Upsell,2,2026-07-07
CUST100012319,Schedule Win-back Call,Loyalty,1,2026-07-04
CUST100098526,Send Proactive Outage Alert,Service,5,2026-07-02
CUST100005113,Offer Retention Discount,Loyalty,2,2026-07-16
CUST100024253,Offer Retention Discount,Retention,2,2026-07-06
CUST100039199,Schedule Win-back Call,Retention,5,2026-07-16
CUST100019018,Invite to Loyalty Program,Retention,1,2026-07-06
CUST100091414,Invite to Loyalty Program,Upsell,5,2026-07-22
CUST100002117,Offer Retention Discount,Upsell,5,2026-07-17
CUST100023407,Recommend Plan Upgrade,Retention,5,2026-07-22
CUST100053267,Invite to Loyalty Program,Loyalty,5,2026-07-07
CUST100083698,Recommend Plan Upgrade,Retention,2,2026-07-01
CUST100020803,Offer Retention Discount,Loyalty,4,2026-07-19
CUST100075740,Schedule Win-back Call,Loyalty,2,2026-07-06
CUST100073426,Schedule Win-back Call,Service,4,2026-07-22
CUST100077291,Offer Retention Discount,Upsell,3,2026-07-11
CUST100020876,Invite to Loyalty Program,Loyalty,4,2026-07-05
CUST100075323,Recommend Plan Upgrade,Retention,4,2026-07-07
CUST100061719,Invite to Loyalty Program,Retention,4,2026-07-04
CUST100072535,Schedule Win-back Call,Loyalty,2,2026-07-18
CUST100008217,Recommend Plan Upgrade,Upsell,5,2026-07-08
CUST100056443,Send Proactive Outage Alert,Retention,4,2026-07-04
CUST100037686,Invite to Loyalty Program,Retention,4,2026-07-17
CUST100012825,Send Proactive Outage Alert,Retention,2,2026-07-09
CUST100029775,Invite to Loyalty Program,Retention,2,2026-07-06
CUST100020190,Schedule Win-back Call,Upsell,3,2026-07-12
CUST100042049,Recommend Plan Upgrade,Loyalty,3,2026-07-03
CUST100013436,Offer Retention Discount,Service,5,2026-07-09
CUST100012673,Invite to Loyalty Program,Upsell,1,2026-07-02
CUST100071651,Schedule Win-back Call,Upsell,3,2026-07-21
CUST100044739,Recommend Plan Upgrade,Retention,2,2026-07-17
CUST100054079,Offer Retention Discount,Retention,5,2026-07-07
CUST100068753,Offer Retention Discount,Service,4,2026-07-02
CUST100095964,Offer Retention Discount,Retention,5,2026-07-08
CUST100058741,Schedule Win-back Call,Retention,1,2026-07-10
CUST100049964,Invite to Loyalty Program,Upsell,4,2026-07-06
CUST100096182,Offer Retention Discount,Service,1,2026-07-09
CUST100003448,Schedule Win-back Call,Retention,4,2026-07-06
CUST100048954,Schedule Win-back Call,Upsell,2,2026-07-23
CUST100084450,Send Proactive Outage Alert,Upsell,4,2026-07-07
CUST100044472,Schedule Win-back Call,Upsell,2,2026-07-14
CUST100090908,Offer Device Trade-In,Loyalty,5,2026-07-18
CUST100010839,Send Proactive Outage Alert,Service,3,2026-07-23
CUST100095043,Schedule Win-back Call,Loyalty,1,2026-07-09
CUST100074234,Recommend Plan Upgrade,Service,2,2026-07-08
CUST100067751,Schedule Win-back Call,Upsell,2,2026-07-12
CUST100059335,Send Proactive Outage Alert,Service,2,2026-07-01
CUST100030364,Schedule Win-back Call,Upsell,2,2026-07-04
CUST100027785,Offer Device Trade-In,Retention,4,2026-07-19
CUST100005767,Send Proactive Outage Alert,Retention,5,2026-07-12
CUST100015201,Schedule Win-back Call,Loyalty,5,2026-07-08
CUST100081394,Send Proactive Outage Alert,Loyalty,1,2026-07-08
CUST100098221,Offer Device Trade-In,Loyalty,5,2026-07-11
CUST100020061,Invite to Loyalty Program,Upsell,2,2026-07-09
CUST100076645,Offer Retention Discount,Loyalty,4,2026-07-15
CUST100056734,Send Proactive Outage Alert,Upsell,1,2026-07-15
CUST100077549,Schedule Win-back Call,Loyalty,5,2026-07-08
CUST100032690,Recommend Plan Upgrade,Loyalty,2,2026-07-09
CUST100073805,Send Proactive Outage Alert,Upsell,4,2026-07-11
CUST100013447,Invite to Loyalty Program,Service,3,2026-07-09
CUST100013129,Offer Retention Discount,Service,2,2026-07-15
CUST100054064,Recommend Plan Upgrade,Retention,4,2026-07-19
CUST100032779,Offer Device Trade-In,Service,3,2026-07-07
CUST100075894,Recommend Plan Upgrade,Service,4,2026-07-04
CUST100030400,Send Proactive Outage Alert,Upsell,5,2026-07-07
CUST100077169,Schedule Win-back Call,Service,1,2026-07-12
CUST100011316,Send Proactive Outage Alert,Retention,4,2026-07-22
CUST100026649,Send Proactive Outage Alert,Loyalty,5,2026-07-08
CUST100075351,Send Proactive Outage Alert,Upsell,4,2026-07-03
CUST100034252,Invite to Loyalty Program,Loyalty,2,2026-07-15
CUST100079964,Offer Retention Discount,Retention,5,2026-07-10
CUST100024226,Recommend Plan Upgrade,Loyalty,4,2026-07-04
CUST100072305,Offer Retention Discount,Loyalty,4,2026-07-16
CUST100009909,Recommend Plan Upgrade,Loyalty,5,2026-07-01
CUST100006930,Offer Retention Discount,Service,2,2026-07-21
CUST100004363,Offer Device Trade-In,Service,3,2026-07-15
CUST100038373,Offer Device Trade-In,Loyalty,4,2026-07-08
